District Number,School Code,School Name,Address,City,Province,Postal Code,Principal Title,Principal First name,Principal Last Name,Type,Grade Range,School Category,Funding Group(s),NLC: Early Learning,NLC: Afterschool,NLC: Cont. Ed.,NLC: Seniors,NLC: Comm. Sport,NLC: Comm. Use,NLC: Integr. Svcs.,Phone,Fax,Email,Enrolment Total,Enrolment As Of,KH Enrolment,KF Enrolment,HS Registration,SU Enrolment,EU Enrolment,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,1_to_6,7_to_9,10_to_12,ISCED1,ISCED2,ISCED3,ISCED020,ISCED010
84,8484041,Kyuquot Elementary Secondary,General Delivery,Kyuquot                       ,BC             ,V0P 1J0,Mr,Martin,Szetela,Standard School                         ,1-12,Public School,,no,no,no,no,no,no,no,250 332-5260,250 332-5332,kessadmin@viw.sd84.bc.ca                                                                            ,59,September 30 2019,0,0,0,0,0,2,6,5,7,2,6,1,4,5,10,3,8,28,10,21,1,1,1,,
36,3636079,L A Matheson Secondary,9484 122 St,Surrey                        ,BC             ,V3V 4M1,Mr,Peter,Johnston,Standard School                         ,8-12,Public School,,no,no,no,no,no,no,no,604 588-3418,604 588-7245,lamatheson@surreyschools.ca,1111,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,206,225,225,226,229,0,431,680,0,1,1,,
8,807013,L V Rogers Secondary,1002 Cottonwood St,Nelson                        ,BC             ,V1L 3W2,Mr,Ben,Eaton,Standard School                         ,"9-12, SU",Public School,,no,no,no,no,no,no,no,250 352-5538,250 352-3119,ben.eaton@sd8.bc.ca                                                                                 ,743,September 30 2019,0,0,0,38,0,0,0,0,0,0,0,0,0,162,178,201,164,0,162,543,0,1,1,,
39,3939043,L'Ecole Bilingue Elementary,1166 W 14th Ave,Vancouver                     ,BC             ,V6H 1P6,Mme,Natalie,Morissette,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 713-4585,604 713-4587,nmorissett@vsb.bc.ca                                                                                ,454,September 30 2019,0,40,0,0,0,49,43,68,69,64,65,56,0,0,0,0,0,358,56,0,1,1,0,1,
93,9393012,La Confluence,820 11 Ave S,Golden                        ,BC             ,V0A 1H2,M,Hugo,Desnoyers,Standard School                         ,K-4,Public School,,no,no,no,no,no,no,no,236 536-2075,,hugo_desnoyers@csf.bc.ca                                                                            ,14,September 30 2019,0,2,1,0,0,3,3,4,2,0,0,0,0,0,0,0,0,12,0,0,1,0,0,1,
93,9393013,La Grande-ourse,3490 Fulton Ave,Smithers                      ,BC             ,V0J 2N0,Mme,Sonia,Khoutir,Standard School                         ,K-4,Public School,,no,no,no,no,no,no,no,438 402-3601,,sonia_khoutir@csf.bc.ca                                                                             ,7,September 30 2019,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,
93,9348020,La Passerelle,1509 Spring Creek Dr,Whistler                      ,BC             ,V0N 1B1,Mme,Claude,Bergeron,Standard School                         ,K-7,Public School,,no,no,no,no,no,yes,no,604 932-9602,604 932-9608,claude_bergeron@csf.bc.ca                                                                           ,68,September 30 2019,0,10,0,0,0,12,11,4,8,4,12,7,0,0,0,0,0,51,7,0,1,1,0,1,
93,9348024,La Vallee,1410 Portage Rd,Pemberton                     ,BC             ,V0N 2L0,Mr,David,Brosseau,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 932-9602,604 932-9608,david_brosseau@csf.bc.ca                                                                            ,78,September 30 2019,0,8,0,0,0,18,6,8,13,7,8,10,0,0,0,0,0,60,10,0,1,1,0,1,
93,9333002,La Verendrye,6610 Lickman Rd,Chilliwack                    ,BC             ,V2R 4A9,Mme,Marie-Claude,Gilbert,Standard School                         ,K-6,Public School,,no,no,no,no,no,no,no,604 858-2666,604 858-5773,mc_gilbert@csf.bc.ca                                                                                ,83,September 30 2019,0,13,0,0,0,15,13,14,10,13,5,0,0,0,0,0,0,70,0,0,1,0,0,1,
27,2727030,Lac La Hache Elementary,PO Box 128,Lac La Hache                  ,BC             ,V0K 1T0,Mrs,Kristy,Davis,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 396-7230,250 396-4092,kristy.davis@sd27.bc.ca                                                                             ,31,September 30 2019,0,7,0,0,0,8,5,2,1,3,3,2,0,0,0,0,0,22,2,0,1,1,0,1,
52,5297072,Lach Klan School,PO Box 148,Kitkatla                      ,BC             ,V0V 1C0,Ms,Janice,Beardsley,Standard School                         ,K-12,Independent School,2.0,no,no,no,no,no,no,no,250 848-2281,250 848-2284,principal@lachklan.ca                                                                               ,85,September 30 2019,0,14,0,0,0,7,5,7,9,5,7,6,6,6,5,6,2,40,18,13,1,1,1,1,
37,3737001,Ladner Elementary,5016 44 Ave,Delta                         ,BC             ,V4K 1C1,Ms,Cheryl,Edge-Partington,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 946-4158,604 946-4150,cedgepartington@deltasd.bc.ca,476,September 30 2019,0,73,0,0,0,56,58,62,58,69,49,51,0,0,0,0,0,352,51,0,1,1,0,1,
6,618003,Lady Grey Elementary,PO Box 899,Golden                        ,BC             ,V0A 1H0,Mr,Blaine,Broderick,Standard School                         ,4-7,Public School,,no,no,no,no,no,no,no,250 344-6317,250 342-6966,Blaine.Broderick@sd6.bc.ca,243,September 30 2019,0,0,0,0,0,0,0,0,61,52,70,60,0,0,0,0,0,183,60,0,1,1,0,,
68,6868048,Ladysmith Intermediate,PO Box 849,Ladysmith                     ,BC             ,V9G 1A6,Mr,Dionte,Jelks,Standard School                         ,4-7,Public School,,no,no,no,no,no,yes,no,250 245-3351,250 245-3117,Dionte.Jelks@sd68.bc.ca                                                                             ,288,September 30 2019,0,0,1,0,0,0,0,0,62,70,67,89,0,0,0,0,0,199,89,0,1,1,0,,
68,6868049,Ladysmith Primary,PO Box 910,Ladysmith                     ,BC             ,V9G 1A6,Mrs,Shona,Sneddon,Standard School                         ,K-3,Public School,,yes,yes,no,no,no,yes,no,250 245-3912,250 245-4863,ssneddon@sd68.bc.ca                                                                                 ,307,September 30 2019,0,81,0,0,0,74,76,76,0,0,0,0,0,0,0,0,0,226,0,0,1,0,0,1,
68,6868002,Ladysmith Secondary,PO Box 190,Ladysmith                     ,BC             ,V9G 1A2,Mr,Dave,Travers,Standard School                         ,8-12,Public School,,no,no,no,no,no,no,no,250 245-3043,250 245-4333,dtravers@sd68.bc.ca                                                                                 ,614,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,131,128,125,118,112,0,259,355,0,1,1,,
68,6825169,Ladysmith StrongStart Centre,PO Box 910,Ladysmith                     ,BC             ,V9G 1A6,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 245-3912,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
42,4242032,Laity View Elementary,21023 123 Ave,Maple Ridge                   ,BC             ,V2X 4B5,Mrs,Kristi,Blakeway,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 463-7108,604 463-7467,kristi_blakeway@sd42.ca                                                                             ,649,September 30 2019,0,73,0,0,0,75,71,83,86,89,87,85,0,0,0,0,0,491,85,0,1,1,0,1,
27,2727072,Lake City Secondary,640 Carson Drive,Williams Lake                 ,BC             ,V2G 1T3,Mr,Craig,Munroe,Standard School                         ,7-12,Public School,,no,no,no,no,no,no,no,250 392-6284,250 392-3362,craig.munroe@sd27.bc.ca                                                                             ,1433,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,253,257,233,235,234,221,0,743,690,0,1,1,,
79,7979043,Lake Cowichan Elementary,PO Box 40,Lake Cowichan                 ,BC             ,V0R 2G0,Mr,Jaime,Doyle,Standard School                         ,4-7,Public School,,no,no,no,no,no,no,no,250 749-6634,250 749-6222,jdoyle@sd79.bc.ca                                                                                   ,139,September 30 2019,0,0,0,0,0,0,0,0,26,43,34,36,0,0,0,0,0,103,36,0,1,1,0,,
79,7979044,Lake Cowichan Secondary,PO Box 40,Lake Cowichan                 ,BC             ,V0R 2G0,Mr,Jaime,Doyle,Standard School                         ,"8-12, SU",Public School,,no,no,no,no,no,no,no,250 749-6634,250 749-6222,jdoyle@sd79.bc.ca                                                                                   ,179,September 30 2019,0,0,0,6,0,0,0,0,0,0,0,0,31,39,41,29,33,0,70,103,0,1,1,,
61,6161042,Lake Hill Elementary,1031 Lucas Ave,Victoria                      ,BC             ,V8X 5L2,Mrs,Elaine,McVie,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,250 479-2896,250 479-6511,emcvie@sd61.bc.ca                                                                                   ,195,September 30 2019,0,45,0,0,0,30,36,30,31,23,0,0,0,0,0,0,0,150,0,0,1,0,0,1,
71,7171052,Lake Trail Middle,805 Willemar Ave,Courtenay                     ,BC             ,V9N 3L7,Mr,Gerald,Fussell,Standard School                         ,6-9,Public School,,no,no,no,no,no,yes,no,250 334-3168,250 338-4315,gerald.fussell@sd71.bc.ca                                                                           ,370,September 30 2019,0,0,0,0,0,0,0,0,0,0,107,101,90,72,0,0,0,107,263,0,1,1,0,,
91,9191023,Lakes District Secondary,Box 3000,Burns Lake                    ,BC             ,V0J 1E0,Mrs,Heidi,Grant,Standard School                         ,8-12,Public School,,no,no,no,no,no,no,no,250 692-7733,250 692-4231,hgrant@sd91.bc.ca                                                                                   ,325,September 30 2019,0,0,1,0,0,0,0,0,0,0,0,0,66,73,78,62,46,0,139,186,0,1,1,,
91,9199209,Lakes Learning Centre,PO Box 3000,Burns Lake                    ,BC             ,V0J 1E0,Mrs,Heidi,Grant,Alternate Programs                      ,10-12,Public School,,no,no,no,no,no,no,no,250 692-7733,250 692-4231,hgrant@sd91.bc.ca                                                                                   ,33,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,19,0,0,33,0,0,1,,
23,2396360,Lakeside School Kelowna,429 Collett Rd,Kelowna                       ,BC             ,V1W 1K6,Ms,EveLynn,Debusschere,Standard School                         ,K-7,Independent School,2.0,no,no,no,no,no,no,no,250 764-4130,,evelynn@lakesideschool.ca                                                                           ,27,September 30 2019,0,7,0,0,0,3,4,5,4,0,3,1,0,0,0,0,0,19,1,0,1,1,0,1,
63,6396127,Lakeview Christian School,729 Cordova Bay Rd,Victoria                      ,BC             ,V8Y 1P7,Mr,Scott,Bastien,Standard School                         ,K-9,Independent School,2.0,no,no,no,no,no,no,no,236 464-1969,250 658-5072,sbastien@lcsvictoria.ca                                                                             ,65,September 30 2019,0,8,0,0,0,6,5,11,8,8,6,5,5,3,0,0,0,44,13,0,1,1,0,1,
28,2828032,Lakeview Elementary,1525 Beryl St,Quesnel                       ,BC             ,V2J 4L8,Mr,Mike,Tate,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 747-2009,250 747-3076,miketate@sd28.bc.ca                                                                                 ,254,September 30 2019,0,23,0,0,0,29,29,26,32,38,41,36,0,0,0,0,0,195,36,0,1,1,0,1,
41,4141034,Lakeview Elementary,7777 Mayfield St,Burnaby                       ,BC             ,V5E 2J5,Mr,Brad,Winterlik,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 296-9018,604 296-9070,brad.winterlik@burnabyschools.ca,274,September 30 2019,0,43,0,0,0,33,31,23,34,38,35,37,0,0,0,0,0,194,37,0,1,1,0,1,
62,6262032,Lakewood Elementary,2363 Setchfield Ave,Victoria                      ,BC             ,V9B 5W1,Mr,Bryan,Johnson,Standard School                         ,K-5,Public School,,no,yes,no,no,no,no,no,250 474-3449,250 474-1618,bjohnson@sd62.bc.ca                                                                                 ,462,September 30 2019,0,60,0,0,0,70,87,76,75,94,0,0,0,0,0,0,0,402,0,0,1,0,0,1,
61,6161064,Lambrick Park Secondary,4139 Torquay Dr,Victoria                      ,BC             ,V8N 3L1,Mr,Gord,Mitchell,Standard School                         ,"9-12, SU",Public School,,no,no,no,no,no,no,no,250 477-0181,250 477-0143,Gmitchell@sd61.bc.ca                                                                                ,582,September 30 2019,0,0,1,8,0,0,0,0,0,0,0,0,0,99,158,146,171,0,99,475,0,1,1,,
46,4646015,Langdale Elementary,PO Box 280,Gibsons                       ,BC             ,V0N 1V0,Mr,Duncan,Knight,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 886-9971,604 886-7782,dknight@sd46.bc.ca                                                                                  ,101,September 30 2019,0,9,0,0,0,12,16,12,10,15,17,10,0,0,0,0,0,82,10,0,1,1,0,1,
35,3596311,Langley Christian,22930 48 Ave,Langley                       ,BC             ,V2Z 2T7,Mr,Adam,Woelders,Standard School                         ,K-12,Independent School,1.0,no,no,no,no,no,no,no,604 533-2118,604 533-0839,headofschool@langleychristian.com,1173,September 30 2019,58,56,0,0,0,62,78,96,89,91,98,93,99,94,101,84,74,514,286,259,1,1,1,1,
35,3599050,Langley Education Centre,21405A 56 Ave,Langley                       ,BC             ,V2Y 2N1,Mr,Ron,Stare,Continuing Education                    ,"11-12, GA",Public School,,no,no,no,no,no,no,no,604 534-7155,604 534-9332,rstare@sd35.bc.ca                                                                                   ,511,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,180,0,0,195,0,0,1,,
35,3535064,Langley Equestrian Academy,20902 37A Ave,Langley                       ,BC             ,V3A 5N2,Mr,John,Pusic,Standard School                         ,7-12,Public School,,no,no,no,no,no,no,no,604 530-2141,604 530-5132,jpusic@sd35.bc.ca                                                                                   ,42,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,1,5,9,13,5,9,0,15,27,0,1,1,,
35,3535029,Langley Fine Arts School,9096 Trattle St,Fort Langley                  ,BC             ,V1M 2S6,Mr,Jon,Bonnar,Standard School                         ,K-12,Public School,,no,no,no,no,no,no,no,604 888-3113,604 888-3578,jbonnar@sd35.bc.ca                                                                                  ,915,September 30 2019,0,38,0,0,0,40,42,56,58,58,58,58,86,98,112,102,109,312,242,323,1,1,1,1,
35,3535052,Langley Fundamental Elementary,21789 50 Ave,Langley                       ,BC             ,V3A 3T2,Ms,Deah,Paton,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 530-9973,604 530-3819,dpaton@sd35.bc.ca                                                                                   ,503,September 30 2019,0,78,0,0,0,84,85,85,84,87,0,0,0,0,0,0,0,425,0,0,1,0,0,1,
35,3535056,Langley Fundamental Middle/Secondary Sch,21250 42 Ave,Langley                       ,BC             ,V3A 8K6,Mr,Adam,Moore,Standard School                         ,6-12,Public School,,no,no,no,no,no,no,no,604 534-4779,604 534-4795,amoore@sd35.bc.ca                                                                                   ,726,September 30 2019,0,0,0,0,0,0,0,0,0,0,89,87,106,108,110,117,109,89,301,336,1,1,1,,
35,3535046,Langley Meadows Elementary,2244 Willoughby Way,Langley                       ,BC             ,V2Y 1C1,Mrs,Beth,Cairnie,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 530-4101,604 530-3751,bcairnie@sd35.bc.ca                                                                                 ,427,September 30 2019,0,76,0,0,0,81,63,72,62,73,0,0,0,0,0,0,0,351,0,0,1,0,0,1,
35,3525104,Langley Meadows StrongStart Centre,2244 Willoughby Way,Langley                       ,BC             ,V2Y 1C1,Ms,Beth,Cairnie,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 530-4101,,bcairnie@sd35.bc.ca                                                                                 ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
35,3599168,Langley Online and Distributed Learning,21405 56 Ave,Langley                       ,BC             ,V2Y 2N1,Mr,Ron,Stare,Distributed Learning Programs           ,"10-12, GA",Public School,,no,no,no,no,no,no,no,604 534-7155,604 534-9332,rstare@sd35.bc.ca                                                                                   ,392,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,42,165,0,0,229,0,0,1,,
35,3535019,Langley Secondary,21405 56 Ave,Langley                       ,BC             ,V2Y 2N1,Mr,Marcello,Moino,Standard School                         ,9-12,Public School,,no,no,no,no,no,no,no,604 534-4171,604 534-9518,mmoino@sd35.bc.ca                                                                                   ,846,September 30 2019,0,0,2,0,0,0,0,0,0,0,0,0,0,197,190,249,210,0,197,649,0,1,1,,
61,6161036,Lansdowne Middle School,1765 Lansdowne Rd,Victoria                      ,BC             ,V8P 1A7,Mr,Sean,Powell,Standard School                         ,6-8,Public School,,no,no,no,no,no,no,no,250 598-3336,250 598-2945,lansdowne@sd61.bc.ca                                                                                ,635,September 30 2019,0,0,0,0,0,0,0,0,0,0,245,200,190,0,0,0,0,245,390,0,1,1,0,,
36,3636117,Laronde Elementary,1880 Laronde Dr,Surrey                        ,BC             ,V4A 9S4,Mme,Johane,Fortin,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 536-1626,604 536-4829,laronde@surreyschools.ca                                                                            ,454,September 30 2019,0,59,0,0,0,58,60,55,64,53,51,54,0,0,0,0,0,341,54,0,1,1,0,1,
44,4444034,Larson Elementary,2605 Larson Rd,North Vancouver               ,BC             ,V7N 3W4,Ms,Cathy,Piteux,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 903-3570,604 903-3571,larson@sd44.ca                                                                                      ,485,September 30 2019,0,57,0,0,0,67,63,61,69,53,57,58,0,0,0,0,0,370,58,0,1,1,0,1,
39,3996952,LaSalle College Vancouver High School,2665 Renfrew St,Vancouver                     ,BC             ,V5M 0A7,Mr,Paul,Cohee,Standard School                         ,10-12,Independent School,4.0,no,no,no,no,no,no,no,604 355-1626,,pcohee@lasallecollegevancouver.com,14,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,0,0,14,0,0,1,,
36,3636035,Latimer Road Elementary,19233 60 Ave,Surrey                        ,BC             ,V3S 2T5,Ms,Eithne,Harrison,Standard School                         ,K-7,Public School,,no,no,no,no,no,yes,no,604 576-9184,604 576-6492,harrison_e@surreyschools.ca,525,September 30 2019,0,72,4,0,0,85,76,82,52,49,61,48,0,0,0,0,0,405,48,0,1,1,0,1,
39,3939054,Laura Secord Elementary,2500 Lakewood Dr,Vancouver                     ,BC             ,V5N 4V1,Mrs,Janis,Myers,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 713-4996,604 713-4998,jmyers@vsb.bc.ca                                                                                    ,670,September 30 2019,0,72,0,0,0,76,81,78,72,74,114,103,0,0,0,0,0,495,103,0,1,1,0,1,
5,502011,Laurie Middle School,1808 2nd St S,Cranbrook                     ,BC             ,V1C 1C5,Mr,Aaron,Thorn,Standard School                         ,7-9,Public School,,no,no,no,no,yes,yes,no,250 426-5291,250 489-5723,aaron.thorn@sd5.bc.ca                                                                               ,385,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,145,114,126,0,0,0,0,385,0,0,1,0,,
22,2222006,Lavington Elementary,9715 School Rd,Vernon                        ,BC             ,V1B 3G4,Mr,Lance,Johnson,Standard School                         ,K-7,Public School,,no,no,no,no,yes,yes,no,250 545-1710,250 545-7158,ljohnson@sd22.bc.ca                                                                                 ,165,September 30 2019,0,23,0,0,0,29,23,17,21,15,19,18,0,0,0,0,0,124,18,0,1,1,0,1,
52,5252019,Lax Kxeen Elementary,PO Box 520 STN Main,Prince Rupert                 ,BC             ,V8J 3R7,Mrs,Susan,Kobza,Standard School                         ,K-5,Public School,,yes,no,no,no,no,no,no,250 624-6218,250 627-7030,skobza@sd52.bc.ca                                                                                   ,193,September 30 2019,0,36,0,0,0,24,30,30,34,39,0,0,0,0,0,0,0,157,0,0,1,0,0,1,
52,5225421,Lax Kxeen StrongStart Centre,PO Box 520 STN Main,Prince Rupert                 ,BC             ,V8J 3R7,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,250 624-6218,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
61,6195024,Ledger School,2400 Arbutus Rd,Victoria                      ,BC             ,V8N 1V7,Mrs,Donna,Harding,Short Term PRP                          ,No Enrolment Reported,Public School,,no,no,no,no,no,no,no,250 721-6739,250 472-1146,dharding@sd61.bc.ca                                                                                 ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
43,4343033,Leigh Elementary,1230 Soball St,Coquitlam                     ,BC             ,V3B 3H7,Mrs,Andrea,Hunter,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 941-8661,604 937-8020,ahunter@sd43.bc.ca                                                                                  ,448,September 30 2019,0,87,0,0,0,60,82,71,68,80,0,0,0,0,0,0,0,361,0,0,1,0,0,1,
83,8383036,Len Wood Middle School,3700 Patten Dr,Armstrong                     ,BC             ,V0E 1B2,Ms,Denise,Moore,Standard School                         ,6-8,Public School,,no,yes,no,no,yes,yes,no,250 546-3476,250 804-7789,lwm@sd83.bc.ca                                                                                      ,315,September 30 2019,0,0,0,0,0,0,0,0,0,0,106,110,99,0,0,0,0,106,209,0,1,1,0,,
36,3636055,Lena Shaw Elementary,14250 100A Ave,Surrey                        ,BC             ,V3T 1K8,Mr,Gary,Bodner,Standard School                         ,K-7,Public School,,no,yes,no,no,no,no,no,604 581-1363,604 951-0724,lenashaw@surreyschools.ca                                                                           ,561,September 30 2019,0,83,1,0,0,64,70,63,58,70,73,80,0,0,0,0,0,398,80,0,1,1,0,1,
36,3625111,Lena Shaw StrongStart Centre,14250 100A Ave,Surrey                        ,BC             ,V3T 1K8,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 581-1363,,lenashaw@surreyschools.ca                                                                           ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
93,9348008,Les Aiglons,PO Box 159,Squamish                      ,BC             ,V8B 0A2,M,Michel,Tardif,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,604 898-3715,604 898-1535,michel_tardif@csf.bc.ca                                                                             ,114,September 30 2019,0,12,0,0,0,18,12,14,13,25,18,2,0,0,0,0,0,100,2,0,1,1,0,1,
62,6296461,Lighthouse Christian Academy,1289 Parkdale Dr,Victoria                      ,BC             ,V9B 4G9,Mrs,Karen,Daniels,Standard School                         ,K-12,Independent School,1.0,no,no,no,no,no,no,no,250 474-5311,250 474-5021,info@lighthousechristianacademy.com,102,September 30 2019,0,10,0,0,0,10,17,9,7,5,12,8,7,9,1,5,2,60,24,8,1,1,1,1,
27,2727014,Likely Elem-Jr Secondary,PO Box 57,Likely                        ,BC             ,V0L 1N0,Ms,Michele,Bebault,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 790-2320,250 790-2315,michele.bebault@sd27.bc.ca,20,September 30 2019,0,2,2,0,0,3,3,1,3,1,5,2,0,0,0,0,0,16,2,0,1,1,0,1,
74,7429015,Lillooet Secondary,PO Box 760,Lillooet                      ,BC             ,V0K 1V0,Mr,Michael,Seitzinger,Standard School                         ,8-12,Public School,,no,yes,no,no,yes,yes,yes,250 256-4274,250 984-0772,mseitzinger@sd74.bc.ca                                                                              ,212,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,39,50,42,42,39,0,89,123,0,1,1,,
43,4399179,LINC-CLC,380 Montgomery St,Coquitlam                     ,BC             ,V3K 5G2,Mr,Michael,McGlenen,Alternate Programs                      ,9-12,Public School,,no,no,no,no,no,no,no,604 936-4261,604 936-6594,mmcglenen@sd43.bc.ca                                                                                ,50,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,30,0,6,44,0,1,1,,
6,603007,Lindsay Park Elementary,602 Salmo St,Kimberley                     ,BC             ,V1A 2M8,Ms,Michelle,Lacobucci,Standard School                         ,K-3,Public School,,no,no,no,no,no,no,no,250 427-2255,250 342-6966,michelle.iacobucci@sd6.bc.ca,159,September 30 2019,0,37,1,0,0,34,44,44,0,0,0,0,0,0,0,0,0,122,0,0,1,0,0,1,
45,4545062,Lions Bay Community School,PO Box 220 250 Bayview Road,Lions Bay                     ,BC             ,V0N 2E0,Mr,Aron,Campbell,Standard School                         ,K-3,Public School,,yes,no,no,no,no,yes,no,604 921-8311,604 921-6109,acampbell@wvschools.ca                                                                              ,32,September 30 2019,0,7,0,0,0,5,11,9,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,
44,4496606,Lions Gate Christian Academy,919 Tollcross Rd,North Vancouver               ,BC             ,V7H 2G3,Mr,Adam,Reid,Standard School                         ,K-12,Independent School,1.0,no,no,no,no,no,no,no,604 984-8226,604 984-8254,office@lgca.ca                                                                                      ,340,September 30 2019,0,21,0,0,0,23,24,28,35,33,36,34,32,26,15,13,20,179,92,48,1,1,1,1,
39,3996019,Little Flower Academy,4195 Alexandra St,Vancouver                     ,BC             ,V6J 4C6,Mrs,Diane,Little,Standard School                         ,8-12,Independent School,1.0,no,no,no,no,no,no,no,604 738-9016,604 738-5749,principal@lfabc.org                                                                                 ,479,September 30 2019,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,95,96,0,192,287,0,1,1,,
33,3333016,Little Mountain Elementary,9900 Carleton St,Chilliwack                    ,BC             ,V2P 6E1,Ms,Nicole,Driscoll,Standard School                         ,K-5,Public School,,no,no,no,no,no,no,no,604 792-0681,604 792-4583,nicole_driscoll@sd33.bc.ca,317,September 30 2019,0,53,0,0,0,50,52,55,54,53,0,0,0,0,0,0,0,264,0,0,1,0,0,1,
33,3325003,Little Mountain StrongStart Centre,9900 Carleton St,Chilliwack                    ,BC             ,V2P 6E5,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 793-0789,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
59,5959031,Little Prairie Elementary,PO Box 1600,Chetwynd                      ,BC             ,V0C 1J0,Mrs,Christi,Munch,Standard School                         ,K-7,Public School,,no,no,no,no,no,no,no,250 788-1924,250 788-1923,cmunch@sd59.bc.ca                                                                                   ,227,September 30 2019,0,25,2,0,0,39,28,31,38,26,18,22,0,0,0,0,0,180,22,0,1,1,0,1,
50,5096623,Living And Learning School,PO Box 850,Queen Charlotte City          ,BC             ,V0T 1S0,Ms,Bobbi-Lee,Chatelaine,Standard School                         ,K-5,Independent School,1.0,no,no,no,no,no,no,no,250 559-8757,250 559-8757,livingandlearning@haidagwaii.ca,14,September 30 2019,0,2,0,0,0,2,4,3,1,2,0,0,0,0,0,0,0,12,0,0,1,0,0,1,
41,4141035,Lochdale Community Elementary,6990 Aubrey St,Burnaby                       ,BC             ,V5B 2E5,Ms,Christy,Redmond,Standard School                         ,K-7,Public School,,yes,yes,no,no,yes,yes,no,604 296-9019,604 664-8325,christy.redmond@burnabyschools.ca,325,September 30 2019,0,36,0,0,0,37,40,49,42,35,37,49,0,0,0,0,0,240,49,0,1,1,0,1,
41,4125256,Lochdale Community StrongStart Centre,6990 Aubrey St,Burnaby                       ,BC             ,V5B 2E5,,,,Early Learning Program,Pre-K,StrongStart BC,,no,no,no,no,no,no,no,604 296-9019,,                                                                                                    ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
63,6363008,Lochside Elementary,1145 Royal Oak Dr,Victoria                      ,BC             ,V8X 3T7,Mr,Tom,Vickers,Standard School                         ,K-5,Public School,,yes,yes,no,no,no,yes,no,250 658-5238,250 658-4982,tvickers@saanichschools.ca,429,September 30 2019,0,71,0,0,0,65,85,66,76,66,0,0,0,0,0,0,0,358,0,0,1,0,0,1,
