,,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (IEP = Indice de l'état du pont),,,,,,,,,,,,,,,,,,,
26 -  40/,SAWYERS CREEK BRIDGE,PONT SAWYERS CREEK ,28,44.4104299,-78.24405999,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1964,1997,,1,Total=7.3  (1)=7.3;,6.8,10.92,Eastern,,Open to traffic,Provincial,09/14/2016,61.6,,61.6,,65.4,,65.4,,74,,74.2,,75,,77.8,,89.6,,75
26 -  55/,JACKSON CREEK BRIDGE,PONT JACKSON CREEK ,7,44.2769014,-78.41693617,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1958,2014,2007,1,Total=15;  (1)=15;,15.2,15.3,Eastern,,Open to traffic,Provincial,10/20/2016,64.9,,64.9,,65.3,,66,,66.6,,66.9,,60.4,,61.8,,70,,64.8
26 -  61/1,OTONABEE RIVER BRIDGE EBL,PONT OTONABEE RIVER VDE ,7,44.27184297,-78.32394526,Bridge,Beam/Girder,Plate I Girder,Steel,1960,2016,2009,11,Total=305  (1)=19;(2)=25;(3)=19;(4)=46;(5)=64;(6)=46;(7)=13;(8)=20;(9)=20;(10)=20;(11)=13;,303,10.8,Eastern,,Open to traffic,Provincial,09/17/2014,69.6,,69.6,,69.6,,69.7,,71,,71,,70.6,,69.7,,70.3,,74
26 -  61/2,OTONABEE RIVER BRIDGE WBL,PONT OTONABEE RIVER VDO ,7,44.27214257,-78.32390473,Bridge,Beam/Girder,Box Beam,Weathering Steel,1983,,2016,5,Total=274  (1)=50;(2)=55;(3)=64;(4)=55;(5)=50;,274,11,Eastern,,Open to traffic,Provincial,06/14/2016,74.3,,74.3,,74.3,,74.5,,74.7,,74.2,,74.2,,73.4,,72.8,,72.4
26 -  81/1,"CNR OVERHEAD, EBL","VIADUC DU CNR, VDE ",7,44.286267,-78.29033,Bridge,Beam/Girder,Rolled I Beam,Steel,1959,2016,,3,Total=45  (1)=15;(2)=15;(3)=15;,47.2,11.07,Eastern,,Open to traffic,Provincial,09/16/2014,72,,72,,72,,72,,72.4,,72.5,,73.2,,73.6,,74.6,,74.6
26 -  81/2,"CNR OVERHEAD, WBL","VIADUC DU CNR, VDO ",7,44.28643702,-78.29067539,Bridge,Beam/Girder,Rolled I Beam,Prestressed Precast Concrete,1984,,1995,3,Total=46  (1)=15;(2)=16;(3)=15;,45.5,16.85,Eastern,,Open to traffic,Provincial,06/13/2016,73.5,,73.5,,73.6,,73.7,,73.5,,74.6,,74.5,,74.9,,89.9,,74.8
26 -  85/,INDIAN RIVER BRIDGE,PONT INDIAN RIVER ,7,44.32472867,-78.15728613,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1935,1983,2002,2,Total=30  (1)=15;(2)=15;,30.4,15.83,Eastern,,Open to traffic,Provincial,06/13/2016,73.2,,73.2,,73.5,,73.7,,74.1,,75,,75.3,,77.2,,,,71.4
26 -  90/,OUSE RIVER BRIDGE,PONT OUSE RIVER ,7,44.34830309,-78.07407874,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1935,1990,,1,Total=9  (1)=9;,8.5,11.48,Eastern,,Open to traffic,Provincial,06/13/2016,60,,60,,62.1,,64,,64.7,,66.9,,69.1,,71.8,,,,69
26 - 116/,EELS (DANES) CREEK BRIDGE,PONT EELS (DANES) CREEK ,28,44.86392385,-78.1132357,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1942,1996,,1,Total=13  (1)=13;,9.2,12.29,Eastern,,Open to traffic,Provincial,12/08/2016,70.5,,70.5,,70.9,,72.1,,72.4,,74.4,,74.7,,78.6,,77,,77
26 - 117/,EELS CREEK (DEPOT OR PARK) BRIDGE,PONT EELS CREEK (DEPÔT OU PARC) ,28,44.6409495,-78.13594646,Bridge,Beam/Girder,Rolled I Beam,Steel,1953,1993,,1,Total=18  (1)=18;,18.5,11.9,Eastern,,Open to traffic,Provincial,12/08/2016,65,,65,,67.3,,68.5,,69.8,,70.2,,71,,71.5,,64.6,,74.1
26 - 118/,EELS (HAULTAIN) CREEK BRIDGE,PONT EELS (HAULTAIN) CREEK ,28,44.61604971,-78.13294498,Bridge,Other Bridge,Other Bridge,Timber-Concrete Composite,1952,,2007,10,Total=48  (1)=4;(2)=5;(3)=5;(4)=5;(5)=5;(6)=5;(7)=5;(8)=5;(9)=5;(10)=4;,47.5,11.18,Eastern,,Open to traffic,Provincial,12/08/2016,64.8,,64.8,,64.7,,67.1,,70.4,,71.6,,73.1,,72.9,,72.4,,72.4
26 - 120/1,CAVANVILLE CREEK BRIDGE..... NBL (EB),PONT CAVANVILLE PONT DU RUISSEAU ..... VDN (DE) ,115,44.2283767,-78.3861958,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1985,,2006,3,Total=50  (1)=13;(2)=24;(3)=13;,51,13.45,Eastern,,Open to traffic,Provincial,07/27/2016,74.3,,74.3,,74.5,,74.7,,74.6,,74.8,,74.8,,74.8,,74.5,,74.6
26 - 120/2,CAVANVILLE CREEK BRIDGE ....SBL (WB),PONT CAVANVILLE CREEK ....VDS (DO) ,115,44.2284832,-78.3865565,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1977,2003,,3,Total=65.5  (1)=19.8;(2)=25.9;(3)=19.8;,66.3,13.1,Eastern,,Open to traffic,Provincial,07/27/2016,73.2,,73.2,,73.5,,73.4,,73.2,,73.4,,73.6,,73.5,,67.8,,67.7
26 - 139/C,EAST OUSE RIVER BRIDGE,,7,44.38741,-77.97604,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1938,,2009,1,Total=7.3  (1)=7.3;,15.85,,Eastern,,Open to traffic,Provincial,09/15/2016,72.4,,72.4,,71.4,,72.8,,73.3,,66.8,,66.8,,66.8,,32.1,,67.6
26 - 141/,PERRYS CREEK BRIDGE,PONT PERRYS CREEK ,28,44.56186483,-78.2105035,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1967,1992,,3,Total=57  (1)=15;(2)=27;(3)=15;,57.3,19.5,Eastern,,Open to traffic,Provincial,12/08/2016,70.4,,70.4,,70.4,,72.1,,72.4,,73.4,,73.5,,74.3,,74.1,,73.4
26 - 173/1,HWY 7 EBL / Parkway SB Overpass (BR #1) ,ÉCHANGEUR Rte 7 - QUEENSWAY (PONT #1) ......VDE ,7,44.265044,-78.347611,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1984,,,1,Total=16  (1)=16;,15.5,12,Eastern,,Open to traffic,Provincial,08/23/2016,73.7,,73.7,,73.6,,72.9,,74,,74.4,,74.3,,74.3,,74.6,,74.6
26 - 173/2,HWY 7 WBL / Parkway SB Overpass (BR #2),ÉCHANGEUR Rte 7 - QUEENSWAY (PONT #2)...... VDO ,7,44.2654369,-78.3476953,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1984,,,1,Total=16  (1)=16;,15.4,12,Eastern,,Open to traffic,Provincial,08/23/2016,74.5,,74.5,,74.5,,74.6,,74.9,,74.9,,75,,75,,82.4,,75
26 - 174/1,HWY 7 - QUEENSWAY IC (BR #3)..... EBL,ÉCHANGEUR Rte 7 - QUEENSWAY (PONT #3)..... VDE ,7,44.2666,-78.345523,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1984,,,1,Total=16  (1)=16;,16.1,12,Eastern,,Open to traffic,Provincial,09/07/2016,74.4,,74.4,,74.5,,74.7,,74.8,,75,,75,,75,,75,,75
26 - 174/2,HWY 7 - QUEENSWAY IC (BR #4)...... WBL,ÉCHANGEUR Rte 7 - QUEENSWAY (PONT #4)...... VDO ,7,44.266674,-78.346046,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1984,,,1,Total=15  (1)=15;,16.1,12,Eastern,,Open to traffic,Provincial,09/07/2016,74.2,,74.2,,74.1,,74.4,,75,,75,,75,,75,,75,,75
26 - 175/1,"BENSFORT ROAD OPS, EBL","BENSFORT ROAD PASSAGE SUPÉRIEUR, VDE ",7,44.2754966,-78.3080956,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1984,,,1,Total=16  (1)=16;,15.9,12,Eastern,,Open to traffic,Provincial,09/07/2016,74.4,,74.4,,74.3,,74.4,,74.6,,74.6,,74.8,,84.1,,83.9,,75
26 - 175/2,"BENSFORT ROAD OPS, WBL","BENSFORT ROAD PASSAGE SUPÉRIEUR, VDO ",7,44.2757348,-78.3082077,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1984,,,1,Total=16  (1)=16;,15.9,12,Eastern,,Open to traffic,Provincial,09/07/2016,74.1,,74.1,,74.1,,74.5,,74.7,,74.8,,74.8,,75,,84.4,,75
26 - 176/1,"ASHBURNHAM DRIVE UPS, NBL","ASHBURNHAM DRIVE PASSAGE INFÉRIEUR, VDN ",7,44.2837319,-78.2934159,Bridge,Slab,Rectangular Voided Slab,Reinforced Cast-In-Place Concrete,1984,,,2,Total=104  (1)=52;(2)=52;,104,10.95,Eastern,,Open to traffic,Provincial,09/15/2016,74.8,,74.8,,74.9,,75.5,,75.5,,75.4,,75,,75,,,,74.6
26 - 176/2,"ASHBURNHAM DRIVE UPS, SBL","ASHBURNHAM DRIVE PASSAGE INFÉRIEUR, VDS ",7,44.2836142,-78.2935471,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1984,,,2,Total=104  (1)=52;(2)=52;,104,10.95,Eastern,,Open to traffic,Provincial,09/15/2016,74.6,,74.6,,74.6,,74.6,,74.6,,74.7,,75,,75,,,,
26 - 177/,AIRPORT ROAD UPS (COUNTY ROAD 11),AIRPORT ROAD PASSAGES INFÉRIEURS (COUNTY ROAD 11) ,115,44.248156,-78.359334,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1985,,2008,2,Total=73  (1)=36.5;(2)=36.5;,73,11.95,Eastern,,Open to traffic,Provincial,10/19/2016,73.9,,73.9,,74.1,,74.1,,74.5,,75.3,,74.3,,73.9,,74,,74.4
26 - 181/C,Loon Call Creek Culvert,,28,44.7151435,-78.1185314,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,,,2014,1,Total=3.7  (1)=3.7;,34,,Eastern,,Open to traffic,Provincial,09/15/2015,70,,,70,46.3,,,,46.3,,46.3,,,,,,,,
26 - 182/C,Culvert,,28,44.8540074,-78.1143934,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,,,,1,Total=3.1  (1)=3.1;,25.6,,Eastern,,Open to traffic,Provincial,09/01/2016,71.7,,71.7,,,,71.7,,,,71.7,,,,,,,,
26 - 183/C,PLATO CREEK CULVERT,,7,44.4327916,-77.897033,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1985,2012,,1,Total=6.1  (1)=6.1;,21.34,,Eastern,,Open to traffic,Provincial,09/11/2017,72.3,72.3,,72.3,,72.3,,70.3,,70.7,70.7,,70.7,,71.2,,94.3,,70.9
26 - 185/C,PLATO CREEK CULVERT,,7,44.432694,-77.851409,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1972,,,1,Total=6.1;  (1)=6.1;,24.38,,Eastern,,Open to traffic,Provincial,09/15/2016,72.6,,72.6,,72.1,,73.2,,74.2,,74.9,,74.4,,74.7,,77.7,,73.4
26 - 205/C,CULVERT - 200m E of County Road 30,,7,44.2956169,-78.275433,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1967,2007,2001,1,Total=6.1  (1)=6.1;,39.01,,Eastern,,Open to traffic,Provincial,09/07/2016,74,,74,,74.1,,74.2,,76,,,,73.9,,73.9,,74.3,,
26 - 206/C,CULVERT - 350m W of Drummond Line,,7,44.30111,-78.2527,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1967,2007,,1,Total=6.1;  (1)=6.1;,45.72,,Eastern,,Open to traffic,Provincial,09/07/2016,74.1,,74.1,,73.1,,73.3,,73.8,,72.7,,72.7,,73.8,,74.7,,73.9
26 - 207/C,CULVERT - 400m W of Drummond Line,,7,44.3043,-78.25168,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1967,,2001,1,Total=6.1;  (1)=6.1;,17.05,,Eastern,,Open to traffic,Provincial,09/07/2016,74.4,,74.4,,74.5,,74.8,,74.9,,75,,75,,75,,100,,75
26 - 208/C,"Hwy 7 Culvert, E of Providence Line",,7,44.3092,-78.2305,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,2009,2009,,1,Total=6.1  (1)=6.1;,41,,Eastern,,Open to traffic,Provincial,09/11/2017,85.9,85.9,,,,92.8,,,,74.9,,,,,,,,,
26 - 209/C,"Hwy 7 Culvert, E of Leanne Ave",,7,44.3134911,-78.2171296,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,2009,2009,,1,Total=3.7  (1)=3.7;,41,,Eastern,,Open to traffic,Provincial,09/11/2017,86,86,,,,92.9,,,,74.7,,,,,,,,,
26 - 210/C,"Hwy 7 Culvert, E of County Rd 34",,7,44.3161254,-78.190974,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,,2001,,1,Total=4.3  (1)=4.3;,26.8,,Eastern,,Open to traffic,Provincial,09/11/2017,73.8,73.8,,,,74.1,,,,75,,,,,,,,,
26 - 211/C,Culvert,,7,44.3263,-78.1522,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,,,,1,Total=3.7  (1)=3.7;,34.4,,Eastern,,Open to traffic,Provincial,09/11/2017,70,70,,,,69.6,,,,71.6,,,,,,,,,
26 - 213/C,Culvert,,7,44.3576841,-78.0360979,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1974,,,1,Total=3.8  (1)=3.8;,27,,Eastern,,Open to traffic,Provincial,09/11/2017,74.8,74.8,,,,74.9,,,,75,,,,,,,,,
26 - 214/C,Culvert (0.1km west of Line 7),,7,44.3646488,-78.0075608,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1974,,,1,Total=5.5  (1)=5.5;,32.8,,Eastern,,Open to traffic,Provincial,09/16/2015,68.3,,,68.3,,,,69.8,,,,70.1,,,,,,,
26 - 215/C,Culvert (0.5km north of Airport Rd U/P (County Rd 11)),,7,44.2402278,-78.4024869,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2012,2012,,1,Total=3.65  (1)=3.65;,26.9,,Eastern,,Open to traffic,Provincial,09/03/2015,95.2,,,95.2,,97.2,,40.1,39.7,39.7,,42.4,,,,,,,
26 - 216/C,Hwy 7 / Hwy 115 Culvert,,115,44.2321664,-78.3812281,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1977,,,1,Total=3.1  (1)=3.1;,50,,Eastern,,Open to traffic,Provincial,09/11/2017,73.9,73.9,,,,73.9,,,,74.1,,,,,,,,,
26 - 217/C,Cty Rd 11 (Airport Rd) N/S -E ramps,,115,44.2459948,-78.359101,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1977,,,1,Total=4.5  (1)=4.5;,35.9,,Eastern,,Open to traffic,Provincial,09/11/2017,75,75,,,,75,,,,75,,,,,,,,,
26 - 218/C,Culvert (0.5km north of Airport Rd U/P (County Rd 11)),,115,44.2516006,-78.3551387,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1977,,,1,Total=3.66  (1)=3.66;,71,,Eastern,,Open to traffic,Provincial,09/03/2015,71,,,71,,,,71.1,,,,75,,,,,,,
26 - 219/C,Culvert (0.5km south of Hwy 7- Queensway IC),,115,44.2618239,-78.3495676,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1983,,,1,Total=3.7  (1)=3.7;,100,,Eastern,,Open to traffic,Provincial,09/03/2015,74,,,74,,,,74,,,,75,,,,,,,
26 - 220/C,Airport Rd SB to 115 WB Ramp Culvert,,115,44.2477472,-78.3606746,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1985,,,1,Total=4.5  (1)=4.5;,71,,Eastern,,Open to traffic,Provincial,09/11/2017,73.5,73.5,,,,73.3,,,,74.8,,,,,,,,,
26 - 264/C,Robyn's Motel Culvert,,7,44.303581,-78.244425,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1967,,,1,Total=3.1  (1)=3.1;,20.8,,Eastern,,Open to traffic,Provincial,09/11/2017,70.9,70.9,,,,70.9,,,,71.4,,,71.4,,,,,,
26 - 265/C,Culvert  @ David Fife Line,,7,44.323578,-78.1597563,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1967,,,1,Total=3.1  (1)=3.1;,25.1,,Eastern,,Open to traffic,Provincial,09/24/2014,71.5,,,,71.5,,,,71.9,,,,73.5,,,,,,
26 - 266/C,Culvert,,7,44.3281097,-78.1443329,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1972,,,1,Total=3  (1)=3;,34.29,,Eastern,,Open to traffic,Provincial,09/24/2014,71.9,,,,71.9,,,,72.4,,,,73.2,,,,,,
27 -  50/,HAWKESBURY CREEK AND CNR OVERHEAD,HAWKESBURY CREEK ET VIADUC DU CNR ,17,45.596358,-74.621446,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1955,1987,,3,Total=56.8  (1)=16.5;(2)=23.8;(3)=16.5;,56.7,16.3,Eastern,,Open to traffic,Provincial,06/22/2016,69,,69,,70.2,,70.8,,71.9,,70.5,,70.5,,69.4,,,,
27 -  51/,HWY 34 OVERPASS,Rte 34 PASSAGE SUPÉRIEUR ,17,45.596161,-74.620586,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1956,2007,,1,Total=18.1  (1)=18.1;,17.9,18.1,Eastern,,Open to traffic,Provincial,06/22/2016,66.3,,66.3,,69.9,,70.1,,74.6,,73.2,,59.4,,57.1,,,,
27 - 179/C1,E. HAWKSBURY CREEK CULVERT,,417,45.5527122,-74.4482452,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,1954,,,1,Total=6.1  (1)=6.1;,38,,Eastern,,Open to traffic,Provincial,09/15/2016,65.3,,65.3,,65.9,,65.5,,65.9,,66,,66.9,,66.9,,74.9,,72.9
27 - 179/C2,East Hawkesbury Creek Culvert,,417,45.553152,-74.448072,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,,,,1,Total=6.1  (1)=6.1;,73,,Eastern,,Open to traffic,Provincial,09/15/2016,73.2,,73.2,,73.4,,73.2,,73.4,,73.4,,74.9,,,,,,
27 - 198/,REGIONAL ROAD #8 UNDERPASS    *,REGIONAL ROAD #8 PASSAGE INFÉRIEUR * ,417,45.340569,-75.382847,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1972,1994,2014,4,Total=142  (1)=27;(2)=46;(3)=43;(4)=26;,141.7,10.36,Eastern,,Open to traffic,Provincial,07/19/2016,66.4,,66.4,,70,,70.5,,72.3,,73.7,,73.8,,72,,73.8,,95.7
27 - 199/,La Grande Montee (County Road 24 U/P),"La Grande Montee, County Road 24 PASSAGE INFÉRIEUR ",417,45.539136,-74.390272,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1972,2012,,2,Total=92  (1)=46;(2)=46;,92.5,10.36,Eastern,,Open to traffic,Provincial,11/02/2016,76.4,,76.4,,77.3,,70.6,,70.5,,71.4,,71.9,,65.8,,73.7,,71.8
27 - 200/,St. Eugene Road U/P,St. Eugene Road PASSAGE INFÉRIEUR ,417,45.553622,-74.450911,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1971,2015,,2,Total=80  (1)=40;(2)=40;,81.1,13.6,Eastern,,Open to traffic,Provincial,11/02/2016,81.2,,81.2,,69,,69,,71.3,,71.5,,71.9,,70.7,,74.1,,73.9
27 - 201/,HWY 17 INTERCH. (EBL RAMP),Échangeur Rte 17 ( BRETELLE VDE) ,417,45.565167,-74.50445,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1974,2008,,2,Total=93  (1)=44.2;(2)=48.8;,93,8.84,Eastern,,Open to traffic,Provincial,11/02/2016,74,,74,,74.3,,74.3,,75.4,,70.8,,70.8,,68.7,,71.5,,88.4
27 - 206/,COUNTY RD#5 INTERCH. U'PASS,Échangeur COUNTY RD#5 Passage inférieur ,417,45.313324,-75.241887,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1974,2015,1984,5,Total=182  (1)=31;(2)=40;(3)=40;(4)=40;(5)=31;,179.8,10.87,Eastern,,Open to traffic,Provincial,11/02/2016,77.1,,77.1,,,,67.9,,69.1,,69.4,,69.9,,70.7,,72,,94.9
27 - 207/,REGIONAL RD 33 U/P (Vars RD.),REGIONAL RD 33 PASSAGE INFÉRIEUR SUR Rte 417 ,417,45.336317,-75.345258,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1972,1999,,2,Total=76  (1)=38;(2)=38;,77.3,10.36,Eastern,,Open to traffic,Provincial,07/19/2016,73,,73,,72.8,,71.9,,72.5,,72.9,,73,,72.8,,74,,95.7
27 - 210/1,SOUTH NATION R BRIDGE (EBL),PONT SOUTH NATION R (VDE) ,417,45.304089,-75.104061,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1972,2006,,3,Total=174  (1)=55;(2)=66;(3)=53;,174.2,12.44,Eastern,,Open to traffic,Provincial,08/17/2016,76.1,,76.1,,76.5,,77,,78.4,,79.8,,80.3,,70,,71,,90.9
27 - 210/2,SOUTH NATION R BRIDGE (WBL),PONT SOUTH NATION R (VDO) ,417,45.305061,-75.103153,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1972,2007,,3,Total=174  (1)=55;(2)=66;(3)=53;,174.2,12.44,Eastern,,Open to traffic,Provincial,08/17/2016,76.1,,76.1,,76.4,,77,,79.1,,80.6,,72.5,,72.2,,69.9,,90.1
27 - 211/,COUNTY RD#7 INTERCHANGE #66 U'PASS Casselman,Échangeur COUNTY RD#7 Passage inférieur ,417,45.30305,-75.080075,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,2014,,2,Total=76  (1)=38;(2)=38;,77.4,10.36,Eastern,,Open to traffic,Provincial,08/17/2016,76.2,,76.2,,,,60.3,,63,,65.4,,69.1,,70.1,,72.9,,90.4
27 - 212/1,CO RD 3 O/P-EBL,CO RD 3 PASSAGE SUPÉRIEUR-VDE ,417,45.310446,-75.152254,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1973,2006,2016,6,Total=114  (1)=15;(2)=21;(3)=21;(4)=21;(5)=21;(6)=15;,117.9,12.34,Eastern,,Open to traffic,Provincial,08/17/2016,78.1,,78.1,,79,,80,,82.5,,84.4,,86.4,,68.8,,71.7,,91.2
27 - 212/2,"CO RD 3 O/P-WBL
West of Casselman Interchange 66",CO RD 3 PASSAGE SUPÉRIEUR-VDO ,417,45.310574,-75.151752,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1973,1988,2016,6,Total=114  (1)=15;(2)=21;(3)=21;(4)=21;(5)=21;(6)=15;,117.9,12.34,Eastern,,Open to traffic,Provincial,08/17/2016,78.7,,78.7,,79.1,,80.1,,83.3,,84.9,,60.8,,66.1,,64.2,,90.6
27 - 213/1,CNR O/H EBL  East of CTY RD 7 Casselman Interchange 66,VIADUC DU CNRR VDE .6 M E. de CTY RD 7 ,417,45.303828,-75.069139,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,2007,,3,Total=69  (1)=21;(2)=26;(3)=22;,70.5,16.44,Eastern,,Open to traffic,Provincial,07/27/2016,79.4,,79.4,,80.2,,82.1,,82.8,,84.2,,69.6,,68.6,,71.7,,89.5
27 - 213/2,"C.N.R.O/H WBL.East of CTY.RD7 Casselman Interchange 66
",VIADUC DU CNRR VDE .6 M E. de CTY RD 7 ,417,45.304117,-75.069758,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1972,2007,,3,Total=70  (1)=22;(2)=26;(3)=22;,70.5,12.44,Eastern,,Open to traffic,Provincial,07/27/2016,79.6,,79.6,,80.4,,81.3,,83.5,,84.9,,68.9,,66.7,,70.5,,88.3
27 - 214/,HWY 138 U/P OVER HWY 417,Rte 138 PASSAGE INFÉRIEUR AU-DESSUS DE Rte 417,417,45.326081,-74.984911,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,2014,,4,Total=110  (1)=21;(2)=34;(3)=34;(4)=21;,110.8,14.43,Eastern,,Open to traffic,Provincial,07/27/2016,79.1,,79.1,,65.2,,65.2,,69.5,,69.6,,71.9,,67.2,,70.1,,89.9
27 - 215/C1,"SOUTH INDIAN CREEK CULVERT
(EBL)",,417,45.3135458,-75.228858,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1971,,,1,Total=6.1  (1)=6.1;,34.92,,Eastern,,Open to traffic,Provincial,09/01/2016,71.8,,71.8,,71.7,,72.2,,72.4,,72.5,,75,,,75,,,75
27 - 215/C2,"SOUTH INDIAN CREEK CULVERT
(WBL)",,417,45.3142272,-75.2287894,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1971,,,1,Total=6.1  (1)=6.1;,25.6,,Eastern,,Open to traffic,Provincial,09/01/2016,72.8,,72.8,,72.3,,72.3,,72.6,,72.7,,75,,,75,,,75
27 - 218/,Skye Rd. U/P,RUE TOWNSHIP PASSAGE INFÉRIEUR,417,45.407891,-74.77122,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,2011,,2,Total=70  (1)=35;(2)=35;,71.2,9.75,Eastern,,Open to traffic,Provincial,11/01/2016,74.7,,74.7,,75.7,,77.9,,49.5,,58.2,,58.6,,57.5,,57.2,,89.8
27 - 222/,CO RD 13 INTERC. U/P,Échangeur CO RD 13 PASSAGE INFÉRIEUR ,417,45.516959,-74.564825,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1974,2012,1972,2,Total=76  (1)=38;(2)=38;,77.2,10.4,Eastern,,Open to traffic,Provincial,11/01/2016,76,,76,,77.6,,59.9,,59.9,,67.8,,70.4,,79.1,,72.7,,86.5
27 - 223/1,CPR.  O/H  E.B.L. (Recreational Trail),VIADUC DU CPR VDE ,417,45.52795,-74.557428,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1973,2001,,3,Total=40  (1)=13;(2)=14;(3)=13;,40.4,12.7,Eastern,,Open to traffic,Provincial,11/02/2016,72.4,,72.4,,72.5,,73.1,,74.1,,74.2,,74.7,,72.7,,76.2,,88.1
