School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Humberside Montessori School,875996,,Felix Bednarski,,,121 Kennedy Ave,Toronto,Ontario,M6S2X8,416-762-8888,416-762-1211,Toronto and Area Regional Office,www.humbersidemontessori.ca/,Elementary,Not applicable,,Association Montessori Internationale
Hummingbird Montessori School,883001,,Megan McQueen,,,3521 Simcoe County Rd. 124,Nottawa,Ontario,L0M1S0,705-888-1252,,Barrie Regional Office,hummingbirdmontessori.ca,Elementary,Not applicable,,Ontario Federation of Independent Schools
Huron Christian School,885304,,Nick Geleynse,,Box 658,87 Percival Street,Clinton,Ontario,N0M1L0,519-482-7851,519-482-7448,London Regional Office,http://www.huronchristianschool.ca,Elementary,Not applicable,Site based only,Ontario Alliance of Christian Schools
Huron Hills Parochial School,885212,,Noah Martin,,,759 Karishea Ave 3,Holyrood,Ontario,N0G2B0,,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Huron International School,665474,Offers credits toward the Ontario Secondary School Diploma (OSSD),Atila Nozam,,,424 Quebec Avenue,Huron Park,Ontario,N0M1Y0,519-619-5296,,London Regional Office,,Secondary,All Year Round,Site based only,No
I am Smart S-Cool!,885965,,Olessia Kotoko,8-9,,160 Dudley Ave,Thornhill,Ontario,L3T2E6,416-836-2727,,Toronto and Area Regional Office,www.iamsmartscool.com,Elementary,Not applicable,,No
I.R. Churchill Elementary,663030,,Andy Graham,,,2040 Walsh Street East,Thunder Bay,Ontario,P7E4W2,,,Thunder Bay Regional Office,www.facebook.com\LDMLEC\,Elementary,First Nation,First Nation,No
Immanuel Christian School,885070,,Sherry Bokma,,,75 Caverly Rd,Aylmer,Ontario,N5H2P6,519-773-8476,519-773-8315,London Regional Office,www.immanuelchristianschool.net,Elementary,Not applicable,,Ontario Alliance of Christian Schools
Immanuel Christian School,885940,,Rosa Nyboer-peterzon,,,100-A Rossland Rd W,Whitby,Ontario,L1N3H9,905-728-9071,,Barrie Regional Office,www.imanuelschool.ca,Elementary,Not applicable,,Ontario Alliance of Christian Schools
Immigrants Working Centre - IWC Academy,881662,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wael Ghali,101,,8 Main Street East,Hamilton,Ontario,L8N1E8,905-529-5209,905-521-0541,Toronto and Area Regional Office,www.iwchamilton.ca,Secondary,All Year Round,,No
Imperial College of Toronto,884979,Offers credits toward the Ontario Secondary School Diploma (OSSD),Eileen Crichton,,,20 Queen Elizabeth Blvd,Toronto,Ontario,M8Z1L8,416-251-4970,416-251-0259,Toronto and Area Regional Office,http://www.imperialcollege.org,Secondary,All Year Round,Site based only,No
Inception Academy,884337,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anahid Soleimani,273-4,,7163 Yonge Street,Thornhill,Ontario,L3T0C6,647-340-6305,,Barrie Regional Office,inceptionacademy.ca,Secondary,All Year Round,,No
Infinity School,665962,,Andrea Nair,,,115 Askin St,London,Ontario,N6C1E7,519-852-5810,519-963-1880,London Regional Office,www.infinityschool.ca,Elementary,Not applicable,,No
Innocent Hearts Secondary School,886638,Offers credits toward the Ontario Secondary School Diploma (OSSD),Harpal Arora,15,,60 Cottrelle Blvd,Brampton,Ontario,L6S0E1,647-293-9906,647-494-9780,Toronto and Area Regional Office,www.innocenthearts.ca,Secondary,All Year Round,Site based only,independent and Private School Forum
Innova Academy,667661,,Monica Whatley,,,1000 Gorham Street,Newmarket,Ontario,L3Y1L8,905-806-1959,,Barrie Regional Office,www.innovaacademy.ca,Elem/Sec,Not applicable,,ACSI and ACCS
Innunco Academy,886338,Offers credits toward the Ontario Secondary School Diploma (OSSD),Miao Sun,700,,55 Town Centre Court,Scarborough,Ontario,M1P4X4,416-845-6865,,Toronto and Area Regional Office,innunco.com,Secondary,All Year Round,Internet/Site Based,No
Insight Academy of Canada,880844,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kristina Ramratttan,200,,1039 McNicoll Avenue,Toronto,Ontario,M1W3W6,416-900-2343,,Toronto and Area Regional Office,www.insightacademy.ca,Elem/Sec,All Year Round,Internet based only,No
Inspira Academy,669759,,,,,62 Silver Horse Crescent,Ottawa,Ontario,K2M2E3,613-721-9994,,Ottawa Regional Office,,Secondary,All Year Round,,
Inspiration Private School - Aurora,665353,Offers credits toward the Ontario Secondary School Diploma (OSSD),Angel Kuang,201,,15260 Yonge Street,Aurora,Ontario,L4G1N4,905-503-6988,,Barrie Regional Office,www.inspirationprivateschool.ca,Secondary,All Year Round,Site based only,No
Inspiration Private School - Markham,887642,Offers credits toward the Ontario Secondary School Diploma (OSSD),Angel Kuang,5,,2 Corby Road,Markham,Ontario,L3R8A9,905-415-8257,,Barrie Regional Office,,Secondary,All Year Round,Site based only,No
Inspiration Private School - Oakville,669893,Offers credits toward the Ontario Secondary School Diploma (OSSD),Manman Galium Ko,18,,2345 Wyecroft Road,Oakville,Ontario,L6L6L8,905-827-3888,,Toronto and Area Regional Office,,Secondary,All Year Round,Internet/Site Based,No
Inspired Mind Academy,669968,Offers credits toward the Ontario Secondary School Diploma (OSSD),Esmaili-Nazar Leila,302,,24 Drewry Ave,Toronto,Ontario,M2M1C8,647-778-2448,,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
Institute of Canadian Education,882222,Offers credits toward the Ontario Secondary School Diploma (OSSD),Amjad Khan,201,,140 La Rose Avenue,Etobicoke,Ontario,M9P1B2,416-628-8169,416-352-0063,Toronto and Area Regional Office,www.iceducation.ca,Secondary,All Year Round,Internet/Site Based,No
Integral High School,882483,Offers credits toward the Ontario Secondary School Diploma (OSSD),SAED FATEMIZADEH,,,323 Cummer Avenue,Toronto,Ontario,M2M2E8,416-497-3107,,Toronto and Area Regional Office,,Secondary,All Year Round,,No
International Canadian Future School,881913,,Mark Aljabban,208,,3195 Erindale Station Road,Mississauga,Ontario,L5C1Y5,905-494-0077,,Toronto and Area Regional Office,,Elementary,Not applicable,Internet/Site Based,No
International School of Cambridge,876402,,Safdar Muhammad,,,1550 Dunbar Rd,Cambridge,Ontario,N1R8J5,519-740-6855,519-624-5333,London Regional Office,www.isocambridge.com,Elementary,Not applicable,,No
International School of Prodigies Prepar,881944,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),"Joseph N'tumba, Mujinga N'Goya",509,,2250 Bovaird Drive East,Brampton,Ontario,L6R0W3,437-996-4477,,Toronto and Area Regional Office,www.iternatioonalprepschoolofmedicalprodigies.com,Elem/Sec,Not applicable,Site based only,No
Intola Baptist Church,877280,,Pastor Nolan,,,6771 Mapleward Road,Thunder Bay,Ontario,P7G2K1,807-767-5562,,Thunder Bay Regional Office,,Elem/Sec,Not applicable,Site based only,No
IQRA Academy,888839,Offers credits toward the Ontario Secondary School Diploma (OSSD),Khalid Manzur,,,2704 DANFORTH AVE,TORONTO,Ontario,M4C1L7,416-949-6064,647-847-5202,Toronto and Area Regional Office,www.iqraacademyca.com,Secondary,All Year Round,Site based only,No
IQRA Islamic School,878049,,Ahmed Gaffuri,,,5751 Coopers Ave,Mississauga,Ontario,L4Z1R9,905-507-6688,905-507-9243,Toronto and Area Regional Office,http://iqraislamicschool.com,Elementary,Not applicable,Site based only,No
Iqra Nejasni Islamic School,669130,,Mohamed Issa,,,171 McCormack Street,Toronto,Ontario,M6N1X8,416-658-0081,,Toronto and Area Regional Office,www.iqranejashi.com,Elementary,Not applicable,,No
Islamic Education Guidance Centre,665419,,Ahmed-Nabil Nur,,,40 SOUTH STATION ST,YORK,Ontario,M9N2B3,416-242-9996,416-242-2287,Toronto and Area Regional Office,www.islaamcenter.com,Elementary,Not applicable,,No
Islamic Foundation School,876321,,Obaid Yarkhan,,,441 Nugget Ave,Scarborough,Ontario,M1S5E1,416-321-3776,416-321-1078,Toronto and Area Regional Office,http://www.islamicfoundation.ca,Elementary,Not applicable,,No
Islamic Foundation School - Durham,667492,,Syed Ahmed,,,2944 Audley Road North,Ajax,Ontario,L1Z1T7,905-619-9962,905-619-9007,Barrie Regional Office,,Elementary,Not applicable,,No
Islamic Institute Al-Rashid,883867,,Mohammad Mazhar Alam,,,18345 COUNTY RD 2 RR1,CORNWALL,Ontario,K6H5R5,613-931-2895,613-931-3300,Ottawa Regional Office,www.alrashid.ca,Elem/Sec,Not applicable,,No
Islamic Institute of Toronto Academy,880343,,Zaheer Khan,,,1630 NEILSON RD,SCARBOROUGH,Ontario,M1X1S3,416-335-9173,416-335-9208,Toronto and Area Regional Office,www.iitacademy.ca,Elementary,Not applicable,,No
Islamic School of Hamilton,878375,,Yousef Kfaween,,,1545 Stone Church Rd E,Hamilton,Ontario,L8W3P8,905-383-7786,905-383-7786,London Regional Office,www.ishcanada.ca,Elementary,Not applicable,,Muslim Association of Hamilton
ISM Elementary School,667586,,Aamir Hafiz,,,2900 Denison Street,Markham,Ontario,L3S4J8,905-294-7866,905-472-8702,Barrie Regional Office,https://www.ismelementary.com/,Elementary,Not applicable,Site based only,No
ISNA High School,665401,Offers credits toward the Ontario Secondary School Diploma (OSSD),Salar Rasoul,,,2200 South Sheridan Way,Mississauga,Ontario,L5J2M4,905-272-4303,905-403-9463,Toronto and Area Regional Office,http://isnaschools.com,Secondary,Not applicable,Internet/Site Based,Ontario Association of Islamic Schools
ISNA Islamic School,882925,,Vaseema Arifuddin,,,1525 Sherway Dr,Mississauga,Ontario,L4X1C5,905-272-4303,905-272-4311,Toronto and Area Regional Office,,Elementary,Not applicable,Site based only,No
Issachar Christian Academy,666276,,Kim Laaper,,,235-B Albert Avenue,North Bay,Ontario,P1B7J6,705-472-7662,,Sudbury-North Bay Regional Office,www.issacharca.com,Elementary,Not applicable,Site based only,No
Ivy League International Academy,886040,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,907,,3601 Highway 7 East,Markham,Ontario,L3R0M3,416-756-4563,,Barrie Regional Office,alathena.com,Secondary,All Year Round,,No
Ivy League International Academy - Wasag,882077,,,313 & 314,,818 Mosley,Wasaga Beach,Ontario,L9Z2H4,416-756-4563,,Barrie Regional Office,,Secondary,All Year Round,,
J Addison School,666092,Offers credits toward the Ontario Secondary School Diploma (OSSD),Liberato Venditti,,,2 Valleywood Drive,Markham,Ontario,L3R8H3,905-477-4999,905-477-4380,Barrie Regional Office,www.jaddisonschool.com,Elem/Sec,All Year Round,,No
Jackman Institute of Child Study,887099,,Richard Messina,,,45 Walmer Rd,Toronto,Ontario,M5R2X2,416-934-4509,,Toronto and Area Regional Office,http://www.oise.utoronto.ca/ICS/labschool.html,Elementary,Not applicable,,Lab School
Jarvis District Christian School,886637,,Chad Haverkamp,,Box 520,149 Talbot St. East,Jarvis,Ontario,N0A1J0,519-587-4444,,London Regional Office,www.jarvisccs.com,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Jasper Academy,886269,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ali Samater,202,,150 Lesmill Road,Toronto,Ontario,M3B2T5,416-825-1286,,Toronto and Area Regional Office,www.jaspermy.com,Secondary,All Year Round,Internet based only,No
Jaya International High School,669574,Offers credits toward the Ontario Secondary School Diploma (OSSD),Marijana Stojkovic,204,,3105 Dundas Street West,Mississauga,Ontario,L5L3R8,905-828-7898,289-805-8121,Toronto and Area Regional Office,www.jihs.ca,Secondary,All Year Round,Internet/Site Based,OFIS and IPSF
Jehovah Jireh Christian School,669996,,Carol McLean,,,20554 Hurontario Street,Caledon,Ontario,L7K1W9,519-942-2338,519-942-1778,Toronto and Area Regional Office,www.jjcm.ca/jjcs,Elementary,Not applicable,Site based only,Ontario Accelerated Christian Education Association
JEI Learning Center,665073,,Percy Leung,108,,1650 Elgin Mills Road,Richmond Hill,Ontario,L4S0B2,905-237-8534,,Barrie Regional Office,www.jeirichmondhill.ca,Elementary,Not applicable,,No
JEI Learning Center - Greensborough,885297,,EMILY CHAN,13,,10 Greensborough Village Circle,Markham,Ontario,L6E1M4,905-209-9222,,Barrie Regional Office,www.jeimarkhameast.com,Elementary,Not applicable,,No
JIC  School,887635,Offers credits toward the Ontario Secondary School Diploma (OSSD),Noor-ud-din Ghauri,,,2380 Tedlo Street,Mississauaga,Ontario,L5A3V3,905-361-9542,905-279-8486,Toronto and Area Regional Office,,Elem/Sec,All Year Round,Internet/Site Based,Ummati Board
Jingbao Bilingual Montessori School,882675,,Jennifer Chang,,,265 16th Avenue,Richmond Hill,Ontario,L4C7A6,905-889-2121,905-889-2424,Barrie Regional Office,,Elementary,Not applicable,Site based only,No
JNY Day School,668272,,Shuchat Schneur,,,465 Patricia Avenue,Toronto,Ontario,M2R2N1,647-518-8770,,Toronto and Area Regional Office,www.jewishnorthyork.org,Elementary,Not applicable,Site based only,No
Joan of Arc Academy,886017,,Brian Lamb,,,2221 Elmira Dr,Ottawa,Ontario,K2C1H3,613-728-6364,613-728-2935,Ottawa Regional Office,http://www.joanofarcacademy.com/,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
John C Yesno Education Centre,663352,Offers credits toward the Ontario Secondary School Diploma (OSSD),Robert Waboose,,Box 297,,Eabamet Lake,Ontario,P0T1L0,807-242-8421,807-242-1592,Thunder Bay Regional Office,,Elem/Sec,First Nation,First Nation,No
John Calvin Private School,885436,,George Hofsink,,Box 280,320 Station Street,Smithville,Ontario,L0R2A0,905-957-2341,905-957-2342,Toronto and Area Regional Office,johncalvin.ca,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
John Knox Christian,885185,,Christine Soultanidis,,,82 McLaughlin Rd S,Brampton,Ontario,L6Y2C7,905-451-3236,905-451-3448,Toronto and Area Regional Office,http://www.bramptonjkcs.org,Elementary,Not applicable,,Edvance Christian Schools Association
John Knox Christian School,886564,,George Petrusma,,,2232 Sheridan Garden Drive,Oakville,Ontario,L6J7T1,905-829-8048,905-829-8056,Toronto and Area Regional Office,http://www.jkcs-oakville.ca,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
John Knox Christian School,886785,,Ymko Boersma,,Box 81,4738 Confederation Line,Wyoming,Ontario,N0N1T0,519-845-3112,519-845-1404,London Regional Office,www.wyomingjkcs.com,Elementary,Not applicable,,Ontario Alliance of Christian Schools
Jordan Christian School,882992,Offers credits toward the Ontario Secondary School Diploma (OSSD),Paul Wagenaar,,Box 69,4171 Fifteenth St,Jordan Station,Ontario,L0R1S0,905-562-4023,905-562-4024,London Regional Office,www.ourjcs.ca,Elem/Sec,Not applicable,,Rehoboth Christian School Society
"Junior Academy, The",884480,,Paul Bamberger,,,2454 Bayview Avenue,Toronto,Ontario,M2L1A6,416-425-4567,416-425-7379,Toronto and Area Regional Office,www.junioracademy.com,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Kaban Montessori School,883736,,Karla Escobedo,2,,2465 Dunwin Drive,Mississauga,Ontario,L5L1T1,905-569-3112,,Toronto and Area Regional Office,www.kabanmontessori.ca,Elementary,Not applicable,,No
Kanata Academy,877697,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lori Lynn,,,180 Huntmar Drive,Ottawa,Ontario,K2S1B9,613-599-5399,613-599-0556,Ottawa Regional Office,www.kanataacademy.com,Elem/Sec,All Year Round,Internet/Site Based,No
Kanata Montessori Private School,875104,,Jonathan Robinson,,,355 Michael Cowpland Dr,Kanata,Ontario,K2M2C5,613-592-2189,613-592-3705,Ottawa Regional Office,http://www.kanatamontessori.com,Elementary,Not applicable,,Canadian Council of Montessori Administrators
Kawartha Classical Christian School,669643,,Rylan Auger,,,306 Braidwood Avenue,Peterborough,Ontario,K9J1V6,705-868-6289,,Toronto and Area Regional Office,www.kawarthaclassical.com,Elementary,Not applicable,Site based only,Association of Christian Schools International
Kawartha Montessori,876810,,Emily Root,,,2247 Burnham Line,Otonabee-South Monaghan,Ontario,K9J6X7,705-748-5437,705-748-6674,Barrie Regional Office,http://www.kawartha-montessori.org/,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators
Kawenni:io/Gaweni:yo High School,663905,Offers credits toward the Ontario Secondary School Diploma (OSSD),Linda Staats,c/o Six Nations Reserve,,3201 Second Line 6,Hagersville,Ontario,N0A1H0,905-768-7203,905-768-7150,London Regional Office,NA,Secondary,First Nation,"First Nation, Internet/Site Based",No
Kayla's Children Centre,884987,,Yaffi Ulman,,,36 Atkinson Avenue,Thornhill,Ontario,L4J8C9,905-738-5542,905-738-8047,Barrie Regional Office,www.kaylaschildrencentre.org,Elem/Sec,Not applicable,Site based only,No
KCS Online Learning,665510,Offers credits toward the Ontario Secondary School Diploma (OSSD),Biju Joseph,,,69 Maitland Street,Brampton,Ontario,L6S3B5,905-791-1750,,Toronto and Area Regional Office,www.kcsonlinelearning.com,Secondary,All Year Round,Internet based only,Independent and Private School Forum (IPSF)
Keewaytinook Internet,663930,Offers credits toward the Ontario Secondary School Diploma (OSSD),Angela Batsford-Mermans,,,730 Syndicate Ave South,Thunder Bay,Ontario,P7E1E9,613-717-5521,807-735-3392,Thunder Bay Regional Office,http://www.kihs.knet.ca,Secondary,First Nation,"First Nation, Internet based only",No
Kehila Jewish Community Day School,878529,,Michele Schneider,,,215 Cline Ave N,Hamilton,Ontario,L8S4A1,905-529-7725,905-529-9694,London Regional Office,http://www.kehilaschool.com,Elementary,Not applicable,Site based only,No
Kempenfelt Bay School,878588,,chris white,,,2145 Innisfil Beach Road,Innisfil,Ontario,L9S4B9,705-739-4731,705-739-3678,Barrie Regional Office,http://www.kempenfeltbayschool.com/,Elementary,Not applicable,,Conference of Independent Schools of Ontario
Kendalwood Montessori,668625,,Christine Gregoire,,,104 Consumers Drive,Whitby,Ontario,L1N5T3,905-665-4766,905-665-4799,Barrie Regional Office,www.kendalwoodmontessori.com,Elementary,Not applicable,,Canadian Council of Montessori Administrators
Kendelhurst Academy,665767,Offers credits toward the Ontario Secondary School Diploma (OSSD),Paula CARRASCO,,,170 Church Street,Mississauga,Ontario,L5M2M3,905-813-8000,905-821-0891,Toronto and Area Regional Office,www.Kendellhurst.com,Elem/Sec,Not applicable,Site based only,OFIS
Kenilworth Krest Parochial School,876569,,Lydia Martin,,,7240 Sideroad 6 5,Mount Forest,Ontario,N0G2L0,519-323-3561,,Barrie Regional Office,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Kenjgewin Teg,663654,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mark Gibeault,,Box 328,374 Hwy 551,M'Chigeeng,Ontario,P0P1G0,705-377-4342,705-377-4379,Sudbury-North Bay Regional Office,www.kenjgewinteg.ca,Secondary,First Nation,First Nation,No
Kennedy Montessori Private School,666491,,Anne Dimoff,,,7781 Kennedy Rd,Unionville,Ontario,L3R2C8,905-948-1785,905-948-1785,Barrie Regional Office,www.kennedymontessori.com,Elementary,Not applicable,,CCMA
Kent International Academy,666114,Offers credits toward the Ontario Secondary School Diploma (OSSD),Hassan Mirzai,,,185 Murray St,Chatham-Kent,Ontario,N7M3L4,416-227-0811,,Toronto and Area Regional Office,www.KentAcademy.ca,Secondary,All Year Round,Internet/Site Based,No
Kent School,667656,Offers credits toward the Ontario Secondary School Diploma (OSSD),James Keary,,,4700 Epworth Circle,Niagara Falls,Ontario,L2E1C6,905-358-9991,905-358-3883,Toronto and Area Regional Office,www.canadakent.ca,Secondary,Not applicable,Site based only,No
Kesser Yosef,883386,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yuval Kernerman,,,10 Bainbridge Avenue,Toronto,Ontario,M3H2J7,416-930-1276,,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
Kew Park Montessori Day School,878863,,Tarynn Parry,,,79 Hiawatha Rd,Toronto,Ontario,M4L2X7,416-694-6273,,Toronto and Area Regional Office,www.kewparkmontessori.com,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators
Keystone International Schools,888468,Offers credits toward the Ontario Secondary School Diploma (OSSD),Doga Demirsu,,,23 Toronto Street,Toronto,Ontario,M5C2R1,416-422-4123,,Toronto and Area Regional Office,www.keystoneschools.ca,Secondary,All Year Round,Internet/Site Based,OFIS
Keystone Montessori School,882370,,Adam Hewitt,,,133 James Street East,Orillia,Ontario,L3V1L7,705-305-9464,,Barrie Regional Office,www.keystonemontessori.ca,Elementary,Not applicable,Site based only,No
Khairul Ummah School,665365,Offers credits toward the Ontario Secondary School Diploma (OSSD),Muhammad Ismail Kotwal,,,25 Civic Road,Scarborough,Ontario,M1L2K6,416-527-7021,,Toronto and Area Regional Office,www.khairulummah.ca,Elem/Sec,Not applicable,,Ummati Board
Khalsa Community School,877352,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ripsodhak Grewal,,,69 Maitland Street,Brampton,Ontario,L6S3B5,905-791-1750,905-458-9133,Toronto and Area Regional Office,http://www.khalsacommunityschool.com/,Elem/Sec,All Year Round,,IPSF
Khalsa School Malton,666932,,Meena Singh,,,7280 Airport Rd.,Mississauga,Ontario,L4T2H3,905-671-2010,905-694-2576,Toronto and Area Regional Office,www.khalsaschoolmalton.com,Elem/Sec,Not applicable,,No
KinderKollege Elementary School,877581,,Kathy McTavish,Unit 011,,150 Central Park Dr,Brampton,Ontario,L6T2T9,905-790-2223,905-790-8642,Toronto and Area Regional Office,www.kinderkollege.ca,Elementary,Not applicable,Site based only,No
Kindie Pre N'PLay,882567,,,,,102-103 15 Queen Street East,Cambridge,Ontario,N3C2A7,519-260-7529,,London Regional Office,,Elementary,Not applicable,,
King Alfred Academy,883209,,,,,1373 Lobsinger Line,Waterloo,Ontario,N2J4G8,519-658-6333,,London Regional Office,,Elementary,Not applicable,,
King Christian School,885630,,Maureen Jarvis,,,19740 Bathurst St,East Gwillimbury,Ontario,L9N0N5,905-853-1881,905-853-1701,Barrie Regional Office,http://www.kingchristian.ca,Elementary,Not applicable,,Edvance Christian Schools Association
King Heights Academy - Thornhill,889823,Offers credits toward the Ontario Secondary School Diploma (OSSD),Alexander Sim,,,130 Racco Parkway,Thornhill,Ontario,L4J8X9,905-652-1234,,Barrie Regional Office,www.kingheightsacademy.com,Elem/Sec,All Year Round,Site based only,International Baccalaureate
King Heights Academy - Woodbridge,666772,,Anna Rosa Cardarelli,"201, 202",,28 Rotec Road,Woodbridge,Ontario,L4K5T7,905-652-1234,,Barrie Regional Office,www.kingheightsacademy.com,Elementary,Not applicable,Site based only,International Baccalaureate
King Heights Academy - Woodbridge,669346,,,,,201 & 202 - 28 Rotec Road,Woodbridge,Ontario,L4L8E4,905-652-1234,,Toronto and Area Regional Office,,Elementary,Not applicable,,
King's Academy,667767,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yu Sen Tso,,,1033 1033 McNicoll Ave,Scarborough,Ontario,M1W3W6,647-671-8886,647-931-9819,Toronto and Area Regional Office,kingsacademy.ca,Secondary,All Year Round,,No
King's Academy,889241,,Kim Phillips,,,123 Churchill Crescent,St. Thomas,Ontario,N5R1R3,519-207-1231,,London Regional Office,,Elementary,Not applicable,Site based only,ACE Canada
King's Christian Collegiate,665398,Offers credits toward the Ontario Secondary School Diploma (OSSD),John De Boer,,,528 Burnhamthorpe Rd W,Oakville,Ontario,L6M4K6,905-257-5464,905-257-5463,Toronto and Area Regional Office,http://www.kingschristian.ca,Secondary,Not applicable,,No
King's College Preparatory School Canada,669248,,Joseph Um,49,,40 Carl Hall Road,Toronto,Ontario,M3K2C1,416-496-1794,,Toronto and Area Regional Office,www.kingscollegepsc.ca,Elementary,Not applicable,Site based only,No
King's College School for Bright and Gif,876577,Offers credits toward the Ontario Secondary School Diploma (OSSD),Barbara Lord,,,16379 The Gore Road,Caledon,Ontario,L7E0X4,905-880-7645,,Toronto and Area Regional Office,www.kingscollegeschool.ca,Elem/Sec,Not applicable,Site based only,No
King's Town Private School,884720,,Roxanne Garwood,,,66 RIDEAU ST,KINGSTON,Ontario,K7K2Z7,613-546-5123,,Ottawa Regional Office,http://kingstownschool.ca,Elementary,Not applicable,,No
Kingsley Primary School,881511,,Louisa Florio,,,3962 Bloor Street West,Toronto,Ontario,M9B1M3,416-233-0150,416-233-5971,Toronto and Area Regional Office,www.kingsleyschool.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Kingston Christian School,885657,,Jennifer Shoniker,,,1212 Woodbine Rd,Kingston,Ontario,K7L4V2,613-384-9572,613-384-9580,Ottawa Regional Office,http://www.kingstonchristianschool.ca,Elementary,Not applicable,Internet/Site Based,Ontario Alliance of Christian Schools
Kingsway Academy,666341,Offers credits toward the Ontario Secondary School Diploma (OSSD),Franco Marchese,,,1070 Colbourne St.,London,Ontario,N6A4B3,647-274-7512,,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
Kingsway College Private High School,885959,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lee Richards,,,1200 Leland Rd,Oshawa,Ontario,L1K2H4,905-433-1144,905-433-1156,Barrie Regional Office,http://www.kingsway.college,Secondary,Not applicable,Site based only,No
Kingsway College School,884812,,Derek Logan,,,4600 Dundas St W,Etobicoke,Ontario,M9A1A5,416-234-5073,416-234-8386,Toronto and Area Regional Office,http://www.kcs.on.ca,Elementary,Not applicable,Site based only,"CAIS, CIS"
Kisomo International Collegiate,669857,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mohamed Ali,100,,15 Bethridge Road,Toronto,Ontario,M9W1M6,647-693-9335,416-628-1710,Toronto and Area Regional Office,www.kisomo.ca,Elem/Sec,All Year Round,Internet/Site Based,Independent and private Schools Forum
Kitchener Waterloo Bilingual School,887676,,Mona Balea,,,600 Erb Street West,Waterloo,Ontario,N2J3Z4,519-886-6510,519-886-4053,London Regional Office,www.kwbilingualschool.com,Elementary,Not applicable,,No
Kleinburg Christian School,881708,,Lee Major,,,6950 Nashville Rd,Kleinburg,Ontario,L0J1C0,905-893-7211,905-893-7377,Barrie Regional Office,www.kleinburgchristian.ca,Elementary,Not applicable,,Ontario Alliance of Christian Schools
KMSCHOOL,886258,,Harpreet Gill,207,,5 Cherrycrest Dr,Brampton,Ontario,L6P3W4,905-913-0801,905-913-0801,Toronto and Area Regional Office,www.kmschool.org,Elementary,Not applicable,,Canadian Council of Montessori Administrators
KNB Learning,882944,,Catherine Pettigrew,,,3 Ringway Crescent,Etobicoke,Ontario,M9W1X2,647-832-2229,,Toronto and Area Regional Office,,Elementary,Not applicable,Site based only,No
Knox Bridge School,669861,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rajinder Hunder,204,,9886 Torbram Road,Brampton,Ontario,L6S3L9,905-790-9006,,Toronto and Area Regional Office,,Secondary,All Year Round,Site based only,No
Knox Christian School,885177,,Paul Marcus,,,410 North Scugog Crt,Bowmanville,Ontario,L1C6T1,905-623-5871,905-623-8877,Barrie Regional Office,knoxchristian.com,Elementary,Not applicable,Site based only,Ontario Alliance of Christian Schools
Koinonia Christian Academy,876763,,David Champion,,,850 Sawmill Rd,Bloomingdale,Ontario,N0B1K0,519-744-7447,519-744-6745,London Regional Office,www.koinoniachristianacademy.ca,Elementary,Not applicable,,Association of Christian Schools International
"K-W Montessori School Inc., The",665070,,Ann Marie Fear,,,527 Bridgeport Road East,Kitchener,Ontario,N2K1N6,519-742-1051,519-742-1051,London Regional Office,www.kwmontessorischool.com,Elementary,Not applicable,,Canadian Council of Montessori Administrators
La Citadelle International Academy,665452,Offers credits toward the Ontario Secondary School Diploma (OSSD),Alfred Abouchar,,,36 Scarsdale Rd,North York,Ontario,M3B2R7,416-385-9685,416-385-9685,Toronto and Area Regional Office,www.lacitadelleacademy.com,Elem/Sec,All Year Round,,No
La Maison Montessori House,884134,,Anne Martin,,,1205 Stellar Dr.,Newmarket,Ontario,L3Y7B8,905-895-2110,905-726-4364,Barrie Regional Office,www.lmmh.ca,Elementary,Not applicable,Site based only,No
