Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Identified as Gifted,Percentage of Students Receiving Special Education Services,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),890073,A B Lucas Secondary School,Public,Not applicable,Secondary,English,9-12,,,656 Tennent Ave,London,London,Ontario,N5X1L8,519-452-2600,519-452-2619,http://www.tvdsb.ca/Lucas.cfm,www.tvdsb.ca,1505,43.032959999999996,-81.247,28,100,4,4,10,3,,,,,,,,,,,,,87%,0.0,51%,16.0,84%,0.0,15,64,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),000540,A J Baker Public School,Public,Not applicable,Elementary,English,JK-8,,,195910 19th Line,Zorra,Kintore,Ontario,N0M2C0,519-283-1098,519-283-1095,http://www.tvdsb.ca/Baker.cfm,www.tvdsb.ca,135,43.13815,-81.0291,0,100,0,0,10,0,67%,6.0,58%,-25.0,67%,6.0,69%,-31.0,69%,-10.0,62%,12.0,,,,,,,15,40,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),001503,Aberdeen Public School,Public,Not applicable,Elementary,English,JK-8,,,580 Grey St,London,London,Ontario,N6B1H8,519-452-8010,519-452-8019,http://www.tvdsb.ca/Aberdeen.cfm,www.tvdsb.ca,215,42.981429999999996,-81.23,0,100,0,5,15,0,24%,3.0,19%,-31.0,24%,-12.0,52%,-4.0,48%,4.0,13%,-26.0,,,,,,,50,15,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),002542,Adelaide - W G MacDonald Public School,Public,Not applicable,Elementary,English,JK-8,,,29059 School Road,Adelaide-Metcalfe,Strathroy,Ontario,N7G3H6,519-247-3369,519-247-3030,http://www.tvdsb.ca/Adelaide.cfm,www.tvdsb.ca,165,43.00398,-81.6765,0,100,0,0,15,0,94%,15.0,75%,-18.0,75%,11.0,74%,-5.0,74%,-21.0,47%,-6.0,,,,,,,20,30,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),007358,Aldborough Public School,Public,Not applicable,Elementary,English,JK-8,,,11443 Furnival Rd,West Elgin,Rodney,Ontario,N0L2C0,519-785-0811,519-785-2143,http://www.tvdsb.ca/Aldborough.cfm,www.tvdsb.ca,310,42.55637,-81.6692,0,100,0,0,10,0,41%,-21.0,28%,-34.0,34%,-4.0,66%,4.0,47%,-4.0,28%,12.0,,,,,,,25,20,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),011576,Algonquin Public School,Public,Not applicable,Elementary,English,JK-8,,,59 Algonquin Rd,Woodstock,Woodstock,Ontario,N4T1R8,519-421-2219,519-421-0347,http://www.tvdsb.ca/Algonquin.cfm,www.tvdsb.ca,560,43.151309999999995,-80.7335,7,100,2,2,14,1,74%,2.0,67%,3.0,69%,9.0,62%,-5.0,67%,7.0,41%,-2.0,,,,,,,10,27,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),011622,Annandale Public School,Public,Not applicable,Elementary,English,JK-8,,,60 Tillson Ave,Tillsonburg,Tillsonburg,Ontario,N4G3A1,519-688-3498,519-688-4839,http://www.tvdsb.ca/AnnandaleSchool.cfm,www.tvdsb.ca,440,42.864670000000004,-80.7223,0,100,0,0,10,0,38%,5.0,38%,5.0,30%,-3.0,56%,-14.0,51%,-5.0,28%,-12.0,,,,,,,25,10,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),023990,Arthur Ford Public School,Public,Not applicable,Elementary,English,JK-8,,,617 Viscount Rd,London,London,Ontario,N6J2Y4,519-452-8020,519-452-8029,http://www.tvdsb.ca/ArthurFord.cfm,www.tvdsb.ca,385,42.95263,-81.2687,15,100,10,10,10,0,54%,11.0,48%,14.0,41%,9.0,68%,-12.0,68%,-2.0,20%,-22.0,,,,,,,30,25,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),612766,Arthur Stringer Public School,Public,Not applicable,Elementary,English,JK-8,,,43 Shaftesbury Ave,London,London,Ontario,N6C2Y5,519-452-8030,519-452-8039,http://www.tvdsb.ca/ArthurStringer.cfm,www.tvdsb.ca,270,42.948879999999996,-81.2078,20,100,10,10,20,0,41%,-21.0,45%,-13.0,50%,0.0,47%,17.0,50%,23.0,12%,3.0,,,,,,,30,30,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),892670,Arthur Voaden Secondary School,Public,Not applicable,Secondary,English,9-12,,,41 Flora St,St. Thomas,St Thomas,Ontario,N5P2X5,519-631-3770,519-633-8097,http://www.tvdsb.ca/ArthurVoaden.cfm,www.tvdsb.ca,370,42.78053,-81.1883,0,100,0,0,55,0,,,,,,,,,,,,,31%,-19.0,32%,1.0,32%,-9.0,30,20,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),026395,Ashley Oaks Public School,Public,Not applicable,Elementary,English,JK-8,,,121 Ashley Cres,London,London,Ontario,N6E3W2,519-452-8040,519-452-8049,http://www.tvdsb.ca/AshleyOaksPS.cfm,www.tvdsb.ca,545,42.937059999999995,-81.2424,44,100,16,16,15,0,46%,-2.0,36%,-16.0,37%,-5.0,62%,-9.0,68%,-6.0,34%,-13.0,,,,,,,42,20,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),947148,B Davison Secondary School Secondary School,Public,Vocational/Occupational,Secondary,English,9-12,,,785 Trafalgar St,London,London,Ontario,N5Z1E6,519-452-2880,519-452-2899,http://sites.tvdsb.ca/bdavison.cfm,www.tvdsb.ca,145,42.97768,-81.2199,5,100,0,0,85,0,,,,,,,,,,,,,,,,,0%,,30,15,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),467572,Blenheim District Public School,Public,Not applicable,Elementary,English,JK-8,,,32 Wilmot Street,Blandford - Blenheim,Drumbo,Ontario,N0J1G0,,,http://www.tvdsb.ca/BlenheimDistrict.cfm,www.tvdsb.ca,300,43.23622,-80.5502,0,100,0,0,10,0,75%,11.0,57%,-7.0,54%,9.0,77%,10.0,77%,23.0,60%,19.0,,,,,,,5,30,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),055611,Bonaventure Meadows Public School,Public,Not applicable,Elementary,English,JK-8,,,141 Bonaventure Dr,London,London,Ontario,N5V4S6,519-452-8060,519-452-8069,http://www.tvdsb.ca/Bonaventure.cfm,www.tvdsb.ca,410,43.00551,-81.1557,10,100,0,0,15,0,51%,1.0,30%,-18.0,38%,-4.0,36%,-36.0,49%,7.0,13%,-10.0,,,,,,,30,10,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),072095,Byron Northview Public School,Public,Not applicable,Elementary,English,JK-8,,,1370 Commissioners Rd W,London,London,Ontario,N6K1E1,519-452-8080,519-452-8089,http://www.tvdsb.ca/ByronNorthview.cfm,www.tvdsb.ca,580,42.961209999999994,-81.3384,8,100,1,1,7,1,87%,11.0,81%,5.0,78%,4.0,91%,15.0,93%,15.0,65%,12.0,,,,,,,10,67,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),058416,Byron Somerset Public School,Public,Not applicable,Elementary,English,JK-8,,,175 Whisperwood Ave,London,London,Ontario,N6K4C6,519-452-8090,519-452-8099,http://www.tvdsb.ca/ByronSomerset.cfm,www.tvdsb.ca,340,42.94686,-81.3256,10,100,5,5,10,0,86%,3.0,83%,-7.0,74%,-5.0,95%,5.0,95%,9.0,68%,-8.0,,,,,,,5,70,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),072222,Byron Southwood Public School,Public,Not applicable,Elementary,English,JK-8,,,1379 Lola St,London,London,Ontario,N6K3R6,519-452-8100,519-452-8109,http://www.tvdsb.ca/ByronSouthwood.cfm,www.tvdsb.ca,565,42.95067,-81.3337,4,100,1,1,9,0,85%,16.0,81%,11.0,68%,-5.0,87%,-9.0,85%,-9.0,74%,1.0,,,,,,,10,63,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),072613,C C Carrothers Public School,Public,Not applicable,Elementary,English,JK-8,,,360 Chippendale Cres,London,London,Ontario,N5Z3G2,519-452-8110,519-452-8119,http://www.tvdsb.ca/Carrothers.cfm,www.tvdsb.ca,415,42.96261,-81.2093,20,100,5,5,10,0,29%,-7.0,18%,-21.0,24%,-8.0,45%,-13.0,62%,9.0,20%,7.0,,,,,,,50,15,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),082880,Caradoc North School,Public,Not applicable,Elementary,English,JK-8,,,8041 Scotchmere Dr RR 1,Strathroy-Caradoc,Strathroy,Ontario,N7G3H3,519-245-2085,519-245-5606,http://www.tvdsb.ca/CaradocNorth.cfm,www.tvdsb.ca,190,42.93266,-81.5823,5,100,0,0,10,5,67%,-22.0,72%,-17.0,39%,-28.0,95%,20.0,86%,3.0,45%,-5.0,,,,,,,5,40,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),082759,Caradoc Public School,Public,Not applicable,Elementary,English,JK-8,,,714 Bowan Street,Strathroy-Caradoc,Mount Brydges,Ontario,N0L1W0,519-264-1630,519-264-2097,http://www.tvdsb.ca/Caradoc.cfm,www.tvdsb.ca,370,42.91021,-81.4918,0,100,0,0,15,5,82%,1.0,75%,-9.0,61%,-16.0,89%,15.0,89%,28.0,43%,8.0,,,,,,,10,40,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),136020,Cedar Hollow Public School,Public,Not applicable,Elementary,English,JK-8,,,1800 Cedarhollow Blvd,London,LOndon,Ontario,N5X0C4,519-457-6059,,http://sites.tvdsb.ca/cedarhollow.cfm?subpage=149,www.tvdsb.ca,550,43.0433,-81.2128,38,99,7,7,6,1,75%,,62%,,62%,,79%,,73%,,44%,,,,,,,,12,61,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),320005,Centennial Central School,Public,Not applicable,Elementary,English,JK-8,,,14774 Medway Rd,London,Arva,Ontario,N0M1C0,519-660-8193,519-660-1466,http://www.tvdsb.ca/CentennialCentral.cfm,www.tvdsb.ca,270,43.05862,-81.2687,25,100,5,5,10,0,74%,8.0,57%,0.0,52%,-8.0,81%,-7.0,88%,7.0,57%,-7.0,,,,,,,10,60,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),899305,Central Elgin Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,201 Chestnut St,St. Thomas,St Thomas,Ontario,N5R2B5,519-631-4460,519-633-4344,http://www.tvdsb.ca/CentralElgin.cfm,www.tvdsb.ca,525,42.769859999999994,-81.1741,5,100,1,1,12,2,,,,,,,,,,,,,76%,-10.0,38%,-14.0,82%,-6.0,14,21,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),098876,Central Public School,Public,Not applicable,Elementary,English,JK-8,,,410 Hunter St,Woodstock,Woodstock,Ontario,N4S4G4,519-537-5362,519-537-5514,http://www.tvdsb.ca/CentralPS.cfm,www.tvdsb.ca,270,43.131,-80.7598,0,100,0,0,10,0,63%,-3.0,63%,-6.0,52%,0.0,49%,7.0,43%,1.0,19%,-2.0,,,,,,,15,20,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),106526,Chippewa Public School,Public,Not applicable,Elementary,English,JK-8,,,1035 Chippewa Dr,London,London,Ontario,N5V2T6,519-452-8120,519-452-8129,http://www.tvdsb.ca/Chippewa.cfm,www.tvdsb.ca,450,43.02861,-81.1962,30,100,0,0,10,0,66%,5.0,59%,-6.0,64%,-3.0,69%,-2.0,55%,-13.0,52%,-4.0,,,,,,,30,10,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),108103,Clara Brenton Public School,Public,Not applicable,Elementary,English,JK-8,,,1025 St Croix Ave,London,London,Ontario,N6H3X8,519-452-8130,519-452-8139,http://www.tvdsb.ca/ClaraBrenton.cfm,www.tvdsb.ca,760,42.980090000000004,-81.3154,28,100,9,9,6,1,72%,-13.0,54%,-31.0,62%,-19.0,86%,-2.0,88%,3.0,64%,-6.0,,,,,,,14,69,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),901644,Clarke Road Secondary School,Public,Not applicable,Secondary,English,9-12,,,300 Clarke Rd,London,London,Ontario,N5W5N4,519-452-2640,519-452-2659,http://www.tvdsb.ca/Clarke.cfm,www.tvdsb.ca,995,42.9998,-81.1719,7,100,0,0,28,0,,,,,,,,,,,,,74%,-5.0,40%,6.0,45%,-15.0,21,14,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),111406,Cleardale Public School,Public,Not applicable,Elementary,English,JK-8,,,780 Dulaney Dr,London,London,Ontario,N6C3W4,519-452-8140,519-452-8149,http://www.tvdsb.ca/Cleardale.cfm,www.tvdsb.ca,430,42.94551,-81.2405,20,95,15,15,10,0,74%,3.0,53%,-6.0,56%,-3.0,65%,-17.0,70%,3.0,42%,-12.0,,,,,,,30,20,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),902420,College Avenue Secondary School,Public,Not applicable,Secondary,English,9-12,,,700 College Ave,Woodstock,Woodstock,Ontario,N4S2C8,519-539-0020,519-539-0793,http://www.tvdsb.ca/CollegeAvenue.cfm,www.tvdsb.ca,930,43.12406,-80.7453,1,100,0,0,33,1,,,,,,,,,,,,,64%,-11.0,32%,-6.0,43%,-17.0,12,20,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),134236,Davenport Public School,Public,Not applicable,Elementary,English,4-8,,,80 Rutherford Ave,Aylmer,Aylmer,Ontario,N5H2N8,519-773-9216,519-765-2934,http://www.tvdsb.ca/Davenport.cfm,www.tvdsb.ca,350,42.76917,-80.9929,10,100,0,0,20,0,N/D,,N/D,,N/D,,75%,15.0,77%,25.0,44%,19.0,,,,,,,30,20,2020-09-04,0,0,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),136182,Delaware Central School,Public,Not applicable,Elementary,English,JK-8,,,14 Osborne St,Middlesex Centre,Delaware,Ontario,N0L1E0,519-652-5371,519-652-3578,http://www.tvdsb.ca/DelawareCentral.cfm,www.tvdsb.ca,120,42.91199,-81.422,5,100,0,0,20,0,N/R,,N/R,,N/R,,79%,3.0,84%,13.0,58%,40.0,,,,,,,10,40,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),155810,Dunwich-Dutton Public School,Public,Not applicable,Elementary,English,JK-8,,,239 Miller Rd,Dutton-Dunwich,Dutton,Ontario,N0L1J0,519-762-2419,519-762-5267,http://www.tvdsb.ca/Dunwich-Dutton.cfm,www.tvdsb.ca,330,42.66533,-81.5068,0,100,0,0,10,0,51%,-17.0,46%,-8.0,41%,-16.0,70%,8.0,63%,5.0,43%,12.0,,,,,,,5,30,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),430242,Eagle Heights Public School,Public,Not applicable,Elementary,English,JK-8,,,284 Pxfprd St W,London,London,Ontario,N6H1S9,519-452-8460,519-452-8469,http://www.tvdsb.ca/EagleHeights.cfm,www.tvdsb.ca,965,42.98794,-81.2754,57,99,33,33,6,0,54%,-2.0,57%,5.0,46%,2.0,65%,5.0,70%,10.0,38%,-3.0,,,,,,,46,49,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),157244,Ealing Public School,Public,Not applicable,Elementary,English,JK-8,,,840 Hamilton Rd,London,London,Ontario,N5Z1V5,519-452-8150,519-452-8159,http://www.tvdsb.ca/Ealing.cfm,www.tvdsb.ca,200,42.9792,-81.2005,5,100,0,0,20,0,75%,22.0,67%,14.0,42%,-5.0,76%,14.0,62%,-5.0,38%,0.0,,,,,,,30,10,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),049603,East Carling Public School,Public,Not applicable,Elementary,English,JK-8,,,814 Quebec St,London,London,Ontario,N5Y1X4,519-452-8050,519-452-8059,http://sites.tvdsb.ca/eastcarling.cfm,www.tvdsb.ca,460,43.0032,-81.2235,10,100,5,5,20,0,56%,6.0,23%,-12.0,33%,-19.0,71%,31.0,63%,26.0,33%,10.0,,,,,,,40,20,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),906581,East Elgin Secondary School,Public,Not applicable,Secondary,English,9-12,,,362 Talbot St W,Aylmer,Aylmer,Ontario,N5H1K6,519-773-3174,519-765-1943,http://www.tvdsb.ca/EastElgin.cfm,www.tvdsb.ca,1195,42.77275,-80.9916,20,99,2,2,15,0,,,,,,,,,,,,,72%,1.0,47%,7.0,68%,9.0,11,13,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),160210,East Oxford Public School,Public,Not applicable,Elementary,English,JK-8,,,RR 4,Norwich,Woodstock,Ontario,N4S7V8,519-467-5243,519-467-5536,http://www.tvdsb.ca/EastOxford.cfm,www.tvdsb.ca,285,43.10066,-80.6389,5,100,0,0,10,0,61%,9.0,64%,12.0,44%,-8.0,67%,9.0,60%,-7.0,33%,8.0,,,,,,,10,30,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),162221,East Williams Memorial Public School,Public,Not applicable,Elementary,English,JK-8,,,4441 Queens Ave,North Middlesex,Ailsa Craig,Ontario,N0M1A0,519-232-4505,519-232-4497,http://www.tvdsb.ca/EastWilliams.cfm,www.tvdsb.ca,190,43.11186,-81.5566,5,100,0,0,15,5,77%,7.0,69%,-1.0,69%,9.0,90%,20.0,86%,16.0,90%,51.0,,,,,,,10,30,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),163740,Eastdale Public School,Public,Not applicable,Elementary,English,JK-8,,,65 Aileen Dr,Woodstock,Woodstock,Ontario,N4S4A2,519-537-2652,519-537-3695,http://www.tvdsb.ca/Eastdale.cfm,www.tvdsb.ca,220,43.12526,-80.7338,0,100,0,0,20,0,44%,3.0,22%,-23.0,26%,-42.0,56%,4.0,40%,-30.0,8%,-33.0,,,,,,,20,10,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),167738,Ekcoe Central School,Public,Not applicable,Elementary,English,JK-8,,,3719 PARKHOUSE DR,Southwest Middlesex,Glencoe,Ontario,N0L1M0,519-287-3330,519-287-3559,http://www.tvdsb.ca/EkcoeCentral.cfm,www.tvdsb.ca,380,42.7412,-81.7012,0,100,0,0,15,0,58%,-7.0,44%,-21.0,42%,-9.0,51%,-13.0,38%,-16.0,5%,-27.0,,,,,,,15,30,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),170500,Elgin Court Public School,Public,Not applicable,Elementary,English,JK-8,,,254 First Ave,St. Thomas,St Thomas,Ontario,N5R4P5,519-631-7118,519-631-3515,http://www.tvdsb.ca/ElginCourt.cfm,www.tvdsb.ca,300,42.76202,-81.1757,5,100,5,0,15,0,51%,-24.0,34%,-32.0,31%,-41.0,78%,-4.0,69%,-19.0,41%,-17.0,,,,,,,30,25,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),179752,Emily Carr Public School,Public,Not applicable,Elementary,English,JK-8,,,44 Hawthorne Rd,London,London,Ontario,N6G2H5,519-452-8160,519-452-8169,http://www.tvdsb.ca/EmilyCarr.cfm,www.tvdsb.ca,735,43.00927,-81.3129,27,99,8,9,10,1,68%,-2.0,60%,-11.0,56%,-3.0,80%,-1.0,81%,9.0,43%,-8.0,,,,,,,17,49,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),137743,Emily Stowe Public School,Public,Not applicable,Elementary,English,JK-8,,,1 Jerdon Street,Norwich,Norwich,Ontario,N0J1P0,519-468-0201,519-468-0130,http://sites.tvdsb.ca/EmilyStowePS.cfm,www.tvdsb.ca,545,42.98025,-80.5969,3,100,1,1,6,0,62%,21.0,57%,26.0,36%,-3.0,64%,18.0,53%,14.0,15%,-13.0,,,,,,,15,17,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),589890,Eva Circe-Cote French Immersion Public School,Public,Not applicable,Elementary,English,K-8,,,45885 Sparta Line,St. Thomas,St Thomas,Ontario,N5P3S8,519-452-2000,,,www.tvdsb.ca,175,42.70333,-81.13600000000001,5,100,0,0,0,5,N/D,,N/D,,45%,,68%,,74%,,47%,,,,,,,,15,30,2020-09-04,0,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),190268,Evelyn Harrison Public School,Public,Not applicable,Elementary,English,JK-8,,,50 Tewksbury Cres,London,London,Ontario,N5V2M8,519-452-8180,519-452-8189,http://www.tvdsb.ca/EvelynHarrison.cfm,www.tvdsb.ca,320,43.02332,-81.1957,5,100,0,0,20,0,28%,-48.0,12%,-48.0,16%,-48.0,26%,-46.0,26%,-54.0,10%,-38.0,,,,,,,30,15,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),191825,Fairmont Public School,Public,Not applicable,Elementary,English,JK-8,,,1040 Hamilton Rd,London,London,Ontario,N5W1A6,519-452-8200,519-452-8209,http://www.tvdsb.ca/Fairmont.cfm,www.tvdsb.ca,265,42.97736,-81.1871,15,95,0,5,15,0,63%,30.0,47%,10.0,47%,17.0,71%,0.0,64%,-1.0,46%,11.0,,,,,,,20,25,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),201529,Forest Park Public School,Public,Not applicable,Elementary,English,JK-8,,,295 Forest Ave,St. Thomas,St Thomas,Ontario,N5R2K5,519-631-3563,519-631-3630,http://www.tvdsb.ca/ForestPark.cfm,www.tvdsb.ca,405,42.772659999999995,-81.1709,5,100,0,0,20,0,49%,-11.0,29%,-19.0,34%,-4.0,61%,7.0,50%,10.0,14%,-3.0,,,,,,,30,15,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),203521,Franklin D Roosevelt Public School,Public,Not applicable,Elementary,English,JK-8,,,560 Second St,London,London,Ontario,N5V2B7,519-452-8190,519-452-8199,http://www.tvdsb.ca/FDR.cfm,www.tvdsb.ca,380,43.01011,-81.1936,5,100,5,0,20,0,41%,-12.0,25%,-14.0,25%,-33.0,47%,-9.0,47%,3.0,18%,8.0,,,,,,,35,25,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),911259,G A Wheable Secondary School,Public,Not applicable,Secondary,English,9-12,,,70 Jacqueline St,London,London,Ontario,N5Z3P7,,,https://www.tvdsb.ca/en/index.aspx#,www.tvdsb.ca,SP,42.971740000000004,-81.2198,SP,SP,SP,SP,SP,SP,,,,,,,,,,,,,,,,,,,SP,SP,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),217174,Glen Cairn Public School,Public,Not applicable,Elementary,English,JK-8,,,53 Frontenac Rd,London,London,Ontario,N5Z3Y5,519-452-8210,519-452-8219,http://www.tvdsb.ca/GlenCairn.cfm,www.tvdsb.ca,605,42.95727,-81.2043,22,100,11,11,11,1,43%,-11.0,43%,6.0,36%,-6.0,56%,-2.0,44%,-14.0,22%,-5.0,,,,,,,41,13,2020-09-04,1,1,1,1,0
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),912824,Glencoe District High School,Public,Not applicable,Secondary,English,9-12,,,3581 Concession Drive,Southwest Middlesex,Glencoe,Ontario,N0L1M0,519-287-3310,519-287-3889,http://www.tvdsb.ca/Glencoe.cfm,www.tvdsb.ca,165,42.744040000000005,-81.7113,0,100,0,0,25,0,,,,,,,,,,,,,86%,-1.0,36%,1.0,63%,4.0,20,20,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),912956,Glendale High School,Public,Not applicable,Secondary,English,9-12,,,37 Glendale Dr,Tillsonburg,Tillsonburg,Ontario,N4G1J6,519-842-4207,519-842-4551,http://www.tvdsb.ca/Glendale.cfm,www.tvdsb.ca,850,42.867129999999996,-80.7416,1,100,0,0,16,1,,,,,,,,,,,,,85%,6.0,43%,-3.0,64%,-8.0,9,22,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),914908,H B Beal Secondary School,Public,Not applicable,Secondary,English,9-12,,,525 Dundas St,London,London,Ontario,N6B1W5,519-452-2700,519-452-2729,http://www.tvdsb.ca/Beal.cfm,www.tvdsb.ca,2115,42.98728,-81.2347,23,99,11,11,20,2,,,,,,,,,,,,,78%,4.0,49%,22.0,67%,2.0,22,32,2020-09-04,0,0,0,1,1
B66044,Thames Valley DSB,Pub Dist Sch Brd (E/F),245038,Harrisfield Public School,Public,Not applicable,Elementary,English,JK-8,,,2 Caffyn St,Ingersoll,Ingersoll,Ontario,N5C3M8,519-485-1600,519-485-4256,http://sites.tvdsb.ca/Harrisfield.cfm,www.tvdsb.ca,540,43.03245,-80.8693,2,100,0,0,16,0,67%,-4.0,73%,17.0,55%,-3.0,68%,-15.0,72%,-7.0,37%,-5.0,,,,,,,13,22,2020-09-04,1,1,1,1,0
