Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
000296,1992,216,95DP21,19920217,,19920301,,,,,,,341,Muskrat St,,,Res Reno,,,9000.0000000,50.0000000,,,
000225,1992,217,90DP19,19920319,,19920401,,,,,,,317,Banff Ave,,,Comm Reno,,,69000.0000000,400.0000000,,,
000225,1992,218,920DP19,19920326,,19920401,,,,,,,317,Banff Ave,,,Comm Reno,,,22000.0000000,165.0000000,,,
000393,1992,219,,19920407,,19920401,,,,,,,419,Banff Ave,,,Comm Reno,,,4000.0000000,75.0000000,,,
000538,1992,220,91DP81,19920302,,19920401,,,,,,,120,Otter St,,,Duplex,,,240000.0000000,1320.0000000,,,
000538,1992,221,91DP81,19920302,,19920401,,,,,,,120,Otter St,,,Demo,,,,90.0000000,,,
001175,1992,222,,19920325,,19920401,,,Parcel F,,,,,,,,Demo,,,,72.7500000,,,
000118,1992,223,92DP29,19920313,,19920401,,,,,,,201,Banff Ave,,,Comm Reno,,,20000.0000000,155.0000000,,,
000004,1992,224,92DP15,19920406,,19920401,,,,,,,111,Banff Ave,,,Comm Reno,,,30000.0000000,205.0000000,,,
000001,1992,225,92DP10,19920331,,19920401,,,,,,,206,Buffalo St,,,Comm Reno,,,12000.0000000,115.0000000,,,
000112,1992,226,92DP22,19920323,,19920401,,,,,,,223,Bear St,,,Comm Reno,,,3000.0000000,65.0000000,,,
092001,1992,227,92DP32,19920327,,19920401,,,,,,,109,Cave Ave,,,Res Reno,,,,50.0000000,,,
001131,1992,228,,1992021,,19920401,,,,,,#4,200,Hawk Ave,,,Comm Reno,,,2000.0000000,65.0000000,,,
000129,1992,229,,19920415,,19920401,,,,,,,220,Bear St,,,Comm Reno,,,5000.0000000,80.0000000,,,
000554,1992,230,92DP32,19920406,,19920401,,,,,,,117,Grizzly St,,,Res Reno,,,16000.0000000,80.0000000,,,
000484,1992,231,92DP36,19920413,,19920401,,,,,,,438,Muskrat St,,,Res Reno,,,380.0000000,50.0000000,,,
000225,1992,232,90DP19,1992032,,19920401,,,,,,,317,Banff Ave,,,Comm Reno,,,17000.0000000,140.0000000,,,
000118,1992,233,91DP34,19920423,,19920401,,,,,,,201,Banff Ave,,,Comm Reno,,,12000.0000000,115.0000000,,,
020220,1992,234,92DP06,19920413,,19920401,,,,,,,349,Big Horn St,,,Inst Constr,,,515000.0000000,3090.0000000,,,
000229,1992,235,91DP129,19920427,,19920501,,,,,,,312,Marten St,,,Comm Reno,,,50.0000000,305.0000000,,,
002019,1992,236,91DP60,19920406,,19920501,,,,,,,325,Squirrel St,,,Inst Reno,,,1282000.0000000,7686.0000000,,,
000030,1992,237,,19920413,,19920501,,,,,,,138,Banff Ave,,,Comm Reno,,,30000.0000000,205.0000000,,,
000860,1992,238,,19920515,,19920501,,,,,,,400,Spray Ave,,,Comm Reno,,,6000.0000000,85.0000000,,,
000118,1992,239,91DP34,19920423,,19920501,,,,,,,205,Banff Ave,,,Comm Reno,,,78000.0000000,445.0000000,,,
002021,1992,240,91DP56,19920413,,19920501,,,,,,,301,Lynx St,,,Inst Constr,,,760000.0000000,4560.0000000,,,
000225,1992,241,90DP19,19920601,,19920601,,,,,,,317,Banff Ave,,,Comm Reno,,,10000.0000000,105.0000000,,,
000125,1992,242,92DP28,19920603,,19920601,,,,,,,225,Banff Ave,,,Comm Reno,,,280000.0000000,1680.0000000,,,
000125,1992,243,92DP28,19920427,,19920501,,,,,,,225,Banff Ave,,,Comm Reno,,,100000.0000000,600.0000000,,,
000555,1992,244,91DP50,19920611,,19920601,,,,,,,503,Banff Ave,,,Foundation,,,150000.0000000,900.0000000,,,
000558,1992,245,90DP115,19920603,,19920601,,,,,,,521,Banff Ave,,,Demo,,,,545.0000000,,,
004601,1992,246,91DP106,19920527,,19920601,,,,,,,110,Beaver St,,,Demo,,,,160.2000000,,,
000393,1992,247,92DP35,19920504,,19920601,,,,,,,419,Banff Ave,,,Comm Reno,,,27000.0000000,190.0000000,,,
000099,1992,248,92DP59,19920619,,19920601,,,,,,,115,Otter St,,,Res Reno,,,2000.0000000,50.0000000,,,
004612,1992,249,91DP106,19920527,,19920601,,,,,,12,110,Beaver St,,,Apartment,,,902000.0000000,4961.0000000,,,
000225,1992,250,90DP19,19920619,,19920601,,,,,,,317,Banff Ave,,,Comm Reno,,,223060.0000000,1338.0000000,,,
000558,1992,251,90DP115,19920603,,19920601,,,,,,,521,Banff Ave,,,Hotel,,,6500000.0000000,39000.0000000,,,
000118,1992,252,91DP34,19920622,,19920601,,,,,,,201,Banff Ave,,,Comm Reno,,,30000.0000000,205.0000000,,,
000229,1992,253,91DP129,19920706,,19920701,,,,,,,312,Marten St,,,Comm Reno,,,3000.0000000,70.0000000,,,
000125,1992,254,92DP28,19920626,,19920701,,,,,,,225,Banff Ave,,,Comm Reno,,,,305.0000000,,,
000225,1992,255,90DP19,19920626,,19920701,,,,,,,317,Banff Ave,,,Comm Reno,,,35000.0000000,230.0000000,,,
000225,1992,256,90DP19,1992071,,19920701,,,,,,,317,Banff Ave,,,Comm Reno,,,25000.0000000,180.0000000,,,
000585,1992,257,92DP34,19920626,,19920701,,,,,,,532,Banff Ave,,,Demo,,,,151.7500000,,,
002008,1992,258,91DP112,1992071,,19920701,,,,,,,111,Bear St,,,Inst Reno,,,2609000.0000000,15654.0000000,,,
000438,1992,259,92DP42,19920731,,19920701,,,,,,,408,Beaver St,,,Demo,,,,85.4500000,,,
000438,1992,260,92DP42,19920731,,19920801,,,,,,,408,Beaver St,,,Four - plex,,,225000.0000000,1237.5000000,,,
000555,1992,261,91DP50,19920708,,19920801,,,,,,,503,Banff Ave,,,Hotel,,,2350000.0000000,14100.0000000,,,
000118,1992,262,91DP34,19920731,,19920801,,,,,,,201,Banff Ave,,,Comm Reno,,,40000.0000000,255.0000000,,,
?,1992,263,,,,,,,,,,,,,,,,,,,,,,
000247,1992,264,92DP71,19920828,,19920801,,,,,,,338,Squirrel St,,,Demo,,,,85.4500000,,,
000225,1992,265,90DP19,19920722,,19920801,,,,,,,317,Banff Ave,,,Comm Reno,,,80000.0000000,455.0000000,,,
000585,1992,266,92DP34,1992073,,19920801,,,,,,,532,Banff Ave,,,Townhouse,,,715000.0000000,3932.5000000,,,
000398,1992,267,91DP99,19920505,,19920901,,,,,,,425,Banff Ave,,,Comm Addition,,,200000.0000000,1200.0000000,,,
000247,1992,268,92DP71,19920806,,19920901,,,,,,,338,Squirrel St,,,Duplex,,,180000.0000000,1045.0000000,,,
000118,1992,269,91DP34,19920908,,19920901,,,,,,,201,Banff Ave,,,Comm Reno,,,15000.0000000,130.0000000,,,
001167,1992,270,92DP88,19920825,,19920901,,,,,,A,116,Grizzly St,,,Res Reno,,,475.0000000,50.0000000,,,
000229,1992,271,,19920915,,19920901,,,,,,,314,Marten St,,,Comm Reno,,,2000.0000000,65.0000000,,,
130801,1992,272,91DP113,19920729,,19921001,,,,,,,1,Antelope Lane,,,Row Housing,,,408000.0000000,2444.0000000,,,
000594,1992,273,92DP72/78,1992093,,19921001,,,,,,,534,Deer St,,,Relocation,,,,97.8000000,,,
000631,1992,274,91DP33,19921001,,19921001,,,,,,,537,Banff Ave,,,Demo,,,,597.0000000,,,
000631,1992,275,91DP33,19921004,,19921001,,,,,,,537,Banff Ave,,,Foundation,,,75000.0000000,450.0000000,,,
130835,1992,276,91DP113,19920729,,19921001,,,,,,,"35, 36, 37",Antelope Lane,,,Row Housing,,,350000.0000000,1925.0000000,,,
130826,1992,277,91DP113,19920729,,19921001,,,,,,,"26, 27, 28",Antelope Lane,,,Row Housing,,,349000.0000000,1919.5000000,,,
000860,1992,278,92DP42,19920925,,19921001,,,,,,,400,Spray Ave,,,Staff Accomm,,,1563109.0000000,8591.1000000,,,
000594,1992,279,92DP72/78,19920929,,19921001,,,,,,,534,Deer St,,,Duplex,,,300000.0000000,1650.0000000,,,
087701,1992,280,91SN04,19921019,,19921001,,,,,,,137,Spray Ave,,,Found & Reloc,,,23000.0000000,115.0000000,,,
?,1992,281,,,,,,,,,,,,,,,,,,,,,,
000118,1992,282,91DP34,19921016,,19921101,,,,,,,201,Banff Ave,,,Comm Reno,,,,60.0000000,,,
000791,1992,283,,19921106,,19921101,,,,,,,,Tunnel Mountain Dr,,,Comm Reno,,,58000.0000000,335.0000000,,,
033003,1992,284,,19921109,,19921101,,,,,,,401,Marten St,,,Fire Restor,,,20000.0000000,155.0000000,,,
078101,1992,285,92DP105,19921109,,19921101,,,Parcel T,,,,,,,,Comm Const,,,5000.0000000,80.0000000,,,
000484,1992,286,92DP101,19921023,,19921101,,,,,,,438,Muskrat St,,,Res Reno,,,7500.0000000,50.0000000,,,
000128,1992,287,92DP05,19920925,,19921101,,,,,,,226,Bear St,,,Comm Reno,,,325000.0000000,1998.0000000,,,
048302,1992,288,92DP80,19920915,,19921101,,,,,,,436,Muskrat St,,,Duplex,,,191000.0000000,1054.0000000,,,
059401,1992,289,92DP78,19921009,,19921101,,,,,,,536,Deer St,,,Duplex,,,232000.0000000,1276.0000000,,,
000631,1992,290,91DP33,1992102,,19921201,,,,,,,537,Banff Ave,,,Hotel,,,1725000.0000000,10350.0000000,,,
130823,1992,291,91DP113,19921209,,19930101,,,,,,,"23, 24 25",Antelope Lane,,,Row Housing,,,350000.0000000,1925.0000000,,,
000303,1993,292,92DP114,19930118,,19930216,,,,,,,327,Muskrat St,,,Duplex,,,130000.0000000,715.0000000,,,
000118,1993,293,91DP34,19930308,,19930312,,,,,,,201,Banff Ave,,,Comm Reno,,,100000.0000000,600.0000000,,,
000139,1993,294,92DP99,19930501,,19930322,,,,,,,216,Banff Ave,,,Comm Reno,,,4000.0000000,75.0000000,,,
000258,1993,295,,19930223,,19930327,,,,,,,337,Banff Ave,,,Comm Reno,,,10000.0000000,105.0000000,,,
000225,1993,296,90DP19,19930316,,19930323,,,,,,,317,Banff Ave,,,Comm Reno,,,34000.0000000,225.0000000,,,
047202,1993,297,92DP95,19930104,,19930324,,,,,,,409,Otter St,,,Duplex,,,160000.0000000,880.0000000,,,
000120,1993,298,93DP22,19930318,,19930327,,,,,,,209,Banff Ave,,,Comm Reno,,,170000.0000000,1020.0000000,,,
120901,1993,299,92DP32,19930311,,19930406,,,,,,,101,St Julien Rd,,,Inst Addition,,,100000.0000000,550.0000000,,,
002019,1993,300,93DP43,19930326,Approved,19930407,19940407,,1 - 16,54,6719 BC,,325,Squirrel St,Elementary School,,Institutional,,,4200.0000000,122.5000000,,Relocation of kindergarten portable ; No Occupancy Permit Issued,
000004,1993,301,N/A,19930401,Approved,19930408,19940408,,6 - 7,1,6719 BC,,111,Banff Ave,Harmony Lane,,Commercial,,,20000.0000000,155.0000000,,Change of Use from Retail to Office,
120901,1993,302,93DP38,19930408,Approved,19930414,19940414,,,DE,7411025,,100,St Julien Rd,Banff Centre,,Institutional,,,100000.0000000,600.0000000,,New media research centre,
000642,1993,303,N/A,19930408,Approved,19930416,19940416,,12,39,6719 BC,,208,St Julien Rd,,,Residential,,,16000.0000000,50.0000000,,Kitchen renovation ; No Occupancy Permit Issued,
000811,1993,304,93DP40,19930402,Approved,19930416,19940416,,14-2,A,4181 JK,,137,Lynx St,,,Residential,,,35000.0000000,225.0000000,,Addition (solarium) ; No Occupancy Permit Issued,
000134,1993,305,N/A,19930401,Approved,19930416,19940416,,28 - 30,6,6395 FP,,208,Caribou St,Brewster's Mountain Lodge,,Commercial,,,3000.0000000,70.0000000,,Demising walls (second floor) ; No Occupancy Permit Issued,
000576,1993,306,92DP08,19930317,Approved,19930422,19940422,19940215,20,29,6719 BC,,515,Deer St,,,Residential,1,2,203000.0000000,1116.5000000,,Single Family Dwelling to Duplex,
000312,1993,307,92DP109,19930419,Approved,19930429,19940429,,10,16,6719 BC,,346,Muskrat St,,,Demolition,,,0.0000000,85.0000000,,No Occupancy Permit Issued,
000312,1993,308,92DP109,19930331,Approved,19930429,19940429,19931222,10,16,6719 BC,,346,Muskrat St,,,Residential,,4,300000.0000000,1650.0000000,,Construction of 4-Plex,
000029,1993,309,N/A,19930416,Approved,19930503,19940503,,11 - 19,2,6719 BC,,122 - 138,Banff Ave,Cascade Inn & Mount Royal Hotel,,Commercial,,,45000.0000000,25500.0000000,,Construct third floor access between Cascade Inn & Mt. Royal Hotel ; No Occupancy Permit Issued,
020020,1993,310,92DP73,19930507,Approved,19930512,19940512,,25 - 30,7,6719 BC,,201,Beaver St,Fire Hall,,Commercial,0,5,1700000.0000000,10200.0000000,,Renovation and expansion of Fire Hall and 2nd floor addition,
000016,1993,311,93DP54,19930513,Approved,19930514,19940514,,20,1,6719 BC,,203,Caribou St,,Caribou Trading Post,Commercial,,,3000.0000000,70.0000000,,Change of Use from Laundry to Retail,
000007,1993,312,N/A,19930511,Approved,19930531,19940531,,10,1,6719 BC,,119,Banff Ave,Kirby Lane Mall,Helly Hansen,Commercial,,,2000.0000000,65.0000000,,Installation of unrated (fire) roll-up shutter ; No Occupancy Permit Issued,
000118,1993,313,91DP34,1993051,Approved,19930531,19940531,,1 - 3,6,6719 BC,,201,Banff Ave,Towne Centre Mall,,Commercial,,,10000.0000000,105.0000000,,Tenant improvements,
000129,1993,314,93DP63,19930514,Approved,19930602,19940602,,19 - 21,6,6719 BC,,220 - 224,Bear St,Bear Street Mall,,Commercial,,,2000.0000000,65.0000000,,New store front for retail space on main floor,
000134,1993,315,93DP61,19930416,Approved,19930602,19940602,,28 - 30,6,6395 FP,,208,Caribou St,Brewster's Mountain Lodge,Brewster Rocky Mountain Adventures,Commercial,,,500.0000000,65.0000000,,Exterior renovations ; No Occupancy Permit Issued,
000225,1993,316,N/A,19930625,Approved,19930607,19940607,,1 - 3,11,6719 BC,,317,Banff Ave,Cascade Plaza,Banff / Lake Louise Tourism Bureau,Commercial,,,0.0000000,840.0000000,,Tenant improvements,
082802,1993,317,93DP53,19930604,Approved,19930609,19940609,,7,B,7115 HT,,321,Buffalo St,,,Residential,,,9000.0000000,50.0000000,,Renovations and construction of deck ; No Occupancy Permit Issued,
000015,1993,318,N/A,19930528,Approved,19930531,19940531,,18 & 19,1,6719 BC,,137,Banff Ave,King Edward Hotel,Eddy's Back Alley,Commercial,,,150000.0000000,900.0000000,,Tenant improvements (basement),
001287,1993,319,93DP77,19930525,Approved,19930611,19940611,,2,R 26,8911519,,202,Jasper Way,,,Residential,,,8000.0000000,50.0000000,,Convert carport into garage ; No Occupancy Permit Issued,
000014,1993,320,93DP88,19930608,Approved,19930614,19940614,,17,1,6719 BC,,133,Banff Ave,,The Spirit of Christmas,Commercial,,,30000.0000000,205.0000000,,Interior renovation,
000225,1993,321,90DP19,19930603,Approved,19930615,19940615,,1 - 3,11,6719 BC,,317,Banff Ave,Cascade Plaza,Picatilley Square,Commercial,,,45000.0000000,280.0000000,,Tenant improvements and public corridor,
000242,1993,322,N/A,1993052,Approved,19930621,19940621,,1 - 16,54,2824 IC,,348,Squirrel St,Banff Daycare,,Institutional,,,0.0000000,209.0000000,,Removal of old Daycare building (trailer) ; No Occupancy Permit Issued,
000658,1993,323,93DP72,19930615,Approved,19930622,19940622,,8,56,2842 IC,,330,Lynx St,,,Residential,,,24000.0000000,56.0000000,,Sunroom addition ; No Occupancy Permit Issued,
001304,1993,324,93DP50,19930603,Approved,19930708,19940708,,25,32,9210382,,540,Deer St,,,Residential,,1,140000.0000000,770.0000000,,Single Family Dwelling,
120901,1993,325,93DP93,19930622,Approved,19930712,19940712,,,B,4472 JK,,100,St Julien Rd,The Banff Centre,,Institutional,,,15000.0000000,99.0000000,,New sand shack ; No Occupancy Permit Issued,
000225,1993,326,90DP19,19930709,Approved,19930712,19940712,,1 - 3,11,6719 BC,,317,Banff Ave,Cascade Plaza,,Commercial,,,12000.0000000,79.2000000,,Third floor tenant improvement,
087702,1993,327,93DP71,19930608,Approved,19930719,19940719,,30,R 2,9310372,,102,Lougheed Cir,,,Residential,,1,146000.0000000,803.0000000,,Single family dwelling,
?,1993,328,,,,,,,,,,,,,,,,,,0.0000000,0.0000000,,,
000883,1993,329,N/A,19920901,Approved,19930723,19940723,,24,2,1890 HH,,122,Kootenay Ave,,,Residential,,,18000.0000000,140.0000000,,Attached garage. ; No Occupancy Permit Issued,
000225,1993,330,90DP19,19930714,Approved,19930725,19940725,,1 - 3,11,6719 BC,,317,Banff Ave,Cascade Plaza,,Commercial,,,8000.0000000,52.8000000,,Reconstruction of Exit Corridor ; No Occupancy Permit Issued,
000872,1993,331,93DP90,19930723,Approved,19930726,19940726,,8,2,1890 HH,,123,Spray Ave,,,Demolition,,,0.0000000,72.3100000,,Demolition of house ; No Occupancy Permit Issued,
000872,1993,332,93DP90,19930702,Approved,19930726,19940726,,8,2,1890 HH,,123,Spray Ave,,,Residential,1,1,197000.0000000,1322.3500000,,Single Family Dwelling,
001008,1993,333,93DP73,19930609,Approved,19930727,19940727,,35,1,7410623,,213,Glen Cres,,,Residential,,,50000.0000000,300.0000000,,"Addition of entrance, dining room and garage ; No Occupancy Permit Issued",
130829,1993,334,91DP113,19930719,Approved,19930727,19940727,19950616,1 - 14,33,7619 BC,,"29, 30 & 31",Antelope Lane,,,Residential,,3,350000.0000000,1925.0000000,,Row housing / condominiums,
130820,1993,335,91DP113,19930719,Approved,19930727,19940727,19941208,1 - 14,33,7619 BC,,"20, 21 & 22",Antelope Lane,,,Residential,,3,350000.0000000,1925.0000000,,Row housing / condominiums,
000356,1993,336,93DP74,19930721,Approved,19930804,19940804,,10,19,6719 BC,,437,Marten St,,,Residential,,,0.0000000,58.5500000,,Relocation of existing garage ; No Occupancy Permit Issued,
087710,1993,337,93DP81,19930715,Approved,19930806,19940806,19940113,38,R 2,9310372,,110,Lougheed Cir,,,Residential,,1,133602.0000000,913.1500000,,Single family dwelling,
000288,1993,338,92DP81,19930811,Approved,19930811,19940811,,9,15,6719 BC,,342,Beaver St,,,Demolition,,,0.0000000,67.0000000,,No Occupancy Permit Issued,
000288,1993,339,92DP81,19930811,Approved,19930811,19940811,,9,15,6719 BC,,342,Beaver St,,,Residential,,2,298000.0000000,1767.0000000,,Side by side duplex,
000846,1993,340,93DP98,19930629,Approved,19930823,19940823,,,D,6719 BC,,103,Caribou St,Masonic Hall,,Institutional,,,0.0000000,39.6000000,,Change of Use - school in basement,
000698,1993,341,93DP105,19930823,Approved,19930823,19940823,,3,64,7655 JK,,234,Marmot Cres,,,Residential,,,12000.0000000,85.0000000,,Attached garage ; No Occupancy Permit Issued,
000871,1993,342,93DP79,19930525,Approved,19930823,19940823,,7,2,1890 HH,,121,Spray Ave,,,Residential,,,60000.0000000,350.0000000,,Addition / renovation ; No Occupancy Permit Issued,
000610,1993,343,93DP109,19930803,Approved,19930823,19940823,,21,32,638 HD,,500,Deer St,,,Residential,,,1200.0000000,25.0000000,,Deck and new entry ; No Occupancy Permit Issued,
000297,1993,344,93DP104,1993082,Approved,1993083,1994083,,18,15,6719 BC,,339,Muskrat St,,,Demolition,,,0.0000000,67.2400000,,Demolition of house ; No Occupancy Permit Issued,
000418,1993,345,93DP112,19930825,Approved,19930901,19940901,,11,21,6719 BC,,422,Banff Ave,,,Residential,,,30000.0000000,76.6000000,,Basement renovation,
092804,1993,346,N/A,1993083,Approved,19930902,19940902,,18,R 7,7106 HU,,125,Cave Ave,,,Demolition,,,0.0000000,145.0000000,,No Occupancy Permit Issued,
000704,1993,347,92DP103,19930901,Approved,19930907,19940907,,9,64,7655 JK,,222,Marmot Pl,,,Residential,,,17700.0000000,98.3000000,,Detached garage ; No Occupancy Permit Issued,
?,1993,348,,,,,,,,,,,,,,,,,,0.0000000,0.0000000,,,
087703,1993,349,93DP84,1993071,Approved,19930917,19940917,,31,R 2,9310372,,103,Lougheed Cir,,,Residential,,1,148000.0000000,1017.3800000,,Single Family Dwelling,
020001,1993,350,92DP96,19930603,Approved,19930902,19940902,,21 - 24,1,6719 BC,,124,Bear St,Bear Street Parkade,,Commercial,,,2900000.0000000,17400.0000000,,Construction of parkade,
000593,1993,351,93DP113,19930908,Approved,19930902,19940902,19931126,,AR,3258 JK,,600,Banff Ave,Inns of Banff,Inns of Bannf,Commercial,,,80000.0000000,528.0000000,,Addition of Hot Pool,
000791,1993,352,92DP111 &,19930924,Approved,19930926,19940926,,,,8422 HK,,901,Hidden Ridge Way,Hidden Ridge Chalets,Hidden Ridge Chalets,Commercial,,,0.0000000,117.1600000,,Relocation of four chalets ; No Occupancy Permit Issued,
000015,1993,353,N/A,19930831,Approved,19930926,19940926,,18 & 19,1,6719 BC,,137,Banff Ave,King Edward Hotel,,Commercial,,,100000.0000000,660.0000000,,Second floor tenant improvements (Pool Hall),
000791,1993,354,92DP111 &,19930924,Approved,19930927,19940927,,,AA,8422 HK,,901,Hidden Ridge Way,Hidden Ridge Chalets,Hidden Ridge Chalets,Commercial,,,860000.0000000,990.0000000,,New 20 unit building ; No Occupancy Permit Issued,
013115,1993,355,93DP70,,Approved,,,,21 - 24,1,6719 BC,,122,Bear St,Peyto Place,Keller Foods & Apartments,Comm & Res,,,0.0000000,0.0000000,,"No building permit in BP File, DP File or Property File",
092804,1993,356,93DP89,1993091,Approved,19931004,19941004,,18,7,7106 HU,,125,Cave Ave,,,Residential,,10,884000.0000000,5793.7500000,,10 unit condominium,
000297,1993,357,93DP104,19931006,Refused,19931006,19941006,,18,15,6719 BC,,339,Muskrat St,,,Residential,,,76000.0000000,492.4500000,,Foundation at Risk ; No Occupancy Permit Issued,
000499,1993,358,93DP115,19931005,Approved,19931006,19941006,,7,24,6719 BC,,414,Otter St,,,Demolition,,,0.0000000,100.0000000,,No Occupancy Permit Issued,
000597,1993,359,93DP100,19930916,Approved,19931008,19941008,,7,32,6719 BC,,528,Deer St,,,Demolition,,,0.0000000,100.0000000,,No Occupancy Permit Issued,
000597,1993,360,93DP100,19930916,Approved,19931008,19941008,,7,32,6719 BC,,528,Deer St,,,Residential,,1,134207.0000000,1093.2500000,,Single Family Dwelling,
?,1993,361,,,,,,,,,,,,,,,,,,0.0000000,0.0000000,,,
000499,1993,362,93DP115,19931005,Approved,19931014,19941014,,7,14,6719 BC,,414,Otter St,,,Residential,,2,300000.0000000,1709.4500000,,Duplex ; No Occupancy Permit Issued,
000123,1993,363,92DP74,19931006,Approved,19931014,19941014,,10,6,6719 BC,,219,Banff Ave,Giorgio's,Giorgio's Restaurant,Commercial,,,300000.0000000,1980.0000000,,Restaurant renovation / addition,
000845,1993,364,93DP111,19931014,Approved,19931015,19941015,,25,B,7115 HT,,565,Buffalo St,,,Demolition,,,0.0000000,37.0000000,,No Occupancy Permit Issued ; No Occupancy Permit Issued,
000845,1993,365,93DP111,1993093,Approved,19931015,19941015,,25,B,7115 HT,,565,Buffalo St,,,Residential,,,33000.0000000,249.7000000,,New cabin ; No Occupancy Permit Issued,
000297,1993,366,93DP104,1993102,Approved,1993102,1994102,,18,15,6719 BC,,339,Muskrat St,,,Residential,,3,141353.0000000,1097.9000000,,Triplex,
001238,1993,367,93DP128,19931025,Approved,19931028,19941028,,15,23,8911519,,128,Glacier Dr,,,Residential,,,8000.0000000,35.0000000,,Porch enclosure ; No Occupancy Permit Issued,
088901,1993,368,93DP120,19931027,Approved,19931105,19941105,,3,R 3,43034,,121,Kootenay Ave,,,Residential,,1,150000.0000000,1348.9000000,,Single Family Dwelling,
000225,1993,369,90DP19,19931105,Approved,19931109,19941109,,1 - 3,11,6719 BC,,317,Banff Ave,Cascade Plaza,,Commercial,,,45000.0000000,297.0000000,,Interior renovations,
000791,1993,370,92DP111 &,1993111,Approved,1993111,1994111,,,AA,8422 HK,,901,Hidden Ridge Way,Hidden Ridge Chalets,Hidden Ridge Chalets,Commercial,,,710000.0000000,4686.0000000,,20 unit motel,
000837,1993,371,93DP135,19931005,Approved,1993111,1994111,,16,B,7115 HT,,529,Buffalo St,,,Demolition,,,0.0000000,147.0000000,,No Occupancy Permit Issued ; No Occupancy Permit Issued,
000548,1993,372,93DP91,19930828,Approved,1993111,1994111,,17A,27,7911460,,133,Grizzly St,,,Residential,,,0.0000000,70.0000000,,Relocating existing home out of the Park ; No Occupancy Permit Issued,
000548,1993,373,93DP91,19930826,Approved,1993111,1994111,1994102,17A,27,7911460,,133,Grizzly St,,,Residential,,2,150000.0000000,838.8000000,,Duplex,
