Municipality,Permit Number,Type of Building,Type of Work,Value of Construction,Units Created,Units Lost,Building Area,Approval Date,Extract Date
MUNICIPALITY OF THE COUNTY OF COLCHESTER,12759,999,01,"275,000",1,0,"1,770",06/26/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,12736,999,01,"450,000",1,0,"2,848",06/05/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-160,100,01,"175,000",0,0,0,07/23/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2018-144,100,01,"300,000",0,0,0,07/16/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2018-158,100,01,"160,000",0,0,735,07/31/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-133,100,01,"271,587",0,0,"1,650",07/05/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-169,100,01,"330,000",0,0,"1,500",07/30/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2018-166,100,01,"160,000",0,0,735,07/25/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-159,100,01,"250,000",0,0,0,07/23/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-106,100,01,"270,000",0,0,"1,064",07/03/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-112,100,01,"350,000",0,0,"2,881",07/03/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-132,100,01,"173,700",0,0,"1,040",07/05/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2018-076,100,01,"100,000",0,0,"1,579",07/16/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-165,100,03,"200,000",0,0,0,07/25/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-102,100,01,"150,000",0,0,"1,632",07/11/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-099,100,01,"275,000",0,0,"1,920",07/09/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-108,100,01,"250,000",0,0,"3,150",07/16/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-122,100,01,"80,000",0,0,960,07/31/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-103,100,03,"55,000",0,0,360,07/12/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-097,100,03,"59,520",0,0,744,07/03/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-110,100,15,"60,000",0,0,"1,500",07/16/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-098,100,15,"50,000",0,0,0,07/09/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-092,100,01,"65,000",0,0,0,07/23/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-091,100,01,"65,000",0,0,0,07/23/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-090,100,01,"65,000",0,0,0,07/23/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-093,100,01,"300,000",0,0,0,07/24/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-C2018-085,100,03,"80,000",0,0,0,07/09/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6327,310,01,"800,000",0,0,"9,568",07/19/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-130,100,01,"80,000",0,0,864,07/23/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-128,100,01,"350,000",0,0,"8,418",07/23/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,--5962,100,01,"94,035",0,0,"1,677",03/10/2000 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-146,100,01,"120,000",0,0,"1,152",07/31/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2018-103,100,01,"102,960",0,0,"1,287",07/06/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2018-105,100,03,"50,000",0,0,144,07/10/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2018-107,500,03,"300,000",0,0,"3,030",07/11/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2018-069,100,01,"142,000",0,0,"1,944",07/04/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2018-083,100,01,"160,000",0,0,"1,144",07/24/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2018-084,100,01,"84,000",0,0,576,07/24/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2018-056,100,01,"242,000",0,0,"1,400",07/03/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2018-070,500,01,"350,000",0,0,0,07/25/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180087,110,01,"190,000",1,0,"1,288",07/26/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180070,110,01,"200,000",1,0,"1,680",07/05/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180083,110,01,"130,000",1,0,792,07/26/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180086,150,03,"50,000",0,0,576,07/26/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,C2018-058,100,01,"185,000",0,0,0,07/05/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,C2018-057,100,03,"110,000",0,0,0,07/05/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,086-WH-04,100,01,"100,000",0,0,0,05/13/2004 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,218-WH-99,100,01,"79,000",0,0,0,08/18/1999 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-195,100,01,"130,000",0,0,"1,080",07/19/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-166,100,01,"450,000",0,0,"3,984",07/16/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,088-WH-00,100,01,"130,000",0,0,0,05/04/2000 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-148,100,01,"400,000",0,0,"2,534",07/17/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-164,100,01,"150,000",0,0,0,07/09/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-183,100,01,"600,000",0,0,"4,048",07/12/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,263-WH-04,100,01,"145,000",0,0,0,09/24/2004 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,118-WH-88,100,01,"50,000",0,0,0,06/02/1988 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-176,100,03,"50,000",0,0,0,07/10/2018 12:00:00 AM,08/01/2018 07:30:33 AM
REGION OF QUEENS MUNICIPALITY,138-18,110,01,"300,000",0,0,"1,760",07/13/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF AMHERST,C2018-047,100,01,"110,000",0,0,110.04,07/31/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF ANTIGONISH,TA-B2018-005,500,03,"8,004,655",0,0,0,07/19/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF BRIDGEWATER,B2018-086,500,03,"300,000",0,0,0,07/25/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF LUNENBURG,BP18036,999,01,"285,000",0,0,"2,354",07/24/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF LUNENBURG,OP18005,999,01,"295,000",0,0,0,07/04/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF MAHONE BAY,MB-B2018-013,100,01,"300,000",0,0,"1,650",07/17/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF PORT HAWKESBURY,PH-C2018-010,500,01,"250,000",0,0,"1,344",07/06/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF TRURO,C071-2018,100,01,"450,000",0,0,"6,144",07/11/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF TRURO,C069-2018,600,99,"350,000",0,0,"7,250",07/25/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF WINDSOR,046-W-18,310,09,"30,000",2,0,0,07/09/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF WOLFVILLE,DP-047-2018,110,03,"100,000",0,0,"1,284",07/26/2018 12:00:00 AM,08/01/2018 07:30:33 AM
TOWN OF YARMOUTH,C2018-096,100,01,"150,000",0,0,0,07/16/2018 12:00:00 AM,08/01/2018 07:30:33 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-152,110,01,"210,000",1,0,0,06/29/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-137,110,01,"100,000",1,0,"1,635",06/21/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-132,110,01,"20,000",1,0,0,06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-147,110,01,"230,000",1,0,0,06/25/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-116,110,01,"220,000",1,0,0,06/08/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-108,110,03,"50,000",0,0,0,06/06/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,2018-114,532,01,"15,000",1,0,0,06/06/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2018-080,100,01,"175,000",0,0,"2,940",06/07/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-083,100,01,"250,000",0,0,"2,620",06/13/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-106,100,01,"450,000",0,0,"2,299",06/26/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-102,100,01,"448,000",0,0,"3,872",06/20/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2018-109,100,01,"250,000",0,0,0,06/25/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2018-099,100,03,"60,000",0,0,0,06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2018-096,100,03,"85,000",0,0,0,06/13/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-C2018-084,100,03,"150,000",0,0,0,06/07/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,AT-B2018-098,100,03,"150,000",0,0,960,06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-106,100,01,"270,000",0,0,"1,064",06/07/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-112,100,01,"350,000",0,0,"2,881",06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2018-107,100,01,"300,000",0,0,"3,292",06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2018-123,100,01,"70,000",0,0,768,06/21/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-110,100,01,"225,000",0,0,"2,240",06/08/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-121,100,03,"100,000",0,0,0,06/19/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-B2018-115,100,03,"50,000",0,0,0,06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,IN-C2018-129,100,15,"100,000",0,0,0,06/21/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-089,100,01,"225,000",0,0,"2,480",06/21/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-076,100,01,"364,480",0,0,"4,556",06/06/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-085,100,01,"260,000",0,0,"2,160",06/19/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-086,100,01,"382,000",0,0,"3,864",06/19/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-079,100,01,"220,000",0,0,"1,369",06/13/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-072,100,01,"300,000",0,0,"1,395",06/04/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-087,100,01,"80,000",0,0,"1,620",06/19/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-083,100,01,"200,000",0,0,"1,944",06/19/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-071,100,01,"250,000",0,0,"1,560",06/04/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-073,500,03,"307,200",0,0,"3,840",06/05/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,PC-B2018-091,600,01,"530,000",0,0,0,06/25/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-052,100,01,"200,000",0,0,0,06/06/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-064,100,01,"224,000",0,0,0,06/12/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-062,100,01,"325,000",0,0,0,06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-066,100,01,"147,000",0,0,0,06/13/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-C2018-059,100,01,"50,000",0,0,0,06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-081,100,01,"125,000",0,0,0,06/29/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-076,100,01,"150,000",0,0,0,06/20/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,VI-B2018-065,100,03,"50,000",0,0,0,06/13/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6310,110,01,"100,000",0,0,800,06/25/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6293,130,01,"110,000",0,0,"1,184",06/07/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6305,130,01,"70,000",0,0,"1,040",06/20/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6311,410,03,"300,000",0,0,"2,592",06/26/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,6308,430,01,"650,000",0,0,"7,650",06/21/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-085,100,01,"300,000",0,0,"4,620",06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-114,100,01,"140,000",0,0,"1,344",06/19/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-086,100,01,"450,000",0,0,"3,506",06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-099,100,01,"260,000",0,0,"2,312",06/18/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-105,100,01,"200,000",0,0,"1,536",06/07/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,B2011-163,100,01,"50,000",0,0,864,10/13/2011 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-104,100,01,"750,000",0,0,"4,700",06/07/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-097,100,01,"150,000",0,0,"2,880",06/12/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-084,100,01,"350,000",0,0,"2,050.34",06/29/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,CM-B2018-091,100,03,"250,000",0,0,0,06/13/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2018-081,100,01,"205,000",0,0,"1,152",06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,C2018-074,100,01,"450,000",0,0,"4,247.5",05/31/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2018-064,100,01,"200,000",0,0,"3,112",06/25/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2018-056,100,01,"150,000",0,0,"2,108",06/06/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,DM-B2018-053,100,15,"100,000",0,0,768,06/05/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2018-042,100,01,"135,000",0,0,"1,200",06/06/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2018-052,100,01,"150,000",0,0,"2,040",06/25/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,C2018-051,100,01,"100,000",0,0,594,06/20/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180063,110,01,"175,000",1,0,"1,372",06/22/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180054,110,01,"500,000",1,0,"2,320",06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180060,110,01,"10,000",1,0,720,06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180067,110,01,"650,000",1,0,"3,502",06/22/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180065,110,09,"150,000",1,0,"4,500",06/22/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,20180064,130,01,"128,000",1,0,"1,152",06/22/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,C2018-049,100,01,"100,000",0,0,700,06/15/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,C2018-047,100,03,"206,000",0,0,364,06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,C2018-041,500,03,"1,000,000",0,0,0,06/06/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,333-WH-98,100,01,"75,000",0,0,0,11/09/1998 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,150-WH-95,100,01,"70,000",0,0,0,06/26/1995 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-048,100,01,"150,000",0,0,"1,184",06/05/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-082,100,01,"225,000",0,0,"2,501",06/13/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-092,100,01,"225,000",0,0,"1,495",06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,054-WH-95,100,01,"65,000",0,0,0,04/12/1995 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-144,100,01,"200,000",0,0,"1,638",06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,140-WH-92,100,01,"55,000",0,0,0,07/23/1992 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-099,100,01,"320,000",0,0,"1,408",06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-028,100,01,"54,600",0,0,"1,080",06/08/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-108,100,01,"290,000",0,0,"2,688",06/08/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,038-WH-01,100,01,"100,000",0,0,0,04/18/2001 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-047,100,01,"120,000",0,0,960,06/06/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-132,100,01,"350,000",0,0,"4,152",06/05/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-106,100,01,"180,000",0,0,"1,174",06/18/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-145,100,01,"50,000",0,0,720,06/14/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-130,100,03,"200,000",0,0,"1,968",06/04/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,C2018-133,100,15,"90,000",0,0,"2,100",06/05/2018 12:00:00 AM,07/03/2018 08:49:57 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,B2018-157,400,03,"566,594",0,0,0,06/19/2018 12:00:00 AM,07/03/2018 08:49:57 AM
REGION OF QUEENS MUNICIPALITY,084-18,110,01,"1,350,000",0,0,"9,280",06/05/2018 12:00:00 AM,07/03/2018 08:49:57 AM
REGION OF QUEENS MUNICIPALITY,089-18,430,01,"6,100,000",0,0,"20,000",06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
TOWN OF AMHERST,C2018-029,100,01,"450,000",0,0,629.62,06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
TOWN OF AMHERST,C2018-028,100,01,"450,000",0,0,629.62,06/11/2018 12:00:00 AM,07/03/2018 08:49:57 AM
TOWN OF AMHERST,C2018-025,410,03,"10,000,000",0,0,0,06/05/2018 12:00:00 AM,07/03/2018 08:49:57 AM
