facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,street_no,street_name,street_addr,city,postal_code,provider,latitude,longitude,phone,email,website,geo_source
Bmc Pharmacy,TYPE 0,,,,,,,69 Grand Avenue East,Chatham-Kent,N7L1V8,Province of Ontario,-82.189253556,42.409603831,,,,Source
Bmc Pharmacy,TYPE 0,,,,,,,118 Victoria Street,Sarnia,N7T5W9,Province of Ontario,-82.4057853739999,42.970137719,,,,Source
Wilkins Pharmacy,TYPE 0,,,,,,,699 Wilkins Street,London,N6C5C8,Province of Ontario,-81.231607706,42.950746974,,,,Source
Shoppers Drug Mart #1328,TYPE 0,,,,,,,603 Fanshawe Park Road West,London,N6G5B3,Province of Ontario,-81.310460537,43.019843882,,,,Source
Shoppers Drug Mart #1017,TYPE 0,,,,,,,1875 Lansdowne Street West,Peterborough,K9K0C9,Province of Ontario,-78.375744615,44.2740773400001,,,,Source
Shoppers Drug Mart #678,TYPE 0,,,,,,,640 River Street,Thunder Bay,P7A3S4,Province of Ontario,-89.233346865,48.448785367,,,,Source
Elgin Care Pharmacy,TYPE 0,,,,,,,1650 Elgin Mills Road East,Richmond Hill,L4S0B2,Province of Ontario,-79.391740409,43.899943928,,,,Source
Chartwell Trilogy Ltc Residenc,TYPE 0,,,,,,,340 Mccowan Road,Toronto,M1J3P4,Province of Ontario,-79.238642445,43.7384853070001,,,,Source
Belmont Long Term Care Faciity,TYPE 0,,,,,,,250 Bridge Street West,Belleville,K8P5N3,Province of Ontario,-77.4039350909999,44.160076163,,,,Source
Blackburn Pharmacy,TYPE 0,,,,,,,2575 Innes Road,Ottawa,K1B3K1,Province of Ontario,-75.567254396,45.430977162,,,,Source
Shoppers Simply Pharmacy #3002,TYPE 0,,,,,,,361 George Street North,Peterborough,K9H3R2,Province of Ontario,-78.3201697,44.304847748,,,,Source
Pharmagreen Pharmacy,TYPE 0,,,,,,,10 Greensborough Village Circl,Markham,L6E1M4,Province of Ontario,-79.250007963,43.9028911350001,,,,Source
Fenelon Falls Community Pharma,TYPE 0,,,,,,,205 Francis Street East,Kawartha Lakes,K0M1N0,Province of Ontario,-78.725792551,44.5314332680001,,,,Source
Shoppers Simply Pharmacy #3051,TYPE 0,,,,,,,460 Springbank Drive,London,N6J1G8,Province of Ontario,-81.2855726239999,42.966727174,,,,Source
Shoppers Drug Mart #1065,TYPE 0,,,,,,,1224 Commissioners Road West,London,N6K1C7,Province of Ontario,-81.330275937,42.95857757,,,,Source
Wal-Mart Pharmacy #3096,TYPE 0,,,,,,,500 Centennial Parkway North,Hamilton,L8E0G2,Province of Ontario,-79.753660066,43.241482295,,,,Source
Chartwell Brant Centre Ltc Res,TYPE 0,,,,,,,1182 Northshore Boulevard East,Burlington,L7S1C8,Province of Ontario,-79.8038106879999,43.3165157060001,,,,Source
The Village of Taunton Mills,TYPE 0,,,,,,,3800 Brock Street North,Whitby,L1R3A5,Province of Ontario,-78.958258971,43.9131270500001,,,,Source
Newmarket Allergy Service,TYPE 0,,,,,,,713 Davis Drive,Newmarket,L3Y2R3,Province of Ontario,-79.4481969409999,44.0625371530001,,,,Source
Centennial Place,TYPE 0,,,,,,,2 Centennial Lane North,Millbrook,L0A1G0,Province of Ontario,-78.447754628,44.1562996160001,,,,Source
Kakabeka Falls Pharmacy,TYPE 0,,,,,,,4781 Highway,Kakabeka Falls,P0T1W0,Province of Ontario,-89.6161121759999,48.401969733,,,,Source
Fandor Pharmacy,TYPE 0,,,,,,,15 Fandor Way,Brampton,L7A4S2,Province of Ontario,-79.815013525,43.6900757710001,,,,Source
Port Weller Pharmacy,TYPE 0,,,,,,,260 Lakeshore Road,St. Catharines,L2M7R4,Province of Ontario,-79.223662495,43.212864015,,,,Source
Wal-Mart Pharmacy,TYPE 0,,,,,,,1105 Wellington Road South,London,N6E1V4,Province of Ontario,-81.2246926019999,42.9315948710001,,,,Source
Hornepayne Pharmacy,TYPE 0,,,,,,,333 Front Street,Hornepayne,P0M1Z0,Province of Ontario,-84.7749231619999,49.2102052700001,,,,Source
Mudios Medical Pharmacy,TYPE 0,,,,,,,1780 Albion Road,Toronto,M9V1C1,Province of Ontario,-79.605906163,43.7446547910001,,,,Source
Tara Pharmacy,TYPE 0,,,,,,,33 Yonge Street North,Tara,N0H2N0,Province of Ontario,-81.1458531219999,44.4795295420001,,,,Source
Extendicare/starwood,TYPE 0,,,,,,,114 Starwood Road,Ottawa,K2G3N5,Province of Ontario,-75.7506629499999,45.353706941,,,,Source
Austins Drug Mart,TYPE 0,,,,,,,4235 Sheppard Avenue East,Toronto,M1S1T7,Province of Ontario,-79.2770505619999,43.785244613,,,,Source
Bio Health Pharmacy,TYPE 0,,,,,,,2389 Major Mackenzie Drive West,Vaughan,L6A3Z2,Province of Ontario,-79.516742344,43.853697814,,,,Source
Burlington Heights Ida Pharmac,TYPE 0,,,,,,,1505 Guelph Line,Burlington,L7P3B6,Province of Ontario,-79.8202228979999,43.3646430140001,,,,Source
Riedl F W Md,TYPE 0,,,,,,,3221 River Street,Alvinston,N0N1A0,Province of Ontario,-81.8624041909999,42.8191758200001,,,,Source
Woodstream Pharmacy,TYPE 0,,,,,,,5451 Highway 7,Vaughan,L4L0B2,Province of Ontario,-79.603053965,43.776257296,,,,Source
Danforth Central Pharmacy,TYPE 0,,,,,,,1188 Danforth Avenue,Toronto,M4J1M3,Province of Ontario,-79.3325539699999,43.6816011920001,,,,Source
Deer Park Villa,TYPE 0,,,,,,,150 Central Avenue,Grimsby,L3M4Z3,Province of Ontario,-79.541426394,43.1895364960001,,,,Source
Orchard Villa,TYPE 0,,,,,,,1955 Valley Farm Road,Pickering,L1V1X6,Province of Ontario,-79.082688505,43.846238633,,,,Source
The Chemist Pharmacy,TYPE 0,,,,,,,27 Wootten Way North,Markham,L3P2Y2,Province of Ontario,-79.242751959,43.8785009310001,,,,Source
Rob's Whole Health Pharmacy,TYPE 0,,,,,,,1765 Sprucewood Avenue,Windsor,N9J1X7,Province of Ontario,-83.0622593099999,42.2465149590001,,,,Source
Nobleton Pharmasave,TYPE 0,,,,,,,13305 York Regional Road 27,Nobleton,L0G1N0,Province of Ontario,-79.653240193,43.9084637170001,,,,Source
Eringate Drugs,TYPE 0,,,,,,,120 Eringate Drive,Toronto,M9C3Z8,Province of Ontario,-79.5822518479999,43.6606398770001,,,,Source
Community Choice Pharmasave Da,TYPE 0,,,,,,,1892 Davenport Road,Toronto,M6N1B7,Province of Ontario,-79.4543505079999,43.670768385,,,,Source
Macneil & Dodd Pharmacy.,TYPE 0,,,,,,,45 Stanley Street,Ayr,N0B1E0,Province of Ontario,-80.4512127899999,43.2851276700001,,,,Source
Janedal Pharmacy,TYPE 0,,,,,,,965 Jane Street,Toronto,M6N4E1,Province of Ontario,-79.497150623,43.6808921850001,,,,Source
Clairhurst Medical Pharmacy,TYPE 0,,,,,,,1466 Bathurst Street,Toronto,M5R3S3,Province of Ontario,-79.418312198,43.6827797890001,,,,Source
Royal Oaks Pharmacy,TYPE 0,,,,,,,131 John Street East,Arthur,N0G2W0,Province of Ontario,-81.308182216,43.8848538330001,,,,Source
Bolton Pharmacy & Health Centr,TYPE 0,,,,,,,8 Queen Street North,Caledon,L7E1C8,Province of Ontario,-79.738668317,43.8796594080001,,,,Source
Silverheights Pharmacy,TYPE 0,,,,,,,165 Fisher Mills Road,Cambridge,N3C1E1,Province of Ontario,-80.3201392619999,43.435758503,,,,Source
Medical Pharmacy,TYPE 0,,,,,,,597 Barton Street East,Hamilton,L8L2Z6,Province of Ontario,-79.839999795,43.257647794,,,,Source
Costco Pharmacy #257,TYPE 0,,,,,,,1465 Kingsway,Greater Sudbury,P3B0A5,Province of Ontario,-80.9462379679999,46.503267685,,,,Source
Woburn Medical Pharmacy,TYPE 0,,,,,,,4129 Lawrence Avenue East,Toronto,M1E2S2,Province of Ontario,-79.192285133,43.7666207140001,,,,Source
Belmont House,TYPE 0,,,,,,,55 Belmont Street,Toronto,M5R1R1,Province of Ontario,-79.391069788,43.674613488,,,,Source
Metro Drugs,TYPE 0,,,,,,,320 Scarlett Road,Toronto,M9A4S4,Province of Ontario,-79.5104708269999,43.682396984,,,,Source
Rexall #8179,TYPE 0,,,,,,,481 Bloor Street West,Toronto,M5S1X9,Province of Ontario,-79.407099793,43.6657109860001,,,,Source
Kristen's Pharmacy,TYPE 0,,,,,,,197 Albert Street South,Southampton,N0H2L0,Province of Ontario,-81.376592296,44.489819433,,,,Source
Pharmacy by the Grange,TYPE 0,,,,,,,275 Dundas Street West,Toronto,M5T1G1,Province of Ontario,-79.390494086,43.6541668850001,,,,Source
Guelph Discount Pharmacy,TYPE 0,,,,,,,20 Woodlawn Road,Guelph,N1H1G7,Province of Ontario,-80.27647516,43.5675941280001,,,,Source
Extendicare/tecumseh,TYPE 0,,,,,,,2475 St Alphonse Street,Tecumseh,N8N2X2,Province of Ontario,-82.882831558,42.2821411740001,,,,Source
Charlton Pharmacy,TYPE 0,,,,,,,230 James Street South,Hamilton,L8P3B3,Province of Ontario,-79.8724966039999,43.249651591,,,,Source
Shoppers Drug Mart #992,TYPE 0,,,,,,,1400 Ottawa Street South,Kitchener,N2E4E2,Province of Ontario,-80.5163772229999,43.41581519,,,,Source
Bowmanville Compounding Pharma,TYPE 0,,,,,,,100 Mearns Avenue,Bowmanville,L1C5M3,Province of Ontario,-78.6746946809999,43.920849865,,,,Source
Longfields Pharmacy,TYPE 0,,,,,,,613 Longfields Drive,Ottawa,K2J6J2,Province of Ontario,-75.7451220419999,45.284155029,,,,Source
Athens Pharmasave,TYPE 0,,,,,,,16 Main Street,Athens,K0E1B0,Province of Ontario,-75.955002357,44.625170407,,,,Source
Shoppers Drug Mart #731,TYPE 0,,,,,,,563 Highland Road West,Kitchener,N2M5K2,Province of Ontario,-80.516640024,43.4342128930001,,,,Source
Icare Drug Mart,TYPE 0,,,,,,,Highway 7,Markham,L3P3B2,Province of Ontario,-79.3215796819999,43.8585862240001,,,,Source
Pharmasave Ohsweken,TYPE 0,,,,,,,1769 Chiefswood Road,Ohsweken,N0A1M0,Province of Ontario,-80.115730266,43.073313349,,,,Source
Northland Pointe,TYPE 0,,,,,,,2 Fielden Avenue,Port Colborne,L3K6G4,Province of Ontario,-79.257780978,42.879285753,,,,Source
Janedal Pharmacy,TYPE 0,,,,,,,7750 Kennedy Road,Markham,L3R0A7,Province of Ontario,-79.305934376,43.8425765220001,,,,Source
Bradford Valley Care Comm,TYPE 0,,,,,,,2656 Line 6,Bradford West Gwillimbury,L3Z2A4,Province of Ontario,-79.571805184,44.1005869540001,,,,Source
Essex Guardian Prescription Ce,TYPE 0,,,,,,,169 Talbot Street South,Essex,N8M1B7,Province of Ontario,-82.814706227,42.1694966580001,,,,Source
Lifeline Pharmacy,TYPE 0,,,,,,,30 Glamis Road,Cambridge,N1R7H5,Province of Ontario,-80.306254453,43.3815383940001,,,,Source
Peace Land Pharmacy Inc,TYPE 0,,,,,,,1020 Johnson's Lane,Mississauga,L5J2P7,Province of Ontario,-79.6187240469999,43.521897251,,,,Source
Viscount Pharmacy,TYPE 0,,,,,,,231 Wharncliffe Road South,London,N6J2L3,Province of Ontario,-81.262045217,42.967980675,,,,Source
Toronto Specialty Pharmacy Ltd,TYPE 0,,,,,,,4789 Yonge Street,Toronto,M2N0G3,Province of Ontario,-79.410214002,43.761424203,,,,Source
Shoppers Simply Pharmacy #3009,TYPE 0,,,,,,,240 Penetang Road,Midland,L4R4P4,Province of Ontario,-79.9096643519999,44.740118248,,,,Source
Chatham Pharmasave,TYPE 0,,,,,,,125 Keil Drive South,Chatham-Kent,N7M3H3,Province of Ontario,-82.205393859,42.3911532270001,,,,Source
Oya Pharmacy,TYPE 0,,,,,,,903 Jane Street,Toronto,M6N4C6,Province of Ontario,-79.495755022,43.6775796840001,,,,Source
Shoppers Drug Mart #1383,TYPE 0,,,,,,,221 Argyle Street South,Caledonia,N3W1K7,Province of Ontario,-79.9583019149999,43.0662603550001,,,,Source
Upper Village Pharmacy,TYPE 0,,,,,,,9500 Markham Road,Markham,L6E0N6,Province of Ontario,-79.265799868,43.8965976330001,,,,Source
Life Care Edinburgh Pharmacy,TYPE 0,,,,,,,492 Edinburgh Road South,Guelph,N1G4Z1,Province of Ontario,-80.2353589429999,43.5217892220001,,,,Source
Food Basics Pharmacy #596,TYPE 0,,,,,,,1571 Sandhurst Circle,Toronto,M1V1V2,Province of Ontario,-79.269607961,43.809263318,,,,Source
Pharmacy Care,TYPE 0,,,,,,,89 Norman Street,Sarnia,N7T6S3,Province of Ontario,-82.39061577,42.9769490210001,,,,Source
Iccare Pharmacy,TYPE 0,,,,,,,750 Great Northern Road,Sault Ste. Marie,P6B0A8,Province of Ontario,-84.311452655,46.5491491060001,,,,Source
Fieldstone Commons Care Comm,TYPE 0,,,,,,,1000 Ellesmere Road,Toronto,M1P5G2,Province of Ontario,-79.2779312599999,43.7672859100001,,,,Source
Aim Drug Mart,TYPE 0,,,,,,,450 Central Avenue,London,N6B2E5,Province of Ontario,-81.2414322129999,42.9934180810001,,,,Source
Barrhaven Medical Pharmacy,TYPE 0,,,,,,,2900 Woodroffe Avenue,Ottawa,K2J4G3,Province of Ontario,-75.728944138,45.292294731,,,,Source
Benton Medical Pharmacy,TYPE 0,,,,,,,51 Benton Street,Kitchener,N2G3H1,Province of Ontario,-80.4885749169999,43.447736897,,,,Source
Lanark Lodge,TYPE 0,,,,,,,Sunset Boulevard,Perth,K7H3C6,Province of Ontario,-76.2637340809999,44.904375042,,,,Source
Chancellors Way Pharmacy,TYPE 0,,,,,,,175 Chancellors Way,Guelph,N1G0E9,Province of Ontario,-80.234193643,43.5237495220001,,,,Source
North Bay Regional Pharmacy,TYPE 0,,,,,,,50 College Drive,North Bay,P1B5A4,Province of Ontario,-79.494724176,46.3349703320001,,,,Source
Save on Rx Brampton,TYPE 0,,,,,,,7700 Hurontario Street,Brampton,L6Y4M3,Province of Ontario,-79.726319894,43.6586067700001,,,,Source
Eatonville Care Centre,TYPE 0,,,,,,,420 The East Mall,Toronto,M9B3Z9,Province of Ontario,-79.56060244,43.6474997760001,,,,Source
Spark Pharmacy,TYPE 0,,,,,,,535 Park Street,Kitchener,N2G1N8,Province of Ontario,-80.515673726,43.456342197,,,,Source
Hui's Pharmasave,TYPE 0,,,,,,,280 Spadina Avenue,Toronto,M5T3A5,Province of Ontario,-79.3983828889999,43.652644084,,,,Source
Lakefield Ida Pharmacy,TYPE 0,,,,,,,32 Queen Street,Lakefield,K0L2H0,Province of Ontario,-78.272521495,44.4237451700001,,,,Source
Lighthouse Pharmacy,TYPE 0,,,,,,,223 Lakeshore Road East,Mississauga,L5G1G5,Province of Ontario,-79.5777089379999,43.5586071590001,,,,Source
Tuxedo Drug Mart,TYPE 0,,,,,,,42 Tuxedo Court,Toronto,M1G3S3,Province of Ontario,-79.230793347,43.781379015,,,,Source
Lefroy Pharmacy,TYPE 0,,,,,,,1311 Killarney Beach Road,Innisfil,L0L1W0,Province of Ontario,-79.5540432929999,44.2621447830001,,,,Source
Sparkle Pharmacy,TYPE 0,,,,,,,14800 Yonge Street,Aurora,L4G1N3,Province of Ontario,-79.4654699399999,43.9874233400001,,,,Source
Barton Pharmacy,TYPE 0,,,,,,,1130 Barton Street East,Hamilton,L8H7P9,Province of Ontario,-79.814663286,43.2508216940001,,,,Source
Brampton Compounding Pharmacy,TYPE 0,,,,,,,9985 Mcvean Drive,Brampton,L6P4K8,Province of Ontario,-79.699453496,43.7820912930001,,,,Source
Shoppers Drug Mart #1105,TYPE 0,,,,,,,69 King Street East,Essex,N0R1G0,Province of Ontario,-82.916164846,42.0352020290001,,,,Source
Mcnaughton Pharmacy,TYPE 0,,,,,,,180 McNaughton Avenue West,Chatham-Kent,N7L4Z7,Province of Ontario,-82.2053938609999,42.410705131,,,,Source
Grimsby Pharmacy,TYPE 0,,,,,,,520 North Service Road,Grimsby,L3M4E8,Province of Ontario,-79.603975416,43.2099946970001,,,,Source
Walkers New Pharmacy and Compo,TYPE 0,,,,,,,495 Walkers Line,Burlington,L7N2E3,Province of Ontario,-79.770217781,43.3542525140001,,,,Source
Langstaff Square Care Comm,TYPE 0,,,,,,,Centre-Richmond Hill,Richmond Hill,L4B4T8,Province of Ontario,-79.439334522,43.8776589220001,,,,Source
Shoppers Drug Mart #1313,TYPE 0,,,,,,,1860 Bayview Avenue,Toronto,M4G0C3,Province of Ontario,-79.3778553879999,43.7141178960001,,,,Source
Chartwell Waterford Ltc Reside,TYPE 0,,,,,,,2240 Baronwood Drive,Oakville,L6M4V6,Province of Ontario,-79.765400386,43.429734528,,,,Source
Incare Health Pharmacy,TYPE 0,,,,,,,14351 Medway Road,Arva,N0M1C0,Province of Ontario,-81.292742934,43.050813089,,,,Source
Hartzel Road Pharmacy,TYPE 0,,,,,,,90 Hartzel Road,St. Catharines,L2P1N3,Province of Ontario,-79.2139682869999,43.1523850040001,,,,Source
B&b Pharmacy,TYPE 0,,,,,,,235 Montreal Street,Kingston,K7K3G6,Province of Ontario,-76.4851666989999,44.238620917,,,,Source
Sherbourne Place,TYPE 0,,,,,,,345 Sherbourne Street,Toronto,M5A2S3,Province of Ontario,-79.372665281,43.6626775870001,,,,Source
North Hastings Family Pharmacy,TYPE 0,,,,,,,217 Hastings Street North,Bancroft,K0L1C0,Province of Ontario,-77.861985419,45.0686581000001,,,,Source
St Clair Allergy Service Ltd,TYPE 0,,,,,,,202 St Clair Avenue West,Toronto,M4V1R2,Province of Ontario,-79.403504993,43.6865027900001,,,,Source
Gage Pharmacy,TYPE 0,,,,,,,1050 Upper Gage Avenue,Hamilton,L8V5B7,Province of Ontario,-79.8465714929999,43.2127770860001,,,,Source
Apadana Pharmacy,TYPE 0,,,,,,,9631 Yonge Street,Richmond Hill,L4C0M5,Province of Ontario,-79.4338708189999,43.862738419,,,,Source
Pharmacy on Main,TYPE 0,,,,,,,76 Main Street,Cambridge,N1R1V7,Province of Ontario,-80.313186953,43.35901819,,,,Source
Bendale Acres,TYPE 0,,,,,,,2920 Lawrence Avenue East,Toronto,M1P2T8,Province of Ontario,-79.251839551,43.7549380090001,,,,Source
Community Choice Pharmacy - Bl,TYPE 0,,,,,,,2202 Jane Street,Toronto,M3M1A4,Province of Ontario,-79.511688931,43.721784691,,,,Source
Well + Good Pharmacy,TYPE 0,,,,,,,557 Church Street,Toronto,M4Y2E2,Province of Ontario,-79.381258085,43.6672399880001,,,,Source
Allaura Pharmacy Ida,TYPE 0,,,,,,,2 Allaura Boulevard,Aurora,L4G3S5,Province of Ontario,-79.462833039,43.9843794390001,,,,Source
Maidstone Ida,TYPE 0,,,,,,,13072 Talbot Road,Tecumseh,N0R1K0,Province of Ontario,-82.8763136489999,42.2044835610001,,,,Source
Shoppers Drug Mart #768,TYPE 0,,,,,,,1225 Wonderland Street North,London,N6G2V9,Province of Ontario,-81.3055140339999,43.0044992800001,,,,Source
Cayuga Ida Pharmacy,TYPE 0,,,,,,,18 Talbot Street East,Cayuga,N0A1E0,Province of Ontario,-79.8539231729999,42.9514531390001,,,,Source
Mactavish Pharmacy,TYPE 0,,,,,,,480 St George Street,Dresden,N0P1M0,Province of Ontario,-82.179871869,42.5902246640001,,,,Source
Streamway Villa (Carewell),TYPE 0,,,,,,,19 James Street West,Cobourg,K9A2J8,Province of Ontario,-78.167891421,43.961968895,,,,Source
Promed Pharmacy,TYPE 0,,,,,,,2706 Alta Vista Drive,Ottawa,K1V7T4,Province of Ontario,-75.6642747229999,45.3734088480001,,,,Source
Bloor Medical Pharmacy,TYPE 0,,,,,,,1062 Bloor Street West,Toronto,M6H1M3,Province of Ontario,-79.4328221,43.6606190840001,,,,Source
Tufford Rest Home,TYPE 0,,,,,,,312 Queenston Street,St. Catharines,L2P2X4,Province of Ontario,-79.2184528889999,43.1595780050001,,,,Source
Medical Pharmacy,TYPE 0,,,,,,,631 Fortune Crescent,Kingston,K7P0L5,Province of Ontario,-76.567490828,44.273073819,,,,Source
The Henley House,TYPE 0,,,,,,,20 Ernest Street,St. Catharines,L2N7T2,Province of Ontario,-79.257672203,43.1849718080001,,,,Source
Wyndham Manor Ltc Centre,TYPE 0,,,,,,,291 Reynalds Street,Oakville,L6J3L5,Province of Ontario,-79.672690658,43.4524502360001,,,,Source
Advanced Care Specialty Pharma,TYPE 0,,,,,,,1215 North Service Road West,Oakville,L6M2W2,Province of Ontario,-79.7163390709999,43.4340992310001,,,,Source
Bothwell Ida Pharmacy,TYPE 0,,,,,,,231 Main Street,Bothwell,N0P1C0,Province of Ontario,-81.870234876,42.6303082860001,,,,Source
Polycare Pharmacy,TYPE 0,,,,,,,68 Bramalea Road,Brampton,L6T0H2,Province of Ontario,-79.6960963889999,43.70777008,,,,Source
Rexall #8196,TYPE 0,,,,,,,54 Sykes Street North,Meaford,N4L1R2,Province of Ontario,-80.592340258,44.607711292,,,,Source
Iroquois Falls Pharmacy,TYPE 0,,,,,,,125 Ambridge Drive,Iroquois Falls,P0K1G0,Province of Ontario,-80.683472447,48.759394646,,,,Source
Meadows Pharmacy Limited,TYPE 0,,,,,,,6161 Thorold Stone Road,Niagara Falls,L2J1A4,Province of Ontario,-79.095832946,43.1157704030001,,,,Source
Wesburn Manor,TYPE 0,,,,,,,400 The West Mall,Toronto,M9C5S1,Province of Ontario,-79.567459242,43.643889275,,,,Source
Bramqueen Pharmacy,TYPE 0,,,,,,,490 Bramalea Road,Brampton,L6T0G1,Province of Ontario,-79.717336097,43.723886882,,,,Source
Kjk Pharmacy,TYPE 0,,,,,,,1100 Dundas Street West,Mississauga,L5C4E7,Province of Ontario,-79.642670058,43.556695356,,,,Source
Jane Centre Pharmacy,TYPE 0,,,,,,,2780 Jane Street,Toronto,M3N2J2,Province of Ontario,-79.516039635,43.7484141960001,,,,Source
Maple Ida Pharmacy,TYPE 0,,,,,,,573 Maple Avenue,Burlington,L7S2E8,Province of Ontario,-79.80765859,43.3223340070001,,,,Source
We Care Pharmacy,TYPE 0,,,,,,,169 Dundas Street East,Mississauga,L5A1W8,Province of Ontario,-79.612707351,43.5846076620001,,,,Source
Plattsville Guardian Pharmacy,TYPE 0,,,,,,,47 Albert Street West,Plattsville,N0J1S0,Province of Ontario,-80.623090846,43.303224965,,,,Source
Long Sault Pharmacy,TYPE 0,,,,,,,43 Long Sault Drive,Long Sault,K0C1P0,Province of Ontario,-74.89471474,45.0291549200001,,,,Source
Fullerton Drugs,TYPE 0,,,,,,,820 Mcconnell Avenue,Cornwall,K6H4M4,Province of Ontario,-74.717044581,45.0285188280001,,,,Source
Belvedere Heights,TYPE 0,,,,,,,22 Belvedere Avenue,Parry Sound,P2A2A2,Province of Ontario,-80.038591352,45.3417035420001,,,,Source
Lester Street Pharmacy,TYPE 0,,,,,,,280 Lester Street,Waterloo,N2L3W6,Province of Ontario,-80.535731534,43.4756169,,,,Source
Lancaster Wellness Pharmacy,TYPE 0,,,,,,,493 Lancaster Street West,Kitchener,N2K1L8,Province of Ontario,-80.4848395179999,43.4756947020001,,,,Source
Elgin Drugs,TYPE 0,,,,,,,14 Main Street,Elgin,K0G1E0,Province of Ontario,-76.2217961429999,44.6083505920001,,,,Source
Rexall #8195,TYPE 0,,,,,,,190 Sherway Drive,Toronto,M9C5N2,Province of Ontario,-79.5603399359999,43.608726469,,,,Source
Loblaw Pharmacy,TYPE 0,,,,,,,9292 Highway 93,Midland,L4R4K4,Province of Ontario,-79.897228346,44.7175841440001,,,,Source
Fanshawe College Pharmacy,TYPE 0,,,,,,,1001 Fanshawe College Boulevard,London,N5Y5R6,Province of Ontario,-81.1986079009999,43.0144260870001,,,,Source
Alliston Remedy's Rx Pharmacy,TYPE 0,,,,,,,180 Parsons Road,New Tecumseth,L9R1E8,Province of Ontario,-79.859742881,44.150430649,,,,Source
Shoppers Simply Pharmacy #3018,TYPE 0,,,,,,,2951 Walkers Line,Burlington,L7M4Y1,Province of Ontario,-79.821711201,43.392162619,,,,Source
Shoppers Drug Mart #1437,TYPE 0,,,,,,,1206 Michigan Avenue,Sarnia,N7S6M7,Province of Ontario,-82.364603164,43.0003649270001,,,,Source
West Lake,TYPE 0,,,,,,,R.R. 1,Prince Edward,K0K2T0,Province of Ontario,-77.142371893,44.007321548,,,,Source
Limegrath Pharmacy,TYPE 0,,,,,,,310 Limeridge Road West,Hamilton,L9C2V2,Province of Ontario,-79.8985869099999,43.2240594850001,,,,Source
Shoppers Drug Mart #696,TYPE 0,,,,,,,140 Holland Street West,Bradford West Gwillimbury,L3Z1R7,Province of Ontario,-79.5693907849999,44.112453256,,,,Source
Broadview Nursing Centre,TYPE 0,,,,,,,210 Brockville Street,Smiths Falls,K7A3Z4,Province of Ontario,-76.0206251,44.8880910500001,,,,Source
Ben's Pharmacy,TYPE 0,,,,,,,6 Cameron Street East,Cannington,L0E1E0,Province of Ontario,-79.0383849359999,44.3503969220001,,,,Source
Shoppers Drug Mart #1047,TYPE 0,,,,,,,113 Herkimer Street,Hamilton,L8P2G8,Province of Ontario,-79.8789931059999,43.250211791,,,,Source
Victoria Gardens Ltc,TYPE 0,,,,,,,176 Victoria Avenue,Hamilton,L8L5G1,Province of Ontario,-79.854288899,43.2581853940001,,,,Source
Lingeman Pharmacy,TYPE 0,,,,,,,411 Jane Street,Toronto,M6S3Z6,Province of Ontario,-79.4880342179999,43.6587149810001,,,,Source
Janzen's Pharmacy,TYPE 0,,,,,,,300 Lillie Street North,Thunder Bay,P7C4Y7,Province of Ontario,-89.270243067,48.3871232560001,,,,Source
Shoppers Drug Mart #648,TYPE 0,,,,,,,411 The Queensway South,Georgina,L4P2C7,Province of Ontario,-79.4636241599999,44.216424079,,,,Source
Cornell Pharmacy,TYPE 0,,,,,,,106 Cornell Park Avenue,Markham,L6B1B6,Province of Ontario,-79.232659857,43.8895286330001,,,,Source
Adamson Guardian Pharmacy,TYPE 0,,,,,,,1 Talbot Street West,Leamington,N0P2P0,Province of Ontario,-82.599803751,42.053089648,,,,Source
Newe Towne Medical Pharmacy,TYPE 0,,,,,,,3420 Finch Avenue East,Toronto,M1W2R6,Province of Ontario,-79.315354875,43.797362713,,,,Source
Samy's Mountain Pharmacy,TYPE 0,,,,,,,550 Fennell Avenue East,Hamilton,L8V4S9,Province of Ontario,-79.857097998,43.2318911890001,,,,Source
Spadina Pharmacy,TYPE 0,,,,,,,1 Spadina Road,Richmond Hill,L4B3M2,Province of Ontario,-79.3950390059999,43.8614695210001,,,,Source
Sina Pharmacy Inc,TYPE 0,,,,,,,37 The Links Road,Toronto,M2P1T7,Province of Ontario,-79.400988598,43.750919401,,,,Source
Swan Lake Pharmacy,TYPE 0,,,,,,,5 Swan Lake Boulevard,Markham,L6E0K7,Province of Ontario,-79.2502507629999,43.895770934,,,,Source
Drugstore Pharmacy # 1009,TYPE 0,,,,,,,190 Richmond Road,Ottawa,K1Z6W6,Province of Ontario,-75.747346052,45.394274448,,,,Source
Aid Plus Pharmacy,TYPE 0,,,,,,,252 Dundas Street East,Hamilton,L8B0E7,Province of Ontario,-79.8970363189999,43.3292919040001,,,,Source
Blossom Pharmacy Inc,TYPE 0,,,,,,,2683 Islington Avenue,Toronto,M9V2X7,Province of Ontario,-79.56603255,43.7401241920001,,,,Source
Rx Drug Mart,TYPE 0,,,,,,,144 Griffin Street,Smithville,L0R2A0,Province of Ontario,-79.546165988,43.0988658790001,,,,Source
Shoppers Drug Mart #835,TYPE 0,,,,,,,925 Eglinton Avenue West,Toronto,M6C2C3,Province of Ontario,-79.427786402,43.7003492910001,,,,Source
Kennedy Medical Plex Pharmacy,TYPE 0,,,,,,,2 Kennedy Road South,Brampton,L6W3E1,Province of Ontario,-79.7482965039999,43.6956675750001,,,,Source
