idx,facility_name,facility_type,health_authority,alternative_name,number_beds,longitude,latitude,street_addr,city,province,postal_code,phone,provider
465,The Governing Council Of The Salvation Army Canada & Bermuda,Residential Care,Fraser Health,The Salvation Army Buchanan Lodge,112,-122.8979893,49.2288743,409 Blair Ave,New Westminster,BC,V3L 4A4,(604)522-7033,Province of British Columbia
466,Evergreen Baptist Care Society,Residential Care,Fraser Health,The Terraces at Evergreen,252,-122.8107662,49.0295667,1550 Oxford St,White Rock,BC,V4B 3R5,(604)536-3344,Province of British Columbia
467,Bria Communities Limited Partnership,Residential Care,Fraser Health,The Waterford,38,-123.0701603,49.027184,1345 56th St,Delta,BC,V4L 2P9,(604)943-5954,Province of British Columbia
468,Mission Association For Community Living,Residential Care,Fraser Health,Third Avenue Residence,,-122.294644,49.1366484,33593 3rd Ave,Mission,BC,V2V 1P8,(604)826-9080,Province of British Columbia
469,Ridge Meadows Association For Community Living,Residential Care,Fraser Health,Thornton,,-122.5310159,49.2195002,11960 249A St,Maple Ridge,BC,V4R 2E3,(604)463-5188,Province of British Columbia
470,Communitas Supportive Care Society,Residential Care,Fraser Health,Topaz Place,,-121.9679091,49.1394637,45438 Knight Rd,Chilliwack,BC,V2R 5E6,(604)824-6164,Province of British Columbia
471,Community Living Society,Residential Care,Fraser Health,Twelfth Avenue,,-122.9329777,49.2190106,7755 12th Ave,Burnaby,BC,V3N 2K6,(604)353-2843,Province of British Columbia
472,Communitas Supportive Care Society,Residential Care,Fraser Health,Twenty Sixth Avenue Home,,-122.4728834,49.0492254,27134 26th Ave,Aldergrove,BC,V4W 3N6,(604)856-6097,Province of British Columbia
473,Tabor Home Society,Residential Care,Fraser Health,Valhaven Rest Home,26,-122.3857153,49.0789671,4212 Balmoral St,Abbotsford,BC,V4X 1Y5,(604)856-2812,Province of British Columbia
474,Valleyhaven Retirement Community Ltd,Residential Care,Fraser Health,Valleyhaven,101,-121.9664606,49.1659618,45450 Menholm Rd,Chilliwack,BC,V2P 1M2,(604)792-0037,Province of British Columbia
475,Chilliwack Society For Community Living,Residential Care,Fraser Health,Vanmar Place,,-121.9439663,49.1240738,6699 Vanmar St,Chilliwack,BC,V2R 2M1,(604)792-7726,Province of British Columbia
476,Angela Hung Tsun Wei Hsiao,Residential Care,Fraser Health,Victoria Rest Home Ltd.,,-122.9164561,49.2055029,731 Queens Ave,New Westminster,BC,V3M 1L7,(604)525-2048,Province of British Columbia
477,"Diversicare Canada Management Services Co., Inc.",Residential Care,Fraser Health,Village Langley (The),26,-122.6729662,49.0732499,3920 198th St,Langley,BC,V3A 1C8,(604)427-3755,Province of British Columbia
478,posAbilities Association of British Columbia,Residential Care,Fraser Health,Vista House,,-122.9745099,49.2135718,6108 Neville St,Burnaby,BC,V5J 2J6,(604)439-9290,Province of British Columbia
479,Communitas Supportive Care Society,Residential Care,Fraser Health,Walker,,-122.2638329,49.0374461,34691 Walker Cres,Abbotsford,BC,V2S 1J4,(604)852-5195,Province of British Columbia
480,Waverly Seniors Village 3 LLP,Residential Care,Fraser Health,Waverly Seniors Village,53,-121.9530152,49.1557196,8445 Young Rd,Chilliwack,BC,V2P 4P2,(604)792-6340,Province of British Columbia
481,Kinsight Community Society,Residential Care,Fraser Health,Wellington Street Group Home,,-122.7620924,49.2788453,3719 Wellington St,Port Coquitlam,BC,V3B 3Y9,(604)464-3912,Province of British Columbia
482,West Shore Laylum Management Ltd.,Residential Care,Fraser Health,West Shore Laylum,55,-122.7977862,49.0485655,2567 King George Blvd,Surrey,BC,V4P 0E9,(604)946-2822,Province of British Columbia
483,GRM Care Corp,Residential Care,Fraser Health,Westminster House,140,-122.8363832,49.0324337,1653 140th St,Surrey,BC,V4A 4H1,(604)538-5291,Province of British Columbia
484,Westminster House Society,Residential Care,Fraser Health,Westminster House,,-122.9160062,49.2073189,228 7th St,New Westminster,BC,V3M 3K3,(604)524-5633,Province of British Columbia
485,White Rock Seniors Village 3 LLP,Residential Care,Fraser Health,White Rock Seniors Village,71,-122.7894036,49.0237713,15628 Buena Vista Ave,White Rock,BC,V4B 1Z4,(604)541-4663,Province of British Columbia
486,HCN-Revera Lessee (Whitecliff) GP Inc,Residential Care,Fraser Health,Whitecliff Retirement Residence,35,-122.7930809,49.0312747,15501 16th Ave,Surrey,BC,V4A 9M5,(604)538-7227,Province of British Columbia
487,Chartwell Seniors Housing Reit,Residential Care,Fraser Health,Willow Manor Care Centre,35,-122.6019985,49.2253028,12275 224th St,Maple Ridge,BC,V2X 6H5,(604)466-8602,Province of British Columbia
488,Chilliwack Society For Community Living,Residential Care,Fraser Health,Wilmada Place,,-121.9325709,49.1713039,46660 Cedar St,Chilliwack,BC,V2P 2H6,(604)792-8680,Province of British Columbia
489,Western Human Resource Corp,Residential Care,Fraser Health,Wingate House,,-122.8582941,49.2536711,1234 Winslow Ave,Coquitlam,BC,V3J 2G2,(604)931-3802,Province of British Columbia
490,Milieu Family Services Inc.,Residential Care,Fraser Health,Yale House,,-122.8586626,49.1883729,13107 Old Yale Rd,Surrey,BC,V3T 3C3,(604)588-8992,Province of British Columbia
491,Lutheran Senior Citizens Housing Society,Residential Care,Fraser Health,Zion Park Manor,112,-122.7239974,49.1100459,5939 180th St,Surrey,BC,V3S 4L2,(604)576-2891,Province of British Columbia
492,Dawson Creek Society for Community Living,Residential Care,Northern Health,115th Residence,,-120.2501096,55.7455893,1629 115 Ave,Dawson Creek,BC,V1G 3C7,(250)782-3277,Province of British Columbia
493,Dawson Creek Society for Community Living,Residential Care,Northern Health,1416 Residence,,-120.242284,55.7598837,1416 102 Ave,Dawson Creek,BC,V1G2C9,(250)782-2611,Province of British Columbia
494,Fort St. John Association For Community Living,Residential Care,Northern Health,92A Street House,,-120.8340087,56.2337165,8704 92A St,Fort St. John,BC,V1J 3J6,(250)787-0684,Province of British Columbia
495,Northern Health Authority - Prince Rupert,Residential Care,Northern Health,Acropolis Manor,61,-130.3300842,54.3043492,1325 Summit Ave,Prince Rupert,BC,V8J 4C1,(250)622-6461,Province of British Columbia
496,High Road Services Society,Residential Care,Northern Health,Alfred Adult Residential,,-127.1714404,54.7766473,3668 Alfred Ave,Smithers,BC,V0J 2N0,(250)847-2956,Province of British Columbia
497,Birchview Holdings Ltd.,Residential Care,Northern Health,Birchview Residences,20,-122.8005719,54.0012107,7780 Hart Hwy,Prince George,BC,V2K 3B3,(778)415-9790,Province of British Columbia
498,Northern Health Authority - Terrace and Kitimat,Residential Care,Northern Health,Birchwood Place,8,-128.5451759,54.5163628,3183 Kofoed Dr,Thornhill,BC,V8G 3P8,(250)635-2171,Province of British Columbia
499,Northern Health Authority - Smithers,Residential Care,Northern Health,Bulkley Lodge,70,-127.1577223,54.7792679,3668 11th Ave,Smithers,BC,V0J 2N0,(250)847-4443,Province of British Columbia
500,AIMHI Prince George Association For Community Living,Residential Care,Northern Health,Burden Residential Home,,-122.7675849,53.9085567,1680 Burden St,Prince George,BC,V2M 2J8,(250)564-0509,Province of British Columbia
501,AIMHI Prince George Association For Community Living,Residential Care,Northern Health,Campbell,,-122.7972598,53.9002453,4057 Campbell Ave,Prince George,BC,V2M 5A3,(250)612-0433,Province of British Columbia
502,Dawson Creek Society for Community Living,Residential Care,Northern Health,Canalta Residence,,-120.2572876,55.7506542,1908 110 Ave,Dawson Creek,BC,V1G 2W7,(250)782-2221,Province of British Columbia
503,South Peace Community Resources Society,Residential Care,Northern Health,City View,,-120.2316298,55.7679178,1020 95 Ave,Dawson Creek,BC,V1G 1J1,(250)782-0744,Province of British Columbia
504,Thompson Community Services Inc.,Residential Care,Northern Health,Corless Crescent,,-122.8061227,53.9299629,238 Corless Cres,Prince George,BC,V2M 5X9,(250)319-3503,Province of British Columbia
505,Northern Health Authority,Residential Care,Northern Health,Davis Drive,,-122.7828575,53.8754284,4237 Davis Rd,Prince George,BC,V2N 6M6,(250)964-9744,Province of British Columbia
506,Terrace & District Community Services Society,Residential Care,Northern Health,Davis Residence,,-128.5919849,54.5198173,4650 Davis Ave,Terrace,BC,V8G 1X7,(250)635-9447,Province of British Columbia
507,Northern Health Authority,Residential Care,Northern Health,Dunrovin Park Lodge,,-122.4873449,52.9794961,900 St Laurent Ave,Quesnel,BC,V2J 3S3,(250)985-5800,Province of British Columbia
508,Burns Lake Christian Supportive Society,Residential Care,Northern Health,Eighth Avenue Group Home,,-125.7581811,54.2341002,210 8th Ave,Burns Lake,BC,V0J 1E0,(250)692-7810,Province of British Columbia
509,AIMHI Prince George Association For Community Living,Residential Care,Northern Health,Flamingo Road,,-122.8207467,54.0057977,8244 Flamingo Rd,Prince George,BC,V2N 2J1,(250)962-5853,Province of British Columbia
510,Fort St. John Association For Community Living,Residential Care,Northern Health,FSJ ACL Four-Plex,8,-120.8571513,56.2481382,10519 102 Ave,Fort St. John,BC,V1J 2E7,(250)787-7437,Province of British Columbia
511,Northern Health Authority,Residential Care,Northern Health,Gateway Lodge Complex Care,120,-122.7534096,53.905646,1488 20th Ave,Prince George,BC,V2L 0A5,(250)645-6100,Province of British Columbia
512,AIMHI Prince George Association For Community Living,Residential Care,Northern Health,Gorse Street Residence,,-122.7382844,53.9059101,1945 Gorse St,Prince George,BC,V2L 1G7,(250)564-7511,Province of British Columbia
513,"Gorbahn, Dana",Residential Care,Northern Health,GPAR # 1,,-127.1670837,54.7904779,1377 Driftwood Cres,Smithers,BC,V0J 2N0,(250)847-4204,Province of British Columbia
514,Northern Health Authority,Residential Care,Northern Health,Haida Gwaii Hospital and Health Centre,8,-132.0705826,53.2548117,3209 Oceanview Dr,Queen Charlotte,BC,VOT 1SO,(250)622-6298,Province of British Columbia
515,Western Human Resource Corporation,Residential Care,Northern Health,Hazelton Residence,,-122.7379268,53.8974329,2554 Hazelton St,Prince George,BC,V2L 1H2,(250)960-1499,Province of British Columbia
516,Northern Health Authority - Houston Health Centre,Residential Care,Northern Health,Houston Health Centre,7,-126.6524369,54.3961409,3202 14th St,Houston,BC,V0J 1Z0,(250)845-5950,Province of British Columbia
517,Thompson Community Services Inc.,Residential Care,Northern Health,Kalum Home,,-128.5871766,54.5202329,3315 Kalum St,Terrace,BC,V8G 4B1,(250)635-4701,Province of British Columbia
518,Thompson Community Services Inc.,Residential Care,Northern Health,Leonard Place,,-122.8102968,53.9386839,4761 Leonard Pl,Prince George,BC,V2M 6Z5,(250)319-3503,Province of British Columbia
519,AIMHI Prince George Association For Community Living,Residential Care,Northern Health,Lisgar Residence,,-122.7835666,53.8980237,2471 Lisgar Cres,Prince George,BC,V2N 1C4,(250)596-0419,Province of British Columbia
520,Northern Health Authority - Terrace and Kitimat,Residential Care,Northern Health,Mountain View Lodge Complex & Long Term Care Unit,36,-128.6474501,54.0504911,920 Lahakas Blvd,Kitimat,BC,V8C 2S3,(250)632-2121,Province of British Columbia
521,Northern Health Authority,Residential Care,Northern Health,Nechako Center - Adult,,-122.7661852,53.9122146,1308 Alward St,Prince George,BC,V2M 7B1,(250)649-7573,Province of British Columbia
522,AIMHI Prince George Association For Community Living,Residential Care,Northern Health,Ospika Residence,,-122.7886112,53.8936018,2690 Ospika Blvd S,Prince George,BC,V2N 2L8,(250)562-0861,Province of British Columbia
523,Northern Health Authority,Residential Care,Northern Health,Parkside Intermediate Care Home,61,-122.7947754,53.9178042,788 Ospika Blvd,Prince George,BC,V2M 6W5,(250)563-1916,Province of British Columbia
524,Northern Health Authority,Residential Care,Northern Health,Peace Villa,124,-120.8161127,56.2560541,8407 112 Ave,Fort St. John,BC,V1J 0J5,(250)774-8100,Province of British Columbia
525,Prince George Brain Injured Group,Residential Care,Northern Health,Quince Street Residence,,-122.7533517,53.9052139,2012 Quince St,Prince George,BC,V2L 5B4,(250)562-6265,Province of British Columbia
526,Quesnel Community Living,Residential Care,Northern Health,Racing Residence,,-122.4493146,52.9849645,464 Racing Rd,Quesnel,BC,V2J 5G9,(250)747-0025,Province of British Columbia
527,AIMHI Prince George Association For Community Living,Residential Care,Northern Health,Radcliffe Residence,,-122.7934182,53.9284596,501 Radcliffe Dr,Prince George,BC,V2M 3N5,(250)562-6407,Province of British Columbia
528,Northern Health Authority,Residential Care,Northern Health,Rainbow Lodge,19,-122.7897305,53.9156786,1000 Liard Dr,Prince George,BC,V2M 3Z3,(250)645-64253,Province of British Columbia
529,Prince George Hospice Society,Residential Care,Northern Health,Rotary Hospice House,,-122.7554609,53.8895469,3089 Clapperton St,Prince George,BC,V2L 5N4,(250)563-2481,Province of British Columbia
530,Northern Health Authority,Residential Care,Northern Health,Rotary Manor,115,-120.2357358,55.77296,1121 90 Ave,Dawson Creek,BC,V1G 5A3,(250)719-3480,Province of British Columbia
531,Thompson Community Services Inc.,Residential Care,Northern Health,Scott Home,,-128.603921,54.5235442,4830 Scott Ave,Terrace,BC,V8G 2B6,(250)635-9800,Province of British Columbia
532,South Peace Community Resources Society,Residential Care,Northern Health,Serenity House,,-120.2391598,55.7561362,1311 106 Ave,Dawson Creek,BC,V1G 2P2,(250)782-9174 ext 227,Province of British Columbia
533,AIMHI Prince George Association For Community Living,Residential Care,Northern Health,St Catherine's Community Home,,-122.7795462,53.8600556,6899 O'Grady Rd,Prince George,BC,V2N 4Z1,(250)964-2033,Province of British Columbia
534,Northern Health Authority,Residential Care,Northern Health,Stuart Nechako Manor,53,-124.0092728,54.0287172,3277 Hospital Rd,Vanderhoof,BC,V0J 3A0,(250)567-2013,Province of British Columbia
535,Northern Health Authority - Terrace and Kitimat,Residential Care,Northern Health,Terraceview Lodge,99,-128.5941273,54.5328427,4707 Kerby Ave,Terrace,BC,V8G 2W2,(250)631-4180,Province of British Columbia
536,Connexus Community Resources,Residential Care,Northern Health,Valley View Residence,,-124.009737,54.0105665,143 5th St W,Vanderhoof,BC,V0J 3A0,(250)567-9205,Province of British Columbia
537,Bradley Smith,Residential Care,Interior Health,Hall St. Residence,,-117.2925683,49.4953759,"#203 & #204 205 Hall St, Nelson BC V1L 5X4",Nelson,BC,V1L 5X4,(250) 354-1267,Province of British Columbia
538,Ivana Pavlic,Residential Care,Interior Health,Lake Country Lodge,49,-119.3982882,50.0295396,"100 10163 Konschuh Road, Lake Country BC V4V 2M2",Lake Country,BC,V4V 2M2,(250) 766-3007,Province of British Columbia
539,,Residential Care,Interior Health,Coronation Home,,-119.4793851,49.8923387,"1009 Coronation Ave, Kelowna BC V1Y 7A8",Kelowna,BC,V1Y 7A8,(250) 861-7133,Province of British Columbia
540,Ken Wright,Residential Care,Interior Health,Sage Health Centre,,-120.3388827,50.6712201,"101 Columbia St W, Kamloops BC V2C 2S7",Kamloops,BC,V2C 2S7,(250) 374-6551,Province of British Columbia
541,Sunshine Latimer,Residential Care,Interior Health,Prince Avenue Home,,-117.6732208,49.3290404,"101 Prince Ave, Castlegar BC V1N 1C7",Castlegar,BC,V1N 1C7,(250) 365-2770,Province of British Columbia
542,Jamie McGregor,Residential Care,Interior Health,Youth Recovery House,,-119.4790031,49.8824008,"1024 Laurier Avenue, Kelowna BC V1Y 6B1",Kelowna,BC,V1Y 6B1,(250) 763-0456,Province of British Columbia
543,Vic Klassen,Residential Care,Interior Health,The Hamlets at Penticton,89,-119.5897419,49.4840615,"103 Duncan Ave, Penticton BC V2A 2Y3",Penticton,BC,V2A 2Y3,(250) 490-8503,Province of British Columbia
544,Heather Dorsey,Residential Care,Interior Health,Columbia House,35,-116.0333453,50.5065288,"1030 10 St, Invermere BC V0A 1K0",Invermere,BC,V0A 1K0,(250) 342-2329,Province of British Columbia
545,Tawnya Steil,Residential Care,Interior Health,Middleton House,,-119.2363884,50.2347983,"10306 Middleton Dr, Vernon BC V1T 2K6",Vernon,BC,V1T 2K6,(250) 545-7495,Province of British Columbia
546,Jade Louise Burt,Residential Care,Interior Health,Prairie Valley Lodge,9,-119.6835172,49.5979602,"10312 Prairie Valley Rd, Summerland BC V0H 1Z0",Summerland,BC,V0H 1Z0,(250) 404-0203,Province of British Columbia
547,Brad Novak,Residential Care,Interior Health,Gaumont Residence,,-120.3829343,50.7086211,"1070 North Glen Dr, Kamloops BC V2B 5C1",Kamloops,BC,V2B 5C1,(250) 376-3942,Province of British Columbia
548,Michelle McLeod,Residential Care,Interior Health,Oriole House,,-120.3889523,50.7091406,"1080 Holt St, Kamloops BC V2B 5H2",Kamloops,BC,V2B 5H2,(250) 312-1825,Province of British Columbia
549,Nafisha Whitely,Residential Care,Interior Health,Highridge House,,-120.383846,50.7091717,"1099 Singh St, Kamloops BC V2B 5E2",Kamloops,BC,V2B 5E2,(778) 470-5552,Province of British Columbia
550,Kyla Doyle,Residential Care,Interior Health,Murray House (P.D.S.C.L.),,-119.5904134,49.4684904,"110 Murray Dr, Penticton BC V2A 7E4",Penticton,BC,V2A 7E4,(250) 493-4947,Province of British Columbia
551,Anita Grywacheski,Residential Care,Interior Health,Selkirk Family Care Home,,-120.3710336,50.7035692,"1120 Selkirk Ave, Kamloops BC V2B 1V6",Kamloops,BC,V2B 1V6,(250) 376-3306,Province of British Columbia
552,Tereena Donahue,Residential Care,Interior Health,Jubilee House,,-122.1412297,52.130257,"113 4 Ave N, Williams Lake BC V2G 2C8",Williams Lake,BC,V2G 2C8,(250) 398-7736,Province of British Columbia
553,Netanya Hanley,Residential Care,Interior Health,Kootenay Columbia House,,-117.6630835,49.3279642,"114 10 Ave, Castlegar BC V1N 1Y4",Castlegar,BC,V1N 1Y4,(250) 365-0943,Province of British Columbia
554,Mark Fleming,Residential Care,Interior Health,Connect Lake Country,,-119.4039766,50.0484009,"11438 Bottom Wood Lake Rd, Lake Country BC V4V 1V4",Lake Country,BC,V4V 1V4,(250) 469-9358,Province of British Columbia
555,Debra Koecher,Residential Care,Interior Health,South Canoe Home,,-119.2028411,50.6912155,"1180 70 St SE, Salmon Arm BC V1E 1X8",Salmon Arm,BC,V1E 1X8,(250) 832-7698,Province of British Columbia
556,Jessica Milaney,Residential Care,Interior Health,Mt. Cartier Court,46,-118.1904797,50.9773376,"1200 Newlands Rd, Revelstoke BC V0E 2S0",Revelstoke,BC,V0E 2S0,(250) 814-2224,Province of British Columbia
557,Linda Keats,Residential Care,Interior Health,30th Street Group Home,,-119.2511272,50.708592,"1201 30 St NE, Salmon Arm BC V1E 2B6",Salmon Arm,BC,V1E 2B6,(778) 489-5661,Province of British Columbia
558,Lisa Robitaille,Residential Care,Interior Health,Kamloops Seniors Village,114,-120.3729788,50.6499607,"1220 Hugh Allan Dr, Kamloops BC V1S 2B3",Kamloops,BC,V1S 2B3,(250) 571-1800,Province of British Columbia
559,Laura McKinnon,Residential Care,Interior Health,1250 Guisachan Road,,-119.472311,49.8730249,"1250 Guisachan Road, Kelowna BC V1T 7X5",Kelowna,BC,V1T 7X5,(250) 763-4837,Province of British Columbia
560,Linda Rowley,Residential Care,Interior Health,Eagle Crescent,,-122.1625031,52.1190374,"128 Eagle Crescent, Williams Lake BC V2G 5K2",Williams Lake,BC,V2G 5K2,(778) 412-9903,Province of British Columbia
561,Christy Baker,Residential Care,Interior Health,Summerland Seniors Village,112,-119.6687918,49.6000554,"12803 Atkinson Rd, Summerland BC V0H 1Z4",Summerland,BC,V0H 1Z4,(250) 404-4400,Province of British Columbia
562,Sandi Lautrup,Residential Care,Interior Health,Down's Residence,,-119.2501227,50.2743371,"1304 43 Avenue, Vernon BC V1T 8B2",Vernon,BC,V1T 8B2,(250) 545-1837,Province of British Columbia
563,Cathy Hall,Residential Care,Interior Health,Pioneer Lodge,,-115.7666091,49.5087914,"133 11 Avenue South, Cranbrook BC V1C 2P4",Cranbrook,BC,V1C 2P4,(250) 426-2651,Province of British Columbia
564,Michele Villeneuve-Timbury,Residential Care,Interior Health,Villeneuve House,,-119.4605542,49.8882962,"1400 Cherry Crescent E, Kelowna BC V1Y 3Y3",Kelowna,BC,V1Y 3Y3,(250) 764-0254,Province of British Columbia
565,Tina Quo Vadis,Residential Care,Interior Health,Noric House,85,-119.282595,50.251034,"1400 Mission Rd, Vernon BC V1T 9C3",Vernon,BC,V1T 9C3,(250) 545-9167,Province of British Columbia
566,Leanne Power,Residential Care,Interior Health,Waddington Group Home,,-120.33799,50.6536649,"141 Waddington Dr, Kamloops BC V2E 1P7",Kamloops,BC,V2E 1P7,(250) 372-2110,Province of British Columbia
567,Emily Bronson,Residential Care,Interior Health,Dufferin Group Home,,-120.3843445,50.6590596,"1423 Mt Dufferin Dr, Kamloops BC V2E 1A1",Kamloops,BC,V2E 1A1,(250) 372-2584,Province of British Columbia
568,Shannon Blanleil,Residential Care,Interior Health,Three Links Manor,82,-119.4669195,49.883268,"1449 Kelglen Crescent, Kelowna BC V1Y 8P4",Kelowna,BC,V1Y 8P4,(250) 763-2585,Province of British Columbia
569,Tammy Deausy,Residential Care,Interior Health,Williams Lake Seniors Village,113,-122.1593926,52.1520084,"1455 Western Ave, Williams Lake BC V2G 5N1",Williams Lake,BC,V2G 5N1,(250) 305-3302,Province of British Columbia
570,Kyla Doyle,Residential Care,Interior Health,Bruce House,,-119.5894259,49.4780038,"146 Bruce Court, Penticton BC V2A 6C4",Penticton,BC,V2A 6C4,(250) 486-5952,Province of British Columbia
571,Kristina Pidskalny,Residential Care,Interior Health,Alexis Home,,-120.3833093,50.701098,"1561 Alexis Ave, Kamloops BC V2B 4L1",Kamloops,BC,V2B 4L1,(250) 376-9801,Province of British Columbia
572,Diane Alcorn,Residential Care,Interior Health,Smithson Place Home,,-119.4624632,49.8996441,"1615 Smithson Pl, Kelowna BC V1Y 8N5",Kelowna,BC,V1Y 8N5,(250) 860-1852,Province of British Columbia
573,Andrea Russell,Residential Care,Interior Health,Avonlea Care Centre Ltd,,-119.4617277,49.8937576,"1658 Blondeaux Crescent, Kelowna BC V1Y 4J7",Kelowna,BC,V1Y 4J7,(250) 762-4378,Province of British Columbia
574,Jessica Degeorgio,Residential Care,Interior Health,ALPHA House,,-117.7047808,49.0939058,"1681 Bay Ave, Trail BC V1R 4R7",Trail,BC,V1R 4R7,(250) 368-9145,Province of British Columbia
575,Matt Stubbings,Residential Care,Interior Health,Gillis House,49,-120.7861348,50.1075263,"1699 Tutill Court, Merritt BC V1K 1C6",Merritt,BC,V1K 1C6,(250) 378-3271,Province of British Columbia
576,Kim Gordon,Residential Care,Interior Health,F.W. Green Memorial Home,60,-115.7573544,49.5052761,"1700 4th Street S, Cranbrook BC V1C 6E1",Cranbrook,BC,V1C 6E1,(250) 426-3710,Province of British Columbia
577,Elaine Phipps,Residential Care,Interior Health,Axis House Williams Lake,,-122.1000214,52.1100783,"1700 Renner Rd, Williams Lake BC V2G 3B3",Williams Lake,BC,V2G 3B3,(250) 392-1800,Province of British Columbia
578,Lisa Danby,Residential Care,Interior Health,Moog and Friends Hospice House,,-119.5717821,49.4798794,"1701 Government St, Penticton BC V2A 3G6",Penticton,BC,V2A 3G6,(250) 492-9071,Province of British Columbia
579,Shawn Jacklin,Residential Care,Interior Health,Joseph Creek Care Village,102,-115.7460108,49.5268727,"1701 Willowbrook Dr N, Cranbrook BC V1C 0A5",Cranbrook,BC,V1C 0A5,(250) 489-0060,Province of British Columbia
580,Dianne Klassen,Residential Care,Interior Health,Roslin House,,-119.4585279,49.8922927,"1733 Highland Dr N, Kelowna BC V1Y 4K9",Kelowna,BC,V1Y 4K9,(250) 763-1953,Province of British Columbia
581,David Parmenter,Residential Care,Interior Health,Willowview,,-119.2705047,50.2550268,"1808 30 St, Vernon BC V1T 5C5",Vernon,BC,V1T 5C5,(250) 542-4890,Province of British Columbia
582,Mindy Mears,Residential Care,Interior Health,Fruitvale House,,-117.5437064,49.1124272,"1889 Columbia Gardens Rd, Fruitvale BC V0G 1L0",Fruitvale,BC,V0G 1L0,(250) 367-2174,Province of British Columbia
583,Shannon Blanleil,Residential Care,Interior Health,McGivney Manor,6,-119.4213894,49.8810045,"1898 Parkview Crescent, Kelowna BC V1X 7G6",Kelowna,BC,V1X 7G6,(250) 868-2123,Province of British Columbia
584,Kathleen Mills,Residential Care,Interior Health,Pine Acres Home,63,-119.5947911,49.8394585,"1902 Pheasant Ln, Westbank BC V4T 2H4",Westbank,BC,V4T 2H4,(250) 768-7676,Province of British Columbia
585,Cathy Hall,Residential Care,Interior Health,Purcell Place,,-115.7416204,49.5276644,"1906 Kelowna Cres, Cranbrook BC V1C 6E5",Cranbrook,BC,V1C 6E5,(250) 426-7588,Province of British Columbia
586,Crystal Clark,Residential Care,Interior Health,Brocklehurst Gemstone Care Centre,130,-120.4000066,50.6997309,"1955 Tranquille Rd, Kamloops BC V2B 3M4",Kamloops,BC,V2B 3M4,(778) 470-2596,Province of British Columbia
587,"Nicole Wasyliuk, RN, BScN",Residential Care,Interior Health,Central Okanagan Hospice House,,-119.4818967,49.8775979,"2035 Ethel St, Kelowna BC V1Y 2Z6",Kelowna,BC,V1Y 2Z6,(250) 862-4126,Province of British Columbia
588,Gurleen Gill,Residential Care,Interior Health,Brandt's Creek Mews,102,-119.4354247,49.920084,"2081 Cross Rd, Kelowna BC V1V 2G2",Kelowna,BC,V1V 2G2,(778) 478-8800,Province of British Columbia
589,Sabrina Baergen,Residential Care,Interior Health,Willow House,,-119.1862301,50.4437163,"2200 Fletcher Ave, Armstrong BC V0E 1B1",Armstrong,BC,V0E 1B1,(250) 542-2374,Province of British Columbia
590,Chris Lyon,Residential Care,Interior Health,Teshi House,,-117.291627,49.4739294,"2206 Perrier Lane, Nelson BC V1L 7C3",Nelson,BC,V1L 7C3,(250) 352-0595,Province of British Columbia
591,Tim Reichelt,Residential Care,Interior Health,Rote Scheune Acres,,-119.4395524,49.8231878,"2222 Saucier Rd, Kelowna BC V1W 4B8",Kelowna,BC,V1W 4B8,(250) 764-0390,Province of British Columbia
592,Trina Heerschop,Residential Care,Interior Health,Van Kleeck Home,,-119.1874782,50.4386477,"2275 Van Kleeck Ave, Armstrong BC V0E 1B1",Armstrong,BC,V0E 1B1,(250) 546-3466,Province of British Columbia
593,Shannon Kenning,Residential Care,Interior Health,Castleview Care Centre,61,-117.6624447,49.2881064,"2300 14 Ave, Castlegar BC V1N 4A6",Castlegar,BC,V1N 4A6,(250) 365-7277,Province of British Columbia
594,Cathy Hall,Residential Care,Interior Health,4th Street Home,,-115.748711,49.5159284,"2304 4 St N, Cranbrook BC V1C 5V9",Cranbrook,BC,V1C 5V9,(250) 426-2223,Province of British Columbia
595,Gloria Kron,Residential Care,Interior Health,Lakeview Lodge,114,-119.623777,49.8370173,"2337 Butt Road, West Kelowna BC V4T 3L3",West Kelowna,BC,V4T 3L3,(250) 768-3802,Province of British Columbia
596,Martin Edgington,Residential Care,Interior Health,Silver Kettle Village,42,-118.4650845,49.0240875,"2350 72nd Avenue, Grand Forks BC V0H 1H0",Grand Forks,BC,V0H 1H0,(250) 442-0667,Province of British Columbia
597,Elizabeth Scott,Residential Care,Interior Health,Braemore Lodge,,-119.5812088,49.4712603,"2402 S Main St, Penticton BC V2A 5H9",Penticton,BC,V2A 5H9,(250) 492-2969,Province of British Columbia
598,Serena Burdick,Residential Care,Interior Health,The Village at Smith Creek,139,-119.6267443,49.8431243,"2425 Orlin Rd, West Kelowna BC V4T 3C7",West Kelowna,BC,V4T 3C7,(250) 768-0488 x 5,Province of British Columbia
599,Kathy Charlesworth,Residential Care,Interior Health,Wallace Road Duplex,,-119.3835351,49.9056937,"250-254 Wallace Rd, Kelowna BC V1X 4T1",Kelowna,BC,V1X 4T1,(250) 491-0815,Province of British Columbia
600,Ashley Parsons,Residential Care,Interior Health,Axis House Castlegar,,-117.6513971,49.2826636,"2528 Columbia Ave, Castlegar BC V1N 2X5",Castlegar,BC,V1N 2X5,(778) 460-1901,Province of British Columbia
