idx,facility_name,facility_type,health_authority,alternative_name,longitude,latitude,street_addr,city,province,postal_code,phone,provider
277,Summerland Seniors 3 LLP,Assisted Living,Interior Health,Summerland Seniors Village,-119.6687918,49.6000554,12803 Atkinson Road,Summerland,BC,V0H 1Z4,(250) 404-4400,Province of British Columbia
278,Stanford Seniors Village 3 LLP,Assisted Living,Island Health,Stanford Seniors Village,-124.3111913,49.3163287,250 Craig Street,Parksville,BC,V9P 0A7,(250) 951-0811,Province of British Columbia
279,Tapestry AW Limited Partnership,Assisted Living,Vancouver Coastal,Tapestry at Arbutus Walk,-123.1558237,49.2615284,2799 Yew Street,Vancouver,BC,V6K 4W2,(604) 736-1640,Province of British Columbia
280,Baptist Housing Hallmark Society,Assisted Living,Fraser Health,Hallmark on the Park,-122.34484,49.0571207,3055 Princess Street,Abbotsford,BC,V2T 4A8,(604) 859-0053,Province of British Columbia
281,Into Action Recovery Society,Assisted Living,Fraser Health,Into Action House 2,-122.9625194,49.2028022,6293 Marine Drive,Burnaby,BC,V3N 2Y2,(778) 231-8565,Province of British Columbia
282,Wagner Hills Farm Society,Assisted Living,Fraser Health,Wagner Hills Women's Campus,-122.6215432,49.0095434,460 216th Street,Langley,BC,V2Z 1R6,(604) 530-6228,Province of British Columbia
283,Options Community Services Society,Assisted Living,Fraser Health,Blair House,-122.8357029,49.1464159,7902 139A St,Surrey,BC,V3W 5H5,(604) 597-1943,Province of British Columbia
284,1013779 BC LTD,Assisted Living,Interior Health,Carefree Manor,-121.2975223,51.6335523,812 Cariboo Trail,100 Mile House,BC,V0K 2E3,(250) 395-4807,Province of British Columbia
285,Our Place Society,Assisted Living,Island Health,Our Place Society Therapeutic Community,-123.4427413,48.463277,94 Talcott Rd,View Royal,BC,V9B 6L9,250-940-5080,Province of British Columbia
286,Penticton Recovery Resource Society,Assisted Living,Interior Health,Discovery House-Winnipeg St,-119.5932079,49.4932916,633 Winnipeg Street,Penticton,BC,V2A 5N1,(250) 490-3076,Province of British Columbia
287,Coast Foundation Society (1974),Assisted Living,Vancouver Coastal,Coast Mental Health - Storeys,-123.1352502,49.1631212,8080 Anderson Road,Richmond,BC,V6Y 0J5,(604) 376-2375,Province of British Columbia
288,Glenwood Seniors Community Partnership,Assisted Living,Fraser Health,Glenwood Seniors Community,-121.7581786,49.2308549,1458 Glenwood Drive,Agassiz,BC,V0M 1A3,(604) 796-8778,Province of British Columbia
289,Talitha Koum Society,Assisted Living,Fraser Health,Talitha Koum Society - Gianna House,-122.8097505,49.2626069,2941 Spuraway Ave,Coquitlam,BC,V3C 2C6,(604) 475-3730,Province of British Columbia
290,Prime Time (Abby Lane) Inc,Assisted Living,Fraser Health,Amica White Rock,-122.7979723,49.0313216,15333 16 Ave,Surrey,BC,V4A 1R6,(778) 545-8800,Province of British Columbia
291,PHS Community Services Society,Assisted Living,Island Health,Douglas Street Community Supportive Recovery,-123.3680714,48.4419158,2915 Douglas Street,Victoria,BC,V8T 4M8,250-208-9870,Province of British Columbia
292,Yahweh Saves Recovery Ministry,Assisted Living,Fraser Health,Joshua House - Chilliwack,-121.5527538,49.1006691,60550 Chilliwack Lake Rd,Chilliwack,BC,V4Z 1A7,604-858-7279,Province of British Columbia
293,1058016 BC LTD,Assisted Living,Fraser Health,Acorn Recovery Living,-122.8472991,49.1265815,6817 135A Street,Surrey,BC,V3W 4X2,250-552-1552,Province of British Columbia
294,333 Recovery Homes Society,Assisted Living,Northern Health,333 Trinity Men's Recovery House,-130.3089809,54.3128273,333 11 Ave E,Prince Rupert,BC,V8J 2W4,(250) 627-3093,Province of British Columbia
295,1041090 BC Ltd. (dba Parkside Community),Assisted Living,Interior Health,Parkside Community (1041090 BC Ltd),-119.6870947,50.818371,743 Okanagan Ave,Chase,BC,V0E 1M0,(250) 679-4477,Province of British Columbia
296,The Bridge Youth & Family Services,Assisted Living,Interior Health,The Bridge Adult Supported Recovery,-119.4009594,49.8895254,760 Hwy 33 West,Kelowna,BC,V1X 1Y4,(250) 763-0456,Province of British Columbia
297,Verve Senior Living,Assisted Living,Vancouver Coastal,Granville Gardens Retirement,-123.1404386,49.2265328,"Suite 100, 1550 W 49 Ave",Vancouver,BC,V6M 0B3,(604) 563-3540,Province of British Columbia
298,Casa Loma Seniors Village 3 LLP,Assisted Living,Island Health,Casa Loma Seniors Village,-124.9934349,49.7027566,4646 Headquarters Road,Courtenay,BC,V9N 7J3,(250) 897-1033,Province of British Columbia
299,Courtenay Seniors Village 3 LLP,Assisted Living,Island Health,Comox Valley Seniors Village,-124.9930277,49.7023661,4640 Headquarters Road,Courtenay,BC,V9N 7J3,(250) 331-1183,Province of British Columbia
300,Kamloops Seniors Village 3 LLP,Assisted Living,Interior Health,Kamloops Seniors Village,-120.3729788,50.6499607,1220 Hugh Allan Drive,Kamloops,BC,V1S 2B3,(250) 571-1800,Province of British Columbia
301,Back on Track Recovery LTD.,Assisted Living,Fraser Health,Back on Track Recovery - The Fortress Unit 4,-122.8345193,49.1823321,9889 140 St,Surrey,BC,V3T 4M4,(778) 316-2625,Province of British Columbia
302,Powell River Miklat Recovery House Society,Assisted Living,Vancouver Coastal,Miklat House,-124.5173367,49.8595597,5298 McGuffie Ave,Powell River,BC,V8A 3T6,(604) 483-6462,Province of British Columbia
303,Craftco Care Homes Inc,Assisted Living,Interior Health,Country Roads Lodge,-119.6888823,49.5963939,11811 Sinclair Road,Summerland,BC,V0H 1Z0,(778) 516-7447,Province of British Columbia
304,Berwick Retirement Qualicum Beach LTD.,Assisted Living,Island Health,Berwick Qualicum Beach,-124.4429948,49.3479396,120 First Avenue West,Qualicum Beach,BC,V8K0B4,250-738-6200,Province of British Columbia
305,The Salvation Army Addiction & Rehabilitation Centre (ARC),Assisted Living,Island Health,The Salvation Army ARC,-123.3697996,48.4273495,525 Johnson Street,Victoria,BC,V8W 1M2,(250) 384-3396,Province of British Columbia
306,Ruth and Naomi Mission,Assisted Living,Fraser Health,Oasis Residential Addiction Treatment Services for Women,-121.9482986,49.1709595,46129 Princess Ave,Chilliwack,BC,V2P 2A8,(604) 795-2322,Province of British Columbia
307,Berton Evertt,Assisted Living,Fraser Health,Suncrest Retirement Community - Manor Care (White Rock) Inc.,-122.7977862,49.0485655,2567 King George Blvd,Surrey,BC,V4E 0P9,(604) 542-6200,Province of British Columbia
308,Round Lake Alcohol And Drug Treatment Society,Assisted Living,Interior Health,Round Lake Treatment Centre,-119.1964935,50.4073547,200 Emery Louis Rd.,Armstrong,BC,V0E 1B5,(250) 546-3077,Province of British Columbia
309,Options Community Services Society,Assisted Living,Fraser Health,Nichol Place,-122.8342764,49.1490501,8048 -140 Street,Surrey,BC,V3W 5K7,(604) 954-1260,Province of British Columbia
310,Phoenix 4 Enterprises LTD.,Assisted Living,Island Health,The New Leaf Supportive Recovery,-124.8010783,49.2454824,4517 Redford St,Port Alberni,BC,V9N 3P9,(250) 736-1235,Province of British Columbia
311,Port Coquitlam Senior Citizens' Housing Society,Assisted Living,Fraser Health,Hawthorne Tower,-122.776622,49.2576762,2111 Hawthorne Avenue,Port Coquitlam,BC,V3C 1W3,(604) 941-4051,Province of British Columbia
312,New Day in the Peace Ministries,Assisted Living,Northern Health,New Day in the Peace Ministries,-120.7129524,56.256545,11095 - 255 Road,Fort Saint John,BC,V1J 4M6,(250) 785-1008,Province of British Columbia
313,Heritage Manor Ltd,Assisted Living,Island Health,Heritage Manor Ltd (Duncan),-123.780408,48.7706677,5478 Normandy Rd,Duncan,BC,V9L 6G4,(250) 748-3488,Province of British Columbia
314,Vancouver Resource Society,Assisted Living,Island Health,Lakeside Gardens,-124.0151253,49.2091968,4088 Wellesley Avenue,Nanaimo,BC,V9T 6M2,250-756-0799,Province of British Columbia
315,Back on Track Recovery LTD.,Assisted Living,Fraser Health,Back on Track Recovery - The Fortress Unit 3,-122.8345193,49.1823321,9889 140 St,Surrey,BC,V3T 4M4,(778) 649-2625,Province of British Columbia
316,HP Saltspring Assisted Living Ltd,Assisted Living,Island Health,Heritage Place for Seniors,-123.5096787,48.8609482,120 Crofton Road,Salt Spring Island,BC,V8K 2Y4,250-537-8340,Province of British Columbia
317,Shuswap Lodge Seniors Residence Society,Assisted Living,Interior Health,Shuswap Lodge Retirement Residence,-119.2872131,50.6991521,200 Trans Canada Highway SW,Salmon Arm,BC,V1E 4P6,(250) 832-7081,Province of British Columbia
318,Waverly Seniors Village 3 LLP,Assisted Living,Fraser Health,Waverly Seniors Village,-121.9530152,49.1557196,8445 Young Road,Chilliwack,BC,V2P 4P2,(604) 792-6340,Province of British Columbia
319,The Bridge Youth & Family Services,Assisted Living,Interior Health,Johnson House,-119.5759523,49.4979332,1001 Johnson Rd.,Penticton,BC,V2A 1W3,(250) 763-0456,Province of British Columbia
320,The Bridge Youth & Family Services,Assisted Living,Interior Health,Nanaimo House,-119.5901941,49.4992201,123 Nanaimo St,Penticton,BC,V2A 1M3,(250) 763-0456,Province of British Columbia
321,Verve Senior Living,Assisted Living,Fraser Health,The Village Langley,-122.6729662,49.0732499,3920 198 Street,Langley,BC,V3A 1E1,(604) 427-3755,Province of British Columbia
322,Recovery Works Treatment Centres Ltd.,Assisted Living,Island Health,Recovery Works,-123.3705516,48.4111532,647 Niagra Street,Victoria,BC,V8V 1J1,778-430-1212,Province of British Columbia
323,Westminster House Society,Assisted Living,Fraser Health,Supportive Recovery Transition Program,-122.9148761,49.2063586,705 Queens Avenue,New Westminster,BC,V3M 1L3,(604) 524-5633,Province of British Columbia
324,Changing Addictive Attitudes Recovery Society of BC,Assisted Living,Vancouver Coastal,Reaching Out - 65th Ave,-123.0920818,49.2115831,668 East 65th Ave,Vancouver,BC,V5X2P8,(778) 997-0270,Province of British Columbia
325,Lookout Housing and Health Society,Assisted Living,Fraser Health,Carr's Place,-122.8392644,49.202104,13802-13804 Grosvenor Rd.,Surrey,BC,V3R 5E7,(604) 255-0340,Province of British Columbia
326,Qualicum Gardens Senior Living,Assisted Living,Island Health,The Gardens at Qualicum Beach,-124.437858,49.3481266,650 Berwick Road North,Qualicum Beach,BC,V2K 2T8,250-752-2818,Province of British Columbia
327,Comox Valley Transition Society,Assisted Living,Island Health,Amethyst House,-124.9999224,49.6931376,280 2nd Street,Courtenay,BC,V9N 1B7,(250) 871-2570,Province of British Columbia
328,Horizon Health Care LTD.,Assisted Living,Fraser Health,Maria Sol House (14129),-122.830547,49.2071907,14129 Grosvenor Rd,Surrey,BC,V3R 5G9,(778) 318-2855,Province of British Columbia
329,Horizon Health Care LTD.,Assisted Living,Fraser Health,Maria Sol House (14131),-122.830547,49.2071907,14131 Grosvenor Rd,Surrey,BC,V3R 5GN,(778) 318-2855,Province of British Columbia
330,Teskey Road to Recovery Society,Assisted Living,Fraser Health,Teskey Road to Recovery,-121.9489835,49.0965274,5048 Teskey Road,Chilliwack,BC,V2R 5V6,(604) 824-8172,Province of British Columbia
331,Trillium (Sidney) Holdings,Assisted Living,Island Health,The Peninsula,-123.404781,48.6538644,2290 Henry Ave,Sidney,BC,V8L 2B2,(250) 656-8827,Province of British Columbia
332,Andover Terrace Housing Society,Assisted Living,Interior Health,Andover Terrace,-119.262517,50.7151831,2110 Lakeshore Rd NE,Salmon Arm,BC,V1E 3X9,(250) 832-6686,Province of British Columbia
333,Squamish Helping Hands Society,Assisted Living,Vancouver Coastal,Under One Roof,-123.1579917,49.6969175,37871 Third Avenue,Squamish,BC,V8B 0R2,(604) 815-4984,Province of British Columbia
334,Vancouver Island Health Authority,Assisted Living,Island Health,Stabilization Unit House 1,-123.3593621,48.4209572,914 McClure St,Victoria,BC,V8V 3E7,(250) 361-9550,Province of British Columbia
335,Vancouver Island Health Authority,Assisted Living,Island Health,Stabilization Unit House 2,-123.3589224,48.4210995,924 McClure St,Victoria,BC,V8V 3E7,(250) 361-9550,Province of British Columbia
336,Turning Points Collaborative Society,Assisted Living,Interior Health,Haven Place,-119.2646384,50.2745482,2500-43 Avenue,Vernon,BC,V1T 9S8,(250)309-4616,Province of British Columbia
337,Options Community Services Society,Assisted Living,Fraser Health,Maple House,-122.7883584,49.0267895,1360 Maple St,White Rock,BC,V4B 4M9,(604) 584-5811,Province of British Columbia
338,Fraserside Community Services Society,Assisted Living,Fraser Health,Summit House,-122.7569006,49.2671936,1530 Coquitlam Ave,Port Coquitlam,BC,V3C 2Z7,(604) 475-3412,Province of British Columbia
339,Nanaimo John Howard Society,Assisted Living,Island Health,Vancouver Island Therapeutic Community - John Howard,-124.0007094,49.1964594,2368 Rosstown Rd,Nanaimo,BC,V9T 3R7,(250) 758-5611,Province of British Columbia
340,ASK Wellness Society,Assisted Living,Interior Health,ASK Wellness Society - Maverick Manor,-120.3648204,50.6552431,1250 Hillside Crt.,Kamloops,BC,V2C 6R3,(250) 376-7558,Province of British Columbia
341,Quesnel Shelter and Support Society,Assisted Living,Northern Health,Bridges Supportive Housing,-122.5042589,52.9772975,355 Elliot St,Quesnel,BC,V2J 1Y5,(778) 414-1229,Province of British Columbia
342,Adult & Teen Challenge Society of BC,Assisted Living,Fraser Health,Patricia Hope House,-122.6841919,49.0312823,19465 16th Ave,Surrey,BC,V3Z 9V2,(604) 575-3930,Province of British Columbia
343,Mosaic Seniors Care Society,Assisted Living,Fraser Health,Gateway Assisted Living,-122.840396,49.1844599,13787 100 Ave,Surrey,BC,V3T 5E4,(604) 585-2906,Province of British Columbia
344,Cheryl Buchanan,Assisted Living,Vancouver Coastal,New Story Community,-123.4609506,49.3979062,Lot #52 Keats Road,Keats Island,BC,BC,(250) 715-8225,Province of British Columbia
345,Back on Track Recovery Society,Assisted Living,Fraser Health,Back on Track - Robin's Nest,-122.7128816,49.0834008,4456 - 184th Street,Surrey,BC,V3S 0L5,(778) 316-2625,Province of British Columbia
346,Port Alberni Shelter Society,Assisted Living,Island Health,PASS TRC,-124.7595041,49.1979687,725 Franklin River Road,Port Alberni,BC,V0R 1M0,(250) 723-6511,Province of British Columbia
