OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
Sienna-Baltic (Cascades) Inc.,The Cascades,Residential Care,45586 Mcintosh Dr,Chilliwack,V2P 7W8,(604)795-2500,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=35E743B7F1234DA888257CEE00600F87,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,Y,10,N,,Y,109,N,,N,,-121.9629698,49.160818
VCPC Holdings LTD,The Chrysalis 22,Residential Care,14122 113th Ave,Surrey,V3R 7H1,(604)583-9564,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C792ACFDEF8E2616882578F600657FBC,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,11,N,,N,,N,,N,,N,,-122.8309787,49.2075008
VCPC Holdings LTD,The Chrysalis 24,Residential Care,14124 113th Ave,Surrey,V3R 7H1,(604)367-7248,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=80268678329F7CB1882578F60061D760,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,10,N,,N,,N,,N,,N,,-122.8309787,49.2075008
Classic Care Homes Ltd.,The Classic Homestead - East,Residential Care,20445 73A Ave,Langley,V2Y1V1,(604)723-0497,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2A8CDE887D92952D88256CA8007F31DD,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,N,,Y,6,-122.6558169,49.1365595
Classic Care Homes Ltd,The Classic Homestead - West,Residential Care,20433 73A Ave,Langley,V2Y 1V1,(604)723-0497,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2DA6B5B3F8712E6D88256D2700703DD9,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,N,,Y,6,-122.6563377,49.1365577
L'Arche Greater Vancouver,The Crossing House,Residential Care,4845 Sardis St,Burnaby,V5H 1L4,(604)438-5594,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C94B248D6B9E7DD688256D27006FC966,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.9953723,49.233695
Elizabeth Fry Society Of Greater Vancouver,The Ellendale Treatment Program - Liz's Place,Residential Care,11187 Ellendale Dr,Surrey,V3R 0A3,(604)583-2502,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8F98AC2529C8B55F882574430055218A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,24,N,,N,,N,,-122.8118462,49.2061255
Sherwood Crescent Manor Ltd.,The Oxford - Senior Living and Care ,Residential Care,32073 Sherwood Cr,Abbotsford,V2T 1C1,(604)853-7854,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B1D833C9A151808888256B9500709AB4,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,84,N,,N,,-122.3349739,49.0418105
Phoenix Drug and Alcohol Recovery and Education Society,The Phoenix Centre,Residential Care,13686 94A Ave,Surrey,V3V 1N1,(604)583-7166,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2AD91B8C84EB42A78825705B0076F9E3,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,28,N,,N,,N,,-122.843306,49.1745351
Clayton Heights Care Holdings Ltd,The Residence At Clayton Heights,Residential Care,18788 71st Ave,Surrey,V4N 6L9,(604)576-2273,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=49A2D790FB81CFB188257A0F007FB74E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,116,N,,Y,15,-122.7026815,49.1317702
Fraser Health,The Residence in Mission,Residential Care,7324 Hurd St,Mission,V2V 3H5,(604)814-6707,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CFD06DF358F070DC88257C9B0059B2BC,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,200,N,,N,,-122.3299205,49.1351717
The Governing Council Of The Salvation Army Canada & Bermuda,The Salvation Army Buchanan Lodge,Residential Care,409 Blair Ave,New Westminster,V3L 4A4,(604)522-7033,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=271626B1DF35A65D88256D27007023D1,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,112,N,,N,,-122.8979893,49.2288743
Evergreen Baptist Care Society,The Terraces at Evergreen ,Residential Care,1550 Oxford St,White Rock,V4B 3R5,(604)536-3344,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E32D2E7AF6B99A3F88256D2700703C29,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,252,N,,N,,-122.8107662,49.0295667
Bria Communities Limited Partnership,The Waterford,Residential Care,1345 56th St,Delta,V4L 2P9,(604)943-5954,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5B6257D09884E6C488256D2700703E9A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,38,N,,N,,-123.0701603,49.027184
Mission Association For Community Living,Third Avenue Residence,Residential Care,33593 3rd Ave,Mission,V2V 1P8,(604)826-9080,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8E25B2422E47844688256B9500709400,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.294644,49.1366484
Ridge Meadows Association For Community Living,Thornton ,Residential Care,11960 249A St,Maple Ridge,V4R 2E3,(604)463-5188,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=62FFAD25FCDF4472882576C8007ECF29,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.5310159,49.2195002
Communitas Supportive Care Society,Topaz Place,Residential Care,45438 Knight Rd,Chilliwack,V2R 5E6,(604)824-6164,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=66ECE1EDFCCFF157882571FF0076BF62,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,12,N,,N,,N,,N,,N,,-121.9679091,49.1394637
Community Living Society,Twelfth Avenue,Residential Care,7755 12th Ave,Burnaby,V3N 2K6,(604)353-2843,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5C3B27707F7BA5CD88256D27006FC910,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,3,N,,-122.9329777,49.2190106
Communitas Supportive Care Society,Twenty Sixth Avenue Home,Residential Care,27134 26th Ave,Aldergrove,V4W 3N6,(604)856-6097,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=996ADB6B465ECB0288256D3D000FCFC0,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.4728834,49.0492254
Tabor Home Society,Valhaven Rest Home,Residential Care,4212 Balmoral St,Abbotsford,V4X 1Y5,(604)856-2812,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=AAC5A44A1242838988257F17007D1CA2,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,26,N,,N,,-122.3857153,49.0789671
Valleyhaven Retirement Community Ltd,Valleyhaven,Residential Care,45450 Menholm Rd,Chilliwack,V2P 1M2,(604)792-0037,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2C8C0324E91437CA882575CF006633EE,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,101,N,,N,,-121.9664606,49.1659618
Chilliwack Society For Community Living,Vanmar Place,Residential Care,6699 Vanmar St,Chilliwack,V2R 2M1,(604)792-7726,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=33D806C1923A6A1488257BFD0074ABFD,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-121.9439663,49.1240738
Angela Hung Tsun Wei Hsiao,Victoria Rest Home Ltd.,Residential Care,731 Queens Ave,New Westminster,V3M 1L7,(604)525-2048,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E9B9CB8CEFE3C1DE88256D27007023D3,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,16,N,,N,,N,,N,,N,,-122.9164561,49.2055029
"Diversicare Canada Management Services Co., Inc.",Village Langley (The),Residential Care,3920 198th St,Langley,V3A 1C8,(604)427-3755,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F48F1DEAC783056C882581540063DB8E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,26,N,,N,,-122.6729662,49.0732499
posAbilities Association of British Columbia,Vista House,Residential Care,6108 Neville St,Burnaby,V5J 2J6,(604)439-9290,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=482FFC07978B89C988256D27006FC99F,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.9745099,49.2135718
Communitas Supportive Care Society,Walker,Residential Care,34691 Walker Cres,Abbotsford,V2S 1J4,(604)852-5195,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7EEC5AA9A5B996A488256B9500708BD9,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.2638329,49.0374461
Waverly Seniors Village 3 LLP,Waverly Seniors Village,Residential Care,8445 Young Rd,Chilliwack,V2P 4P2,(604)792-6340,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=899F1F947FD2BF9B8825807D007CA511,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,53,N,,N,,-121.9530152,49.1557196
Kinsight Community Society,Wellington Street Group Home,Residential Care,3719 Wellington St,Port Coquitlam,V3B 3Y9,(604)464-3912,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=94BCEB2D502E851688256D2700704BB5,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.7620924,49.2788453
West Shore Laylum Management Ltd.,West Shore Laylum,Residential Care,2567 King George Blvd,Surrey,V4P 0E9,(604)946-2822,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8FE790A4A80C4D30882583D00078251C,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,55,N,,N,,-122.7977862,49.0485655
GRM Care Corp,Westminster House,Residential Care,1653 140th St,Surrey,V4A 4H1,(604)538-5291,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=824A59C18BE1B29B882585E30063C56F,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,140,N,,N,,-122.8363832,49.0324337
Westminster House Society,Westminster House,Residential Care,228 7th St,New Westminster,V3M 3K3,(604)524-5633,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=96B68CC50DC9685188256D27007023F0,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,10,N,,N,,N,,-122.9160062,49.2073189
White Rock Seniors Village 3 LLP,White Rock Seniors Village,Residential Care,15628 Buena Vista Ave,White Rock,V4B 1Z4,(604)541-4663,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=387032624A1CDA9A8825807D00804631,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,71,N,,N,,-122.7894036,49.0237713
HCN-Revera Lessee (Whitecliff) GP Inc,Whitecliff Retirement Residence,Residential Care,15501 16th Ave,Surrey,V4A 9M5,(604)538-7227,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9E45BA7811B3F0FE88257C5C005E7163,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,35,N,,N,,-122.7930809,49.0312747
Chartwell Seniors Housing Reit,Willow Manor Care Centre,Residential Care,12275 224th St,Maple Ridge,V2X 6H5,(604)466-8602,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7F6AAF1A82FEC7B088257122005DDF5D,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,35,N,,N,,-122.6019985,49.2253028
Chilliwack Society For Community Living,Wilmada Place,Residential Care,46660 Cedar St,Chilliwack,V2P 2H6,(604)792-8680,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4CA42600E75B6B7C88256B95007089EC,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-121.9325709,49.1713039
Western Human Resource Corp,Wingate House,Residential Care,1234 Winslow Ave,Coquitlam,V3J 2G2,(604)931-3802,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C54FD9169EFF42EE88256D2700704C16,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.8582941,49.2536711
Milieu Family Services Inc.,Yale House,Residential Care,13107 Old Yale Rd,Surrey,V3T 3C3,(604)588-8992,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=11B958DB3C85731C88256D2700703C7D,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.8586626,49.1883729
Lutheran Senior Citizens Housing Society,Zion Park Manor,Residential Care,5939 180th St,Surrey,V3S 4L2,(604)576-2891,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5A5D676FC5CB8F7588256D2700703C30,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,112,N,,N,,-122.7239974,49.1100459
Dawson Creek Society for Community Living,115th Residence,Residential Care,1629 115 Ave,Dawson Creek,V1G 3C7,(250)782-3277,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=66F21043B85CB51388256A6300016854,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,8,N,,-120.2501096,55.7455893
Dawson Creek Society for Community Living,1416 Residence,Residential Care,1416 102 Ave,Dawson Creek,V1G2C9,(250)782-2611,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0D9AC9EC359B21A68825809F007977DB,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,5,N,,-120.242284,55.7598837
Fort St. John Association For Community Living,92A Street House,Residential Care,8704 92A St,Fort St. John,V1J 3J6,(250)787-0684,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2A0E07394B47B0C688256D50007C9693,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,12,N,,-120.8340087,56.2337165
Northern Health Authority - Prince Rupert,Acropolis Manor,Residential Care,1325 Summit Ave,Prince Rupert,V8J 4C1,(250)622-6461,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A93A76B9844EB6B188257F550081B972,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,61,N,,N,,-130.3300842,54.3043492
High Road Services Society,Alfred Adult Residential,Residential Care,3668 Alfred Ave,Smithers,V0J 2N0,(250)847-2956,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5B716D265C984F7888258669007B73B3,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,4,N,,-127.1714404,54.7766473
Birchview Holdings Ltd.,Birchview Residences,Residential Care,7780 Hart Hwy,Prince George,V2K 3B3,(778)415-9790,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9F31705662FA4C1788257FA700717496,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,20,N,,N,,-122.8005719,54.0012107
Northern Health Authority - Terrace and Kitimat,Birchwood Place,Residential Care,3183 Kofoed Dr,Thornhill,V8G 3P8,(250)635-2171,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B68DDD3739E1010888256B9900598426,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,Y,8,N,,N,,Y,8,N,,N,,-128.5451759,54.5163628
Northern Health Authority - Smithers,Bulkley Lodge,Residential Care,3668 11th Ave,Smithers,V0J 2N0,(250)847-4443,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2333127111B67FB688256DCE006AE3DC,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,70,N,,Y,70,N,,N,,-127.1577223,54.7792679
AIMHI Prince George Association For Community Living,Burden Residential Home,Residential Care,1680 Burden St,Prince George,V2M 2J8,(250)564-0509,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=BF1901F3136DD9BE8825715D006696A5,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,6,N,,-122.7675849,53.9085567
AIMHI Prince George Association For Community Living,Campbell,Residential Care,4057 Campbell Ave,Prince George,V2M 5A3,(250)612-0433,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=846A062D60B9331D88257045006386AF,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,6,N,,-122.7972598,53.9002453
Dawson Creek Society for Community Living,Canalta Residence,Residential Care,1908 110 Ave,Dawson Creek,V1G 2W7,(250)782-2221,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CA085DC54ED21F848825741A00598A63,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,10,N,,-120.2572876,55.7506542
South Peace Community Resources Society,City View,Residential Care,1020 95 Ave,Dawson Creek,V1G 1J1,(250)782-0744,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B2807DBB07C7167A072583310067FD8F,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,4,N,,-120.2316298,55.7679178
Thompson Community Services Inc.,Corless Crescent,Residential Care,238 Corless Cres,Prince George,V2M 5X9,(250)319-3503,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=EC7D5BF4276D4E0988257E1400641E86,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,4,N,,-122.8061227,53.9299629
Northern Health Authority,Davis Drive,Residential Care,4237 Davis Rd,Prince George,V2N 6M6,(250)964-9744,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=3EAB8E51D82E090188256D3200772FE5,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,Y,5,N,,N,,N,,Y,5,N,,-122.7828575,53.8754284
Terrace & District Community Services Society,Davis Residence,Residential Care,4650 Davis Ave,Terrace,V8G 1X7,(250)635-9447,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=15B6D61E60BC74BC8825862C0078B50D,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,5,N,,-128.5919849,54.5198173
Northern Health Authority,Dunrovin Park Lodge,Residential Care,900 St Laurent Ave,Quesnel,V2J 3S3,(250)985-5800,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2823F4197694C1FD882585B2007896DC,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,121,N,,N,,N,,N,,-122.4873449,52.9794961
Burns Lake Christian Supportive Society,Eighth Avenue Group Home,Residential Care,210 8th Ave,Burns Lake,V0J 1E0,(250)692-7810,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=993CAE3CE7DDB77188256A9A0079B527,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,12,N,,-125.7581811,54.2341002
AIMHI Prince George Association For Community Living,Flamingo Road,Residential Care,8244 Flamingo Rd,Prince George,V2N 2J1,(250)962-5853,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7F15887E1CDADB8388256A9A0079BCAB,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,9,N,,-122.8207467,54.0057977
Fort St. John Association For Community Living,FSJ ACL Four-Plex,Residential Care,10519 102 Ave,Fort St. John,V1J 2E7,(250)787-7437,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=D927E133A9AB98DB0725706C006C7316,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,8,Y,8,N,,-120.8571513,56.2481382
Northern Health Authority,Gateway Lodge Complex Care,Residential Care,1488 20th Ave,Prince George,V2L 0A5,(250)645-6100,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=145B11B5DE36827288257E040063E08C,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,120,N,,N,,-122.7534096,53.905646
AIMHI Prince George Association For Community Living,Gorse Street Residence,Residential Care,1945 Gorse St,Prince George,V2L 1G7,(250)564-7511,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=816367BCC081C0D388256E690071AAB4,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,9,N,,-122.7382844,53.9059101
"Gorbahn, Dana",GPAR # 1,Residential Care,1377 Driftwood Cres,Smithers,V0J 2N0,(250)847-4204,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=98E6AC141A65294088256DC60079A0C8,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,8,N,,-127.1670837,54.7904779
Northern Health Authority,Haida Gwaii Hospital and Health Centre,Residential Care,3209 Oceanview Dr,Queen Charlotte,VOT 1SO,(250)622-6298,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C109180F70DD1C688825814F005C4968,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,8,N,,N,,-132.0705826,53.2548117
Western Human Resource Corporation,Hazelton Residence,Residential Care,2554 Hazelton St,Prince George,V2L 1H2,(250)960-1499,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0EFAFD362A0AA1F988256A9A0079B62F,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,Y,6,N,,N,,N,,Y,6,N,,-122.7379268,53.8974329
Northern Health Authority - Houston Health Centre,Houston Health Centre,Residential Care,3202 14th St,Houston,V0J 1Z0,(250)845-5950,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=CD33C520EC98A1DA882577CB0074D069,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,Y,7,N,,N,,-126.6524369,54.3961409
Thompson Community Services Inc.,Kalum Home,Residential Care,3315 Kalum St,Terrace,V8G 4B1,(250)635-4701,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4836410EC607026D8825751A0069792F,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,6,N,,-128.5871766,54.5202329
Thompson Community Services Inc.,Leonard Place,Residential Care,4761 Leonard Pl,Prince George,V2M 6Z5,(250)319-3503,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=23DACD062E744E6088257E1A005F32E6,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,4,N,,-122.8102968,53.9386839
AIMHI Prince George Association For Community Living,Lisgar Residence,Residential Care,2471 Lisgar Cres,Prince George,V2N 1C4,(250)596-0419,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5DB242F2FD4DBEEE882576D30081C598,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,N,,N,,N,,Y,5,N,,-122.7835666,53.8980237
Northern Health Authority - Terrace and Kitimat,Mountain View Lodge Complex & Long Term Care Unit,Residential Care,920 Lahakas Blvd,Kitimat,V8C 2S3,(250)632-2121,https://www.healthspace.ca/Clients/NHA/NHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=3CDB7EFFBA0EF99588256BA5006F65E1,Community Care and Assisted Living Act,Residential Care Regulation,Northern Health,N,,Y,36,N,,Y,36,N,,N,,-128.6474501,54.0504911
