"PermitID","PermitClass","TypeConst","UseCategory","IntendUse","ApplDate","IssDate","PermitNo","Address","legaldesc","GrossAreaSqFt","EstValue","DwellingUnitsCreated","DwellingUnitsDemolished","parcelno","Longitude","Latitude"
"5756","Building","New","Residential","Single Detached Dwelling","2012-10-12","2012-11-09","B12-321","295 CREEKSIDE DR","PLAN 59M374 LOT 32","1679","270000","1","0","28525","-79.2804","42.9842"
"5800","Occupancy","","Residential","Single Detached Dwelling","2012-05-07","2012-11-09","O12-024","150 CREEKSIDE DR","PLAN 59M374 LOT 18","0","0","0","0","28531","-79.2780","42.9846"
"5803","Occupancy","","Residential","Single Detached Dwelling","2012-05-25","2012-11-13","O12-025","12 AUBURN CRT","PLAN 59M360 LOT 58","0","0","0","0","27182","-79.2303","42.9768"
"5797","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-11-06","2012-11-13","P12-086","386 FLEET ST","PLAN 54 LOT 202 NKA PLAN 973","0","1900","0","0","7786","-79.2371","42.9807"
"5798","Building","New","Residential","Single Detached Dwelling","2012-11-07","2012-11-14","B12-341","65 FOREST RIDGE CRT","PLAN 59M385 LOT 24","1695","211400","1","0","29342","-79.2874","42.9998"
"5683","Occupancy","","Residential","Single Detached Dwelling","2012-02-01","2012-11-14","O12-011","82 CREEKSIDE DR","PLAN 59M380 LOT 6","0","0","0","0","29268","-79.2767","42.9846"
"5787","Sign","New","Residential","Development Sign","2012-11-01","2012-11-14","S12-018","120 ROSELAWN CRES","PLAN 59M392 BLK 90","96","3000","0","0","29617","-79.2820","42.9873"
"5808","Occupancy","","Residential","Single Detached Dwelling","2012-06-20","2012-11-15","O12-026","257 COLBECK DR","PLAN 59M380 LOT 24","0","0","0","0","29291","-79.2760","42.9836"
"5813","Occupancy","","Residential","Semi-Detached Dwelling","2011-08-16","2012-11-19","O12-027","633 BROADWAY","PLAN 941 PT LOTS 3030 TO 3032 RP 59R14138 PART 2 PT PART 1","0","0","0","0","19844","-79.2701","42.9748"
"5814","Occupancy","","Residential","Semi-Detached Dwelling","2011-08-16","2012-11-19","O12-028","629 BROADWAY","PLAN 941 PT LOTS 3030 TO 3032 RP 59R14138 PART 2 PT PART 1","0","0","0","0","29726","-79.2699","42.9748"
"5793","Building","Addition","Residential","Single Detached Dwelling","2012-11-01","2012-11-20","B12-339","42 SUMMERLEA AVE","PLAN 30 PT LOT 13 NP664","1379","150000","0","0","18829","-79.2774","43.0265"
"5817","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-11-19","2012-11-20","P12-088","60 MAPLEPARK DR","PLAN 39 LOT 129 NP673","0","1600","0","0","13422","-79.2795","43.0030"
"5812","Building","Alteration","Residential","Semi-Detached Dwelling","2012-11-15","2012-11-21","B12-349","20 GROVE ST","PLAN 1649 PT LOTS 3 5 NP564","0","1000","0","0","10938","-79.2459","42.9909"
"5815","Building","Alteration","Residential","Single Detached Dwelling","2012-11-16","2012-11-21","B12-350","5 LAUGHLIN PL","PLAN 71 LOT 31 NP619","146","14000","0","0","6054","-79.2615","42.9998"
"5810","Building","New","Residential","Single Detached Dwelling","2012-11-15","2012-11-22","B12-347","57 TRAILWOOD DR","PLAN 59M374 LOT 8","1712","275000","1","0","28577","-79.2793","42.9843"
"5816","Building","Addition","Residential","Single Detached Dwelling","2012-11-16","2012-11-23","B12-351","54 CLIFFORD AVE","PLAN 20 LOT 254 LOT 255 PT LOT 253 NP942","108","2500","0","0","581","-79.2642","42.9729"
"5819","Building","Alteration","Residential","Single Detached Dwelling","2012-11-20","2012-11-23","B12-353","14 BRIDLEWOOD DR","PLAN M44 LOT 55","330","2000","0","0","1652","-79.2771","43.0044"
"5820","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-11-23","2012-11-23","P12-089","28 WOODGATE DR","PLAN 93 LOT 160 NP641","0","800","0","0","18266","-79.2572","43.0166"
"5821","Occupancy","","Residential","Single Detached Dwelling","2012-06-18","2012-11-26","O12-029","53 CARDINAL CRES","PLAN 59M359 LOT 22","0","0","0","0","25803","-79.2795","42.9860"
"5822","Occupancy","","Residential","Single Detached Dwelling","2011-12-22","2012-11-26","O12-030","30 CLARE AVE","PLAN 59M359 LOT 13","0","0","0","0","25795","-79.2799","42.9858"
"5802","Sign","Alteration","Commercial","Gas Station","2012-11-09","2012-11-26","S12-019","132 THOROLD RD","PLAN 668 LOT 62 PT TWP LOT 241 RP 59R3523 PART 1","302","70000","0","0","16054","-79.2551","43.0040"
"5805","Building","Alteration","Residential","Single Detached Dwelling","2012-11-13","2012-11-27","B12-343","370 DIEPPE ST","PLAN 54 LOT 145 NP973","0","8000","0","0","7844","-79.2377","42.9821"
"5678","Demolition","","Industrial","Factory","2012-08-27","2012-11-27","D12-012","100 KENNEDY ST","PLAN 564 PT BLKS KK & NS PT LTS 93 99 LOTS 94 TO 98 PLAN 596 PT LTS 62 63 LOTS 64 TO 78 RP 59R11455 PTS 5 6 9 TO 20","288202","400000","0","0","28194","-79.2377","42.9989"
"5785","Demolition","","Commercial","Restaurant","2012-11-01","2012-11-28","D12-017","154 RIVERSIDE DR","CON 5 PT LOT 29","11645","160000","0","0","10081","-79.2681","42.9852"
"5825","Building","New","Accessory","Shed","2012-11-27","2012-11-29","B12-354","225 THOROLD RD","PT TWP LOT 251","131","2500","0","0","21163","-79.2661","43.0035"
"5828","Occupancy","","Residential","Street Townhouse","2011-12-09","2012-11-29","O12-031","179 FALCON DR","PLAN 59M380 PT BLK 44 RP 59R14767 PARTS 7 AND 8","0","0","0","0","29294","-79.2750","42.9851"
"5826","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-11-27","2012-11-29","P12-090","93 MAPLE AVE","PLAN BALD LOT 74 PT LANE NKA PLAN 552 585","0","1900","0","0","11622","-79.2556","42.9895"
"5829","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-11-29","2012-11-29","P12-092","70 MCMASTER AVE","PLAN 46 PT LOT 86 NP594","0","2500","0","0","2293","-79.2407","42.9967"
"5818","Building","Addition","Commercial","Car Dealership","2012-11-19","2012-12-03","B12-352","607 NIAGARA ST","PLAN 31 LOT 29 PT LOT 30 PT LOT 28 NP 665","110","68000","0","0","15795","-79.2518","43.0078"
"5824","Sewage System","New","Residential","Single Detached Dwelling","2012-11-27","2012-12-03","H12-005","367 BIGGAR RD","CON 1 PT LOT 16 RP 59R8222 PT 2","2906","23900","0","0","79","-79.2022","43.0281"
"5830","Occupancy","","Residential","Single Detached Dwelling","2012-07-04","2012-12-03","O12-032","305 CREEKSIDE DR","PLAN 59M374 LOT33","0","0","0","0","28585","-79.2805","42.9843"
"5831","Occupancy","","Residential","Single Detached Dwelling","2012-06-14","2012-12-03","O12-033","472 GAISER RD","PLAN 59M383 LOT 12","0","0","0","0","29312","-79.2835","42.9854"
"5832","Occupancy","","Residential","Single Detached Dwelling","2012-07-04","2012-12-03","O12-034","409 CLASSIC AVE","PLAN 59M360 LOT 72","0","0","0","0","27172","-79.2322","42.9769"
"5834","Occupancy","","Residential","Single Detached Dwelling","2012-04-13","2012-12-03","O12-035","221 OLD COURSE TRL","PLAN 59M389 LOT 3","0","0","0","0","29467","-79.2198","43.0240"
"5696","Building","Addition","Residential","Single Detached Dwelling","2012-09-05","2012-12-04","B12-283","527 LEONARD AVE","PLAN 39 LOT 100 NP673","350","18800","0","0","13393","-79.2794","43.0002"
"5836","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-12-03","2012-12-04","P12-093","210 WILLSON RD","PT TWP LOT 251","0","2900","0","0","14515","-79.2697","42.9990"
"5835","Building","Alteration","Residential","Single Detached Dwelling","2012-12-03","2012-12-06","B12-355","14 SAUER AVE","PLAN 24 LOT 175 LOT 176 NP946","0","14000","0","0","6656","-79.2348","42.9708"
"5838","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-12-05","2012-12-07","P12-094","134 OAKLAND AVE","PLAN 49 LOT 128 NP597","0","2200","0","0","11768","-79.2612","42.9852"
"5841","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-12-05","2012-12-07","P12-095","10 DEERE ST","PLAN 13 LOT 305 NP936","0","1000","0","0","20446","-79.2404","42.9741"
"5842","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-12-06","2012-12-07","P12-096","88 AQUEDUCT ST","PLAN 23 PT LOT 68 NP571","0","2000","0","0","11188","-79.2495","42.9980"
"5845","Plumbing","Alteration","Residential","Triplex","2012-12-06","2012-12-07","P12-097","77 MCMASTER AVE","PLAN 46 LOT 107 NP594","0","1500","0","0","2279","-79.2404","42.9962"
"5804","Building","Addition","Industrial","Manufacturing Plant","2012-11-13","2012-12-10","B12-342","30 DARTE DR","PLAN 27 LTS 148 149 PT LTS 87-90 PT LTS 146 147 PT LTS 150-154 PT LT 158 PT CLARK ST PL 575 RP 59R1680 PART 12","2089","150000","0","0","509","-79.2626","42.9636"
"5849","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-12-10","2012-12-10","P12-099","20 ROSEMOUNT DR","PLAN 68 LOT 37 NP616","0","3000","0","0","14148","-79.2639","42.9987"
"5833","Demolition","","Residential","Single Detached Dwelling","2012-11-30","2012-12-11","D12-018","355 RICE RD","PT TWP LOT 235","3574","23000","0","1","17769","-79.2706","43.0193"
"5846","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-12-07","2012-12-11","P12-098","265 CHAFFEY ST","PLAN 15 LOT 168 NP937","0","1800","0","0","7104","-79.2438","42.9703"
"5843","Building","New","Residential","Single Detached Dwelling","2012-12-06","2012-12-12","B12-358","19 LOCHNESS CRT","PLAN 59M373 LOT 5","1539","300000","1","0","28484","-79.2159","43.0210"
"5844","Building","New","Residential","Single Detached Dwelling","2012-12-06","2012-12-12","B12-359","11 LOCHNESS CRT","PLAN 59M373 LOT 4","1679","300000","1","0","28483","-79.2162","43.0210"
"5847","Occupancy","","Residential","Single Detached Dwelling","2012-06-28","2012-12-12","O12-036","5 CARDINAL CRES","PLAN 59M359 LOT 17","0","0","0","0","25782","-79.2795","42.9854"
"5839","Building","New","Residential","Single Detached Dwelling","2012-12-05","2012-12-13","B12-356","68 CLARE AVE","PLAN 59M359 LOT 8","1847","240000","1","0","25790","-79.2799","42.9865"
"5853","Occupancy","","Residential","Single Detached Dwelling","2012-07-04","2012-12-13","O12-037","95 TURNBERRY TRL","PLAN 59M389 LOT 53","0","0","0","0","29475","-79.2152","43.0235"
"5796","Building","Alteration","Commercial","Office","2012-11-05","2012-12-14","B12-340","167 RIVERSIDE DR","CON 5 PT LOT 29","2939","150000","0","0","10044","-79.2672","42.9841"
"5848","Building","New","Residential","Single Detached Dwelling","2012-12-07","2012-12-14","B12-360","139 GAISER RD","PLAN 59M369 LOT 8","1392","170000","1","0","29308","-79.2841","42.9854"
"5854","Building","Alteration","Commercial","Gas Station","2012-12-14","2012-12-14","B12-364","132 THOROLD RD","PLAN 668 LOT 62 PT TWP LOT 241 RP 59R3523 PART 1","2900","16000","0","0","16054","-79.2551","43.0040"
"5777","Building","Addition","Residential","Single Detached Dwelling","2012-10-22","2012-12-17","B12-334","35 EDGAR ST","PLAN 50 LOT 585 LOT 586 NP598","144","15000","0","0","14856","-79.2557","42.9981"
"5840","Building","Alteration","Industrial","Manufacturing Plant","2012-12-05","2012-12-18","B12-357","333 PRINCE CHARLES DR S","CON 6 PT LOT 27 RP 59R6354 PART 1","0","64800","0","0","1318","-79.2596","42.9794"
"5864","Building","Alteration","Commercial","Arena","2012-12-20","2012-12-20","B12-371","501 KING ST","PLAN 565 PT LOT 130 PLAN 574 PT BLK E","0","110000","0","0","7215","-79.2524","42.9807"
"5856","Plumbing","Alteration","Residential","Single Detached Dwelling","2012-12-18","2012-12-20","P12-100","80 BISHOP RD","PLAN 65 LOT 37 NP613","0","1800","0","0","3621","-79.2438","42.9768"
"5863","Plumbing","Alteration","Residential","Semi-Detached Dwelling","2012-12-20","2012-12-20","P12-101","30 NOTTINGHAM CRT","PLAN S17 PT LOT 111","0","4000","0","0","16537","-79.2619","43.0083"
"5867","Occupancy","","Residential","Single Detached Dwelling","2012-08-01","2013-01-02","O12-039","83 SILVERWOOD AVE","PLAN 59M392 LOT 18","0","0","0","0","29610","-79.2816","42.9864"
"5871","Sign","New","Commercial","Retail Plaza","2012-12-18","2013-01-02","S13-001","800 NIAGARA ST","PT TWP LOTS 229 AND 230 RP 59R1742 PARTS 3 AND 4 RP 59R2895 PARTS 1 AND 2","319","8800","0","0","19616","-79.2466","43.0158"
"5875","Building","Alteration","Residential","Single Detached Dwelling","2012-12-19","2013-01-04","B13-008","68 CLARE AVE","PLAN 59M359 LOT 8","1215","105300","0","0","25790","-79.2799","42.9865"
"5873","Occupancy","","Residential","Single Detached Dwelling","2012-07-11","2013-01-04","O13-001","60 GAISER RD","PLAN 59M380 LOT 37","0","0","0","0","29255","-79.2759","42.9852"
"5877","Sign","New","Commercial","Pharmacy/Medical Office","2013-01-02","2013-01-04","S13-002","816 EAST MAIN ST","PLAN 55 LOT 41 NP974","167","12000","0","0","8886","-79.2311","42.9940"
"5878","Building","New","Residential","Single Detached Dwelling","2012-12-19","2013-01-07","B13-009","74 GAISER RD","PLAN 59M380 LOT 39","1380","245000","1","0","29251","-79.2762","42.9853"
"5879","Building","New","Residential","Single Detached Dwelling","2012-12-19","2013-01-07","B13-010","63 CARDINAL CRES","PLAN 59M359 LOT 23","2851","370700","1","0","25804","-79.2795","42.9862"
"5880","Building","New","Residential","Single Detached Dwelling","2012-12-19","2013-01-07","B13-011","35 CARDINAL CRES","PLAN 59M359 LOT 20","2851","370700","1","0","25801","-79.2795","42.9858"
"5881","Building","New","Residential","Single Detached Dwelling","2012-12-19","2013-01-07","B13-012","250 CARDINAL CRES","PLAN 59M359 LOT 49","2087","271300","1","0","25832","-79.2784","42.9859"
"5866","Building","Alteration","Residential","Triplex","2012-12-21","2013-01-08","B13-001","22 STATE ST","PLAN 1649 PT LOT 73 NP559","196","1000","0","0","11527","-79.2521","42.9870"
"5872","Building","Alteration","Commercial","Restaurant","2012-11-15","2013-01-08","B13-005","845 ONTARIO RD","CON 6 PT LOT 23 RP 59R10900 PARTS 1 TO 6","3030","264000","0","0","22357","-79.2396","42.9758"
"5876","Building","New","Industrial","Storage","2012-12-20","2013-01-08","B13-007","700 HUMBERSTONE RD","HUMBERSTONE CON 5 PT LOTS 26 AND 27 PT RD ALLOW RP 59R10162 PARTS 10 TO 13","0","40000","0","0","846","-79.2767","42.9618"
"5870","Building","New","Residential","Single Detached Dwelling","2012-12-17","2013-01-10","B13-004","134 FOREST RIDGE CRT","PLAN 59M385 LOT 11","2293","300000","1","0","29363","-79.2867","42.9988"
"5883","Building","New","Residential","Single Detached Dwelling","2013-01-04","2013-01-10","B13-013","134 TIMBERVIEW CRES","PLAN 59M374 LOT 75","1597","216000","1","0","28507","-79.2833","42.9846"
"5886","Plumbing","New","Commercial","Car Dealership","2013-01-09","2013-01-10","P13-002","916 NIAGARA ST","THOROLD PT TWP PT LOT 230 RP 9R14090 PARTS 1 AND 2","0","800000","0","0","2058","-79.2487","43.0201"
"5888","Building","Alteration","Commercial","Retail Plaza","2012-07-19","2013-01-14","B13-014","800 NIAGARA ST","PT TWP LOTS 229 AND 230 RP 59R1742 PARTS 3 AND 4 RP 59R2895 PARTS 1 AND 2","127572","7500000","0","0","19616","-79.2466","43.0158"
"5892","Occupancy","","Residential","Single Detached Dwelling","2012-07-30","2013-01-16","O13-004","135 FOREST RIDGE CRT","PLAN 59M385 LOT 19","0","0","0","0","29347","-79.2874","42.9988"
"5893","Occupancy","","Residential","Single Detached Dwelling","2012-08-03","2013-01-17","O13-005","53 TIMBERVIEW CRES","PLAN 59M374 LOT 43","0","0","0","0","28548","-79.2818","42.9844"
"5894","Occupancy","","Residential","Single Detached Dwelling","2012-07-30","2013-01-18","O13-006","68 GAISER RD","PLAN 59M380 LOT 38","0","0","0","0","29254","-79.2761","42.9852"
"5896","Building","Alteration","Institutional","Hospital","2013-01-17","2013-01-22","B13-017","65 THIRD ST","PT BLK DF PT BLK F CON 6 PT LT 25 NP574","269","19000","0","0","20289","-79.2492","42.9788"
"5898","Demolition","Partial","Residential","Apartment","2013-01-18","2013-01-22","D13-001","12 RIVERSIDE DR","PLAN 1649 L HAR PT NP564 RP 59R4380 PTS 1 2 4 & 5","1600","20000","0","0","20284","-79.2606","42.9899"
"5899","Occupancy","","Residential","Single Detached Dwelling","2012-07-17","2013-01-22","O13-007","149 CREEKSIDE DR","PLAN 59M374 LOT 21","0","0","0","0","28529","-79.2780","42.9841"
"5885","Plumbing","Alteration","Residential","Single Detached Dwelling","2013-01-09","2013-01-22","P13-001","18 CHURCHILL AVE","PLAN 65 LOT 13 NP613","0","3750","0","0","3708","-79.2433","42.9793"
"5901","Occupancy","","Residential","Single Detached Dwelling","2012-04-11","2013-01-23","O13-008","117 CLARE AVE","PLAN 59M371 LOT 3","0","0","0","0","28405","-79.2806","42.9873"
"5903","Occupancy","","Residential","Single Detached Dwelling","2012-07-31","2013-01-24","O13-009","165 TIMBERVIEW CRES","","0","0","0","0","28418","-79.2806","42.9861"
"5905","Building","Alteration","Residential","Single Detached Dwelling","2013-01-25","2013-01-28","B13-020","188 NORTHWOOD DR","PLAN 59M126 LOT 37","0","6200","0","0","10305","-79.2737","43.0161"
"5906","Occupancy","","Residential","Single Detached Dwelling","2012-04-13","2013-01-28","O13-010","203 OLD COURSE TRL","PLAN 59M389 LOT 1","0","0","0","0","29469","-79.2198","43.0237"
"5907","Occupancy","","Residential","Single Detached Dwelling","2012-07-04","2013-01-28","O13-011","15 TURNBERRY TRL","PLAN 59M389 LOT 45","0","0","0","0","29473","-79.2165","43.0238"
"5909","Occupancy","","Residential","Single Detached Dwelling","2012-05-31","2013-01-29","O13-012","116 WALLACE AVE","PLAN 960 PART OF LOTS 580 AND 581 RP 59R13627 PART 9","0","0","0","0","28215","-79.2339","42.9910"
"5890","Building","New","Residential","Single Detached Dwelling","2013-01-11","2013-01-30","B13-015","19 CREEKSIDE DR","PLAN 59M380 LOT 22","1560","255000","1","0","29270","-79.2759","42.9845"
"5900","Building","Alteration","Institutional","Homeless Shelter","2013-01-22","2013-01-31","B13-019","116 DIVISION ST","PLAN 551 LOT B","360","10000","0","0","10719","-79.2475","42.9915"
"5902","Plumbing","Alteration","Residential","Townhouse","2013-01-22","2013-01-31","P13-004","125 WOODLAWN RD","CONDO PL 27 UNIT 5 LEVEL 1","0","500","0","0","15977","-79.2569","43.0124"
"5911","Building","Alteration","Commercial","Office","2012-11-14","2013-02-04","B13-023","140 EAST MAIN ST","PLAN 1649 PT LOT C TO PT LOT E NP551 RP 59R1717 PART 1 PART 2","1000","30000","0","0","11204","-79.2472","42.9927"
"5908","Building","Alteration","Residential","Apartment","2013-01-25","2013-02-05","B13-021","266 DIVISION ST","PLAN 1649 PT LOT 2 NP553","0","15000","0","0","5106","-79.2428","42.9924"
"5912","Sewage System","New","Residential","Single Detached Dwelling","2013-01-30","2013-02-05","H13-001","425 LYONS CREEK RD","CON 5 CROWLAND PT LOT 15","4288","17000","0","0","6361","-79.1990","42.9929"
"5910","Building","Alteration","Commercial","Retail/Apartments","2013-01-28","2013-02-06","B13-022","57 WEST MAIN ST","PLAN BALD PT LOT 3 NP552","340","1500","0","0","11688","-79.2532","42.9913"
"5918","Plumbing","Alteration","Residential","Apartment","2013-02-07","2013-02-08","P13-005","47 SEVENTH ST","PLAN 10 PT LOT 244 PT LOT 245 NP933","0","500","0","0","7272","-79.2532","42.9756"
"5921","Occupancy","","Residential","Single Detached Dwelling","2012-08-29","2013-02-11","O13-013","179 TIMBERVIEW CRES","PLAN 59M374 LOT 52","0","0","0","0","28553","-79.2841","42.9840"
"5922","Occupancy","","Residential","Single Detached Dwelling","2012-06-01","2013-02-11","O13-014","145 CARDINAL CRES","PLAN 59M359 LOT 33","0","0","0","0","25814","-79.2794","42.9874"
"5924","Plumbing","Alteration","Residential","Single Detached Dwelling","2013-02-12","2013-02-12","P13-006","15 GLENVIEW","PLAN 598 LOTS 579 AND 580","0","6000","0","0","14860","-79.2560","42.9983"
"5919","Building","New","Commercial","Temporary Structure","2013-02-07","2013-02-14","B13-028","821 NIAGARA ST","PT TWP LOT 231 RP 59R 9893 PARTS 1 3 4 5 7 TO 14","2664","9000","0","0","21692","0.0000","0.0000"
"5927","Occupancy","","Residential","Single Detached Dwelling","2012-07-04","2013-02-15","O13-016","129 TURNBERRY TRL","PLAN 59M389 LOT 57","0","0","0","0","29480","-79.2145","43.0237"
"5923","Building","New","Residential","Single Detached Dwelling","2013-02-12","2013-02-19","B13-029","490 GAISER RD","PLAN 59M383 LOT 10","1260","170000","1","0","29310","-79.2838","42.9854"
"5925","Building","Alteration","Residential","Retail/Apartments","2012-09-13","2013-02-19","B13-030","232 EAST MAIN ST","PLAN THOMAS BURGAR PT LOT 7 NP553","2058","10000","0","0","11033","-79.2437","42.9932"
"5904","Demolition","","Commercial","Retail","2013-01-24","2013-02-19","D13-002","592 NIAGARA ST","PLAN 31 LOT 33 BLK F NP669 RP 59R1551 PART 6 RP 59R4970 PART 2 PART 4","8664","19000","0","0","10208","-79.2508","43.0074"
"5933","Sewage System","Alteration","Residential","Single Detached Dwelling","2013-02-15","2013-02-19","H13-002","524 RICE RD","PT TWP LOT 174","0","3600","0","0","18765","-79.2687","43.0260"
"5926","Occupancy","","Residential","Single Detached Dwelling","2012-08-07","2013-02-19","O13-015","110 CREEKSIDE DR","PLAN 59M380 LOT 9","0","0","0","0","29272","-79.2772","42.9846"
"5929","Occupancy","","Residential","Single Detached Dwelling","2012-07-04","2013-02-19","O13-017","105 TURNBERRY TRL","PLAN 59M389 LOT 54","0","0","0","0","29476","-79.2150","43.0234"
"5920","Sign","New","Commercial","Office","2012-12-03","2013-02-19","S13-004","810 EAST MAIN ST","CON 4 PT LOT 22","33","12000","0","0","22082","-79.2320","42.9939"
"5934","Occupancy","","Commercial","Office","2013-02-15","2013-02-20","O13-018","225 EAST MAIN ST","PLAN 1649 PT LOT GF PT LOT EF NP553","14000","0","0","0","10694","-79.2441","42.9926"
"5936","Occupancy","","Residential","Single Detached Dwelling","2012-08-07","2013-02-20","O13-019","164 TIMBERVIEW CRES","PLAN 59M374 LOT 78","0","0","0","0","28501","-79.2839","42.9846"
"5937","Occupancy","","Residential","Single Detached Dwelling","2012-08-28","2013-02-20","O13-020","153 TIMBERVIEW CRES","PLAN 59M374 LOT 50","0","0","0","0","28538","-79.2837","42.9840"
"5884","Occupancy","","Commercial","Pharmacy/Medical Office","2012-06-07","2013-02-22","O13-002","595 ONTARIO RD","CON 6 PT LOT 24","12000","0","0","0","3874","-79.2431","42.9747"
"5897","Building","Alteration","Commercial","Grocery Store","2013-01-17","2013-02-26","B13-018","325 THOROLD RD","PT TWP LOT 252 RP 59R4288 PARTS 1 & 2 RP 59R4522 PARTS 1 - 5","34780","625900","0","0","21818","-79.2718","43.0026"
"5928","Building","Alteration","Commercial","Training Centre","2012-12-11","2013-02-26","B13-031","41 VICTORIA ST","PLAN 25 LOT 80 TO LOT 82 NP573","6502","354000","0","0","9885","-79.2444","42.9858"
"5942","Building","Addition","Residential","Single Detached Dwelling","2013-02-20","2013-02-28","B13-037","17 WHITE AVE","PLAN 55 PT LOT 35 NP974","412","20000","0","0","8888","-79.2311","42.9943"
"5941","Building","Alteration","Residential","Single Detached Dwelling","2013-02-20","2013-03-01","B13-036","370 DIEPPE ST","PLAN 54 LOT 145 NP973","0","5000","0","0","7844","-79.2377","42.9821"
"5946","Occupancy","","Residential","Single Detached Dwelling","2012-10-02","2013-03-01","O13-021","73 SILVERWOOD AVE","PLAN 59M392 LOT 19","0","0","0","0","29608","-79.2816","42.9863"
"5945","Building","New","Residential","Single Detached Dwelling","2013-02-27","2013-03-05","B13-039","16 CARDINAL CRES","PLAN 59M359 LOT 43","2637","343000","1","0","25826","-79.2788","42.9855"
"5887","Occupancy","","Residential","Retail/Apartments","2013-01-10","2013-03-05","O13-003","17 EAST MAIN ST","PLAN 564 PT LOTS 2 TO 4 SE MAIN ST RP 30R13181 PARTS 1 2 5","4539","0","0","0","28856","-79.2499","42.9915"
"5950","Plumbing","Alteration","Residential","Single Detached Dwelling","2013-03-04","2013-03-05","P13-007","370 GATFIELD AVE","PLAN 54 LOT 392 NP573","0","2000","0","0","7903","-79.2377","42.9778"
"5954","Occupancy","","Residential","Single Detached Dwelling","2012-10-02","2013-03-06","O13-022","143 TIMBERVIEW CRES","PLAN 59M374 LOT 49","0","0","0","0","28539","-79.2835","42.9840"
"5914","Building","New","Residential","Single Detached Dwelling","2013-01-30","2013-03-07","B13-024","64 KINGSWAY","PLAN 54 PT LOT 9 PT LOT 10 NP813","2482","322800","1","0","5582","-79.2467","42.9436"
"5915","Building","New","Residential","Semi-Detached Dwelling","2013-02-06","2013-03-07","B13-025","43 SHIPVIEW CRT","PLAN 59M378 LOT 10","2104","360000","2","0","28778","-79.2223","42.9855"
"5943","Building","New","Residential","Single Detached Dwelling","2013-02-22","2013-03-07","B13-038","123 MICHELLE CRT","PLAN 59M351 LOT 17","1861","275000","1","0","21624","-79.2710","42.9832"
"5947","Building","Addition","Residential","Single Detached Dwelling","2013-02-28","2013-03-07","B13-040","43 ABBEY RD","PLAN 40 LOT 69","192","1500","0","0","15930","-79.2525","43.0098"
"5952","Building","New","Commercial","Temporary Structure","2013-03-04","2013-03-07","B13-043","300 LINCOLN ST","PLAN 566 LOTS 56 TO 61 PT LOTS 54 55 62 TO 67 PT QUEEN ST PLAN 564 PT BLK HH AND RP 59R825 PARTS 1 4 AND 6","800","2000","0","0","20549","-79.2389","42.9851"
"5940","Pool","New","Accessory","","2013-02-19","2013-03-07","W13-001","276 BALSAM ST","PLAN 59M222 LOT 18","544","39200","0","0","18918","-79.2893","43.0125"
"5958","Occupancy","","Residential","Single Detached Dwelling","2012-04-04","2013-03-08","O13-023","39 TOPHAM BLVD","PLAN 664 PT LOT 38 RP 59R14377 PART 1","0","0","0","0","29212","-79.2782","43.0234"
"5932","Building","Alteration","Institutional","School","2013-02-15","2013-03-12","B13-033","16 ST ANDREWS AVE","CON 5 PT LOT 21","5072","350000","0","0","8648","-79.2273","42.9921"
"5960","Building","New","Accessory","Detached Garage","2013-03-08","2013-03-12","B13-047","534 LEONARD AVE","PLAN 39 LOT 81 NP673","728","15000","0","0","13375","-79.2786","43.0006"
"5953","Plumbing","Alteration","Residential","Single Detached Dwelling","2013-03-05","2013-03-12","P13-008","34 MCNAUGHTON RD","PLAN 65 LOT 73 NP613","0","4000","0","0","3585","-79.2429","42.9781"
"5949","Demolition","","Industrial","Office","2013-03-01","2013-03-13","D13-003","1 ST CLAIR DR","CON 5 PT LOTS 21 22 RP 59R10902 PARTS 1 3 AND 5 RP 59R11493 PARTS 1 2 AND 3","4290","10000","0","0","22207","-79.2438","42.9508"
"5961","Sign","New","Commercial","Car Dealership","2013-03-06","2013-03-13","S13-006","607 NIAGARA ST","PLAN 31 LOT 29 PT LOT 30 PT LOT 28 NP 665","40","5500","0","0","15795","-79.2518","43.0078"
"5959","Building","New","Residential","Street Townhouse","2013-03-07","2013-03-14","B13-046","81 FALCON DR","PLAN 59M359 BLK 66","4620","600600","4","0","25851","-79.2766","42.9858"
"5944","Sign","New","Institutional","Church","2013-02-27","2013-03-14","S13-005","345 HELLEMS AVE","PLAN 41 LOT 127 PT LOT 128","50","1300","0","0","21286","-79.2470","42.9851"
"5971","Building","New","Commercial","Car Dealership","2012-08-10","2013-03-15","B13-054","916 NIAGARA ST","PT TWP PT LOT 230 THOROLD RP 59R14090 PARTS 1 AND 2","17288","1800000","0","0","2058","-79.2487","43.0201"
