OBJECTID,PERMITNUMBER,DESCRIPTION,APPLIEDDATE,ISSUEDDATE,COMPLETEDDATE,STATUSCURRENT,ORIGINALADDRESS1,ORIGINALADDRESS2,ORIGINALCITY,ORIGINALSTATE,ORIGINALZIP,PERMITCLASS,WORKCLASS
4282,16-108517-01-R9,"***REVISION: To reconstruct the main floor framing, construct new foundation for front porch, raise foundation to give more height in basement and renovate the basement*** To construct a 116.6m second storey addition to the single family dwelling To construct a 24m garage addition to the single family dwelling Alterations to renovate the first floor on the single family dwelling",2016-08-16T00:00:00.000Z,2016-09-01T00:00:00.000Z,,Issued,104 CALVIN,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Addition
4283,16-125573-00-R9,"To construct a 1-storey, 100.28 m2 addition to the rear of the single family dwelling.  To construct a 35.5 m2 porch in the front of the single family dwelling.  To construct a  22.3m2 patio roof with a 3.72m2 concrete porch under, to the rear of the single family dwelling.",2016-08-25T00:00:00.000Z,2016-10-18T00:00:00.000Z,,Issued,1354 BARTON,NULL,STONEY CREEK,ON,L8E 5L1,Single Family Dwelling,Addition
4284,16-126055-00-R9,"To construct a 2-storey, 62.4m2, addition to the rear of the single family dwelling.",2016-09-01T00:00:00.000Z,2016-12-19T00:00:00.000Z,,Issued,52 SHAW,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4285,16-123561-00-R9,"To construct a 13.4m2, dormer addition to the single family dwelling. To construct a 31.3m2, deck at the rear of the single family dwelling.",2016-08-09T00:00:00.000Z,2016-10-07T00:00:00.000Z,,Issued,352 SUNNYRIDGE,NULL,ANCASTER,ON,L0R1R0,Single Family Dwelling,Addition
4286,16-124898-00-R9,"To construct a 2-storey, 120.5 m2 addition to the side of the single family dwelling. To construct a 1-story, 30.1 m2 garage addition to the side of the single family dwelling.  To construct a 1-storey, 56.3 m2 deck addition to the rear of the single family dwelling.  To construct a 1-storey, 14.5 m2 porch addition to the front of the single family dwelling.",2016-08-19T00:00:00.000Z,2016-10-13T00:00:00.000Z,,Issued,95 SENECA,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4287,16-115012-01-R9,BUILDING PERMIT REVISED to construct a 12' x 12' deck and stairs at the rear of the single family dwelling. To construct a  1.22 m dormer addition and exterior stairs to the rear of the single family dwelling.  ,2016-08-17T00:00:00.000Z,2016-08-25T00:00:00.000Z,,Issued,30 NEW,NULL,HAMILTON,ON,L8P 4J4,Single Family Dwelling,Addition
4288,16-125390-00-R9,"To construct a 1-storey, 19 m2 addition to the side of the single family dwelling.  To construct a 6 m2 deck in the side yard of the single family dwelling.",2016-08-25T00:00:00.000Z,2016-08-31T00:00:00.000Z,,Issued,58 CROSS,NULL,DUNDAS,NULL,NULL,Single Family Dwelling,Addition
4289,16-125393-00-R9,"To construct a 1-storey, 6 m2 dormer window addition to the second floor of a single family dwelling.  Structural interior alterations to first floor and basement and to replace insulation and drywall.",2016-08-25T00:00:00.000Z,2016-10-03T00:00:00.000Z,2016-11-15T00:00:00.000Z,Closed,167 MOUNTVILLE,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4290,16-123884-00-R9,"To construct a 2-storey, 108m2 rear addition to the single family dwelling.",2016-08-10T00:00:00.000Z,2016-09-12T00:00:00.000Z,,Issued,144 DUNDURN N,NULL,HAMILTON,ON,L8R 3E8,Single Family Dwelling,Addition
4291,16-123889-00-R9,"To construct a 1-storey, 20.81 m2 rear sunroom addition to a single family dwelling.",2016-08-10T00:00:00.000Z,2016-08-24T00:00:00.000Z,,Issued,68 CLOVERHILL,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4292,16-123896-00-R9,"To construct a 1-storey, 9.94 m2 addition to rear of single family dwelling.  To construct a 13.0 m2 deck to the rear of single family dwelling. Alterations to the interior of the first and second floor.",2016-08-10T00:00:00.000Z,2016-09-19T00:00:00.000Z,,Issued,215 EMERALD N,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4296,16-126021-00-R9,"To construct a 1-storey, 59.95 m2 addition to the rear of the single family dwelling ",2016-08-31T00:00:00.000Z,2016-11-28T00:00:00.000Z,,Issued,49 EAST 32ND,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4293,16-124393-00-R9,"To construct a 1-storey, 50.45 m2 garage addition to the rear of a single family dwelling.  To construct a 1-storey, 10.45 m2 mudroom addition to the side of a single family dwelling.",2016-08-17T00:00:00.000Z,2016-08-31T00:00:00.000Z,,Issued,70 HOPKINS,NULL,DUNDAS,NULL,NULL,Single Family Dwelling,Addition
4294,16-123491-00-R9,"To construct a 1-storey, 51.1 m2 addition to the 2nd storey of the single family dwelling. Alterations to the interior of the single family dwelling to accommodate the new 2nd storey addition. To construct a 5.1 m2 covered porch in the front yard of the single family dwelling.",2016-08-08T00:00:00.000Z,2016-08-24T00:00:00.000Z,2016-12-08T00:00:00.000Z,Closed,306 GREENBRIAR,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Addition
4295,16-123442-00-R9,"To construct a 1-storey, 48.7m2, addition to the front and side of the single family dwelling. ",2016-08-08T00:00:00.000Z,2016-10-05T00:00:00.000Z,,Issued,1317 OLD HWY 8,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Addition
4297,16-126183-00-R9,"To construct a 2-storey, 123.1 m2 addition to the front of the single family dwelling.  To construct a 1-storey, 51.1m2 garage addition to the front of the single family dwelling.",2016-09-02T00:00:00.000Z,2016-10-11T00:00:00.000Z,,Issued,70 JERSEYVILLE W,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Addition
4298,16-123493-00-R9,"To construct a 55.74m2, third storey addition to the single family dwelling.",2016-08-08T00:00:00.000Z,2016-08-25T00:00:00.000Z,2016-12-05T00:00:00.000Z,Closed,12 ARKELL,NULL,HAMILTON,ON,L8S 1N4,Single Family Dwelling,Addition
4299,16-108625-01-R9,"BUILDING PERMIT REVISED to include a second furnace. To construct a 2-storey, 101 m2 addition to the rear of single family dwelling. Interior alterations to all floors of the existing single family dwelling.",2016-08-11T00:00:00.000Z,2016-08-18T00:00:00.000Z,2016-12-05T00:00:00.000Z,Closed,170 DROMORE,NULL,HAMILTON,ON,L8S 4B4,Single Family Dwelling,Addition
4300,16-125625-00-R9,"To construct a 1-storey, 12.9m2 addition to the rear of the single family dwelling.  To construct a 6.68m2 deck in the rear of the single family dwelling.",2016-08-29T00:00:00.000Z,2016-10-19T00:00:00.000Z,,Issued,118 MCANULTY,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4301,16-125951-00-R9,"To construct a 2- storey, 96.1 m2 addition to the rear of a single family dwelling.  To construct a 3.5 m2 deck in the rear yard To construct a 2.3 m2 deck in the side yard",2016-08-31T00:00:00.000Z,2016-09-15T00:00:00.000Z,,Issued,75 BOND S,NULL,HAMILTON,ON,L8S 1S8,Single Family Dwelling,Addition
4302,16-125060-00-R9,"To construct a 35 m2, 1-storey addition in the rear yard of the existing single family dwelling.",2016-08-23T00:00:00.000Z,2016-09-08T00:00:00.000Z,,Issued,524 MOUNTAIN BROW,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4303,16-125071-00-R9,"To construct a 1-storey, 323.9 m2 addition in the side yard of the existing single family dwelling.",2016-08-23T00:00:00.000Z,2016-09-08T00:00:00.000Z,,Issued,798 MONTGOMERY,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Addition
4304,16-125583-00-R9,"To construct a 1-storey, 97.39 m2 addition to the rear of the single family dwelling.",2016-08-26T00:00:00.000Z,2016-09-27T00:00:00.000Z,,Issued,25 LAKEVIEW,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Addition
4305,16-125234-00-R9,"To construct a 1-storey, 11.2m2, foyer addition to the front of the single family dwelling. To construct a 1-storey, 5.5m2, roofed-over porch addition to the front of the single family dwelling.",2016-08-25T00:00:00.000Z,2016-09-09T00:00:00.000Z,,Issued,174 WEST 23RD,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4306,16-125061-00-R9,"To construct a 2-storey, 170.7m2 addition to the rear of the single family dwelling.",2016-08-22T00:00:00.000Z,2016-10-18T00:00:00.000Z,,Issued,18 MOUNTAIN VIEW,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Addition
4307,16-125619-00-R9,"To construct a 1-storey, 45.2 m2 addition to the side of a single family dwelling.  Alterations to the interior of the single family dwelling to relocate a few doors and install new bedroom closets. Alterations to the exterior of the single family dwelling to replace board and batten, window shutters and siding.",2016-08-26T00:00:00.000Z,2016-10-07T00:00:00.000Z,,Issued,38 MARSTON,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Addition
4311,16-118631-00-R9,To construct a 35 m2 second floor addition to the single family dwelling.,2016-07-12T00:00:00.000Z,2016-07-27T00:00:00.000Z,,Issued,18 SHERRY LANE,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4308,16-125621-00-R9,"To construct a 1-storey, 13.38 m2 unheated sunroom addition to the rear of the single family dwelling.",2016-08-29T00:00:00.000Z,2016-09-13T00:00:00.000Z,2016-11-28T00:00:00.000Z,Closed,61 MARCELLA,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4309,16-119464-00-R9,To construct a 50m2 addition to the side of the single family dwelling. To construct a 29.8m2 deck addition to the rear of the single family dwelling.,2016-07-25T00:00:00.000Z,2016-09-12T00:00:00.000Z,,Issued,3819 INDIAN,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Addition
4310,16-104904-01-R9,"BUILDING PERMIT REVISION - to construct a roof over the side deck and alter a beam in the kitchen. To construct a 2-storey, 62m2 addition to the rear of the single family dwelling. To construct a 39.9m2 deck to the side of the single family dwelling.",2016-08-02T00:00:00.000Z,2016-08-17T00:00:00.000Z,2016-10-24T00:00:00.000Z,Closed,327 LODOR,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Addition
4312,16-119617-00-R9,To construct a 246.93 m2 2- storey addition to the side of the single family dwelling.,2016-07-25T00:00:00.000Z,2016-08-10T00:00:00.000Z,,Revised,1304 FIDDLERS GREEN,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Addition
4313,16-119648-00-R9,"To construct a 1-storey, 32.1m2, rear addition to the single family dwelling.  To construct a  34.9m2 deck to the rear of the single family dwelling.",2016-07-26T00:00:00.000Z,2016-08-10T00:00:00.000Z,,Issued,77 MAPLE,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Addition
4314,16-118191-00-R9,To demolish a 20.4m2 existing rear 1-storey addition. To construct a 38.6m2 rear 1-storey addition.,2016-07-08T00:00:00.000Z,2016-08-08T00:00:00.000Z,2016-11-28T00:00:00.000Z,Closed,28 EAST 7TH,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4315,16-118211-00-R9,"To construct a 1-storey, 30.1m2 rear addition to the single family dwelling.",2016-07-08T00:00:00.000Z,2016-07-22T00:00:00.000Z,,Issued,1447 PROGRESTON,NULL,FLAMBOROUGH,ON,NULL,Single Family Dwelling,Addition
4316,16-119001-00-R9,To construct a 62 m2 second addition the single family dwelling.  To construct a 28 m2 roofed over porch addition to the front of the dwelling.,2016-07-14T00:00:00.000Z,2016-08-10T00:00:00.000Z,,Issued,259 MARGARET,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Addition
4317,16-118837-00-R9,"To demolish the existing attached garage and to construct a 1-storey, 100.3m2, living room addition to the side of the single family dwelling.",2016-07-15T00:00:00.000Z,2016-07-28T00:00:00.000Z,,Issued,1992 REGIONAL RD 97,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Addition
4318,16-117565-00-R9,"PERMIT REVISED Please Refer to 16 117565 01 To construct a 2-storey, 28.6 m2, garage/home office addition to the side of the single family dwelling.",2016-07-04T00:00:00.000Z,2016-07-27T00:00:00.000Z,,Revised,68 CAMERON,NULL,DUNDAS,NULL,NULL,Single Family Dwelling,Addition
4319,16-118288-00-R9,To construct a 1-storey 33.37m2 to the rear of the single family dwelling.,2016-07-11T00:00:00.000Z,2016-08-02T00:00:00.000Z,2016-11-18T00:00:00.000Z,Closed,7222 TWENTY E,NULL,GLANBROOK,NULL,NULL,Single Family Dwelling,Addition
4320,16-118928-00-R9,"To construct a 1-storey, 29.75m2 rear addition to an existing single family dwelling. To construct a 2.43sqm side unenclosed, roofed over porch.",2016-07-18T00:00:00.000Z,2016-09-12T00:00:00.000Z,2017-01-16T00:00:00.000Z,Closed,104 7TH CON E,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Addition
4321,16-117616-00-R9,"To construct a 1-storey, 66 m2 unheated sunroom addition to the rear of the single family dwelling.",2016-06-30T00:00:00.000Z,2016-07-18T00:00:00.000Z,,Issued,112 KINGSVIEW,NULL,HAMILTON,NULL,NULL,Single Family Dwelling,Addition
4322,16-120629-00-R9,"To construct a 1-storey, 44.6 m2 addition to the rear of the single family dwelling.",2016-08-08T00:00:00.000Z,2016-08-23T00:00:00.000Z,,Issued,709 BARTON,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Addition
4323,16-120630-00-R9,"To demolish a 34.2m2, 1-storey, rear addition of the single family dwelling. To construct a 42.74m2, 1-storey addition to the rear of the single family dwelling. To construct a  22.3m2 deck at the rear of the new addition to the single family dwelling.",2016-08-08T00:00:00.000Z,2016-09-09T00:00:00.000Z,,Issued,341 5TH CON W,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Addition
4324,16-117973-00-R9,To construct a 5.04 m2 dormer addition to the front of the single family dwelling.,2016-07-06T00:00:00.000Z,2016-07-20T00:00:00.000Z,2016-11-02T00:00:00.000Z,Closed,3 FAIRCOURT,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Addition
4328,16-119122-00-R9,"To construct a 51.8 m2, garage addition to the front of the single family dwelling. To construct a 37.2 m2, unheated sunroom addition to the rear of the single family dwelling. ",2016-07-20T00:00:00.000Z,2016-08-08T00:00:00.000Z,,Issued,83 JERSEYVILLE E,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Addition
4325,16-119611-00-R9,To construct a 54m2 second storey addition to the single family dwelling. To construct a 45m2 attached garage on the single family dwelling. To construct a 14m2 covered porch to the side of the single family dwelling. Alterations to renovate the interior and construct a new roof on the single family dwelling,2016-07-25T00:00:00.000Z,2016-08-25T00:00:00.000Z,,Issued,49 MILLEN,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Addition
4326,16-119613-00-R9,To construct a 15.6 m2 1 - storey sunroom addition to the rear of the single family dwelling.,2016-07-25T00:00:00.000Z,2016-08-16T00:00:00.000Z,,Issued,84 AYLMER,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Addition
4327,16-117646-00-R9,"To construct a 1-storey, 22.25m2 addition to the rear of the single family dwelling.",2016-07-05T00:00:00.000Z,2016-07-29T00:00:00.000Z,,Issued,41 PARK ROW S,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4329,16-119913-00-R9,"To construct a 1-storey, 4.25 m2,  enclosed addition over an existing basement entrance on the side of the single family dwelling.",2016-07-28T00:00:00.000Z,2016-10-04T00:00:00.000Z,,Issued,63 LOWINGER,NULL,ANCASTER,ON,NULL,Single Family Dwelling,Addition
4330,16-119916-00-R9,To construct a 91.99m2 2-storey addition to the rear of the single family dwelling. To construct a 17.8m2 deck in the rear yard of the single family dwelling To construct an 8.9m2 second storey balcony in the rear yard of the single family dwelling.,2016-07-28T00:00:00.000Z,2016-09-26T00:00:00.000Z,,Issued,138 HIXON,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4331,16-117493-00-R9,"To construct a 2-storey, 122.5m2, addition to the side of the single family dwelling. To construct a 1-storey, 41.4m2, garage addition to the side of the single family dwelling. ",2016-07-04T00:00:00.000Z,2016-07-25T00:00:00.000Z,,Issued,1 VICTORIA,NULL,DUNDAS,NULL,NULL,Single Family Dwelling,Addition
4332,16-108010-01-R9,"BUILDING PERMIT REVISED to change the contractor to the owner.  To construct a 2-storey,109.76m2 addition to the side and interior alterations of the single family dwelling. To construct a 37 m2 rear uncovered deck addition.",2016-07-14T00:00:00.000Z,2016-07-14T00:00:00.000Z,2016-09-16T00:00:00.000Z,Closed,362 EAST 18TH,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4333,16-118322-00-R9,"To construct a 1-storey, 37.62 m2 addition to the front and side of the second floor of the single family dwelling. Alterations to the exterior  of the single family dwelling to replace the front balcony with a sloped roof. Alterations to the interior of the single family dwelling to change the floor layout.",2016-07-08T00:00:00.000Z,2016-10-21T00:00:00.000Z,,Issued,283 10TH CON E,NULL,FLAMBOROUGH,ON,L0R 1K0,Single Family Dwelling,Addition
4334,16-119680-00-R9,"To construct a new roof with new attic space on the 1-storey, single family dwelling.",2016-07-26T00:00:00.000Z,2016-08-23T00:00:00.000Z,,Issued,63 RONALDSHAY,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4335,16-117564-00-R9,To construct a 1-storey 22m2 addition to the rear of the single family dwelling. To construct a basement walkout at the rear of the single family dwelling.,2016-07-04T00:00:00.000Z,2016-08-26T00:00:00.000Z,,Issued,26 ROYCE,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Addition
4336,16-117322-00-R9,"To construct a 1-storey, 128.8m2 addition to the  side of the single family dwelling in accordance with the latest edition of the CSA A-277 Standard. Alterations to the interior of the single family dwelling to remove partition walls.",2016-06-29T00:00:00.000Z,2016-08-11T00:00:00.000Z,,Issued,335 5TH CON W,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Addition
4337,16-117328-00-R9,To construct a 56.5m2 garage addition to the side of the single family dwelling. To construct a 79m2 second floor addition to the single family dwelling. To construct a 18m2 covered porch addition to the front of the single family dwelling. To construct a 15.5m2 deck addition to the rear of the single family dwelling. Interior alterations to the first floor kitchen and dinning areas.,2016-06-30T00:00:00.000Z,2016-08-03T00:00:00.000Z,,Issued,1930 AINSLIE,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Addition
4341,16-108909-00-R9,Alterations to the interior of the single family dwelling to remove portion of load bearing wall between kitchen and familly room to install LVL beam.,2016-04-08T00:00:00.000Z,2016-04-22T00:00:00.000Z,2016-10-20T00:00:00.000Z,Closed,36 DESJARDINS,NULL,HAMILTON,ON,L8S 3R8,Single Family Dwelling,Alteration
4338,16-118309-00-R9,To construct a 88 m2 second floor addition to the single family dwelling.,2016-07-11T00:00:00.000Z,2016-08-11T00:00:00.000Z,,Issued,108 DALLAS,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Addition
4339,16-117542-00-R9,"To construct a 1-storey, 23.2m2 attached garage on the left side of the single family dwelling. To construct a 4.5m2 porch in the front yard of the single family dwelling. Alterations to the interior of the single family dwelling to remove bedrooms above garage as per previous permit 16 106086, remove portion of existing 2nd storey and replace same size and alterations to floor plans.",2016-07-04T00:00:00.000Z,2016-07-06T00:00:00.000Z,2016-10-06T00:00:00.000Z,Closed,33 WEBSTER,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Addition
4340,16-117947-00-R9,"To construct a 1-storey, 34m2 garage addition to the rear of the single family dwelling. To construct a 40.5m2 covered patio in the rear yard of the single family dwelling.  To construct a 46.5m2 covered patio in the rear yard of the single family dwelling.",2016-07-06T00:00:00.000Z,2016-08-09T00:00:00.000Z,,Revised,1022 OLD MOHAWK,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Addition
4342,16-103249-00-R9,Alterations to the Interior of the single family dwelling to renovate the kitchen and create openings in the loadbearing walls.,2016-02-02T00:00:00.000Z,2016-02-16T00:00:00.000Z,2016-07-22T00:00:00.000Z,Closed,46 WEST 28TH,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4343,16-107800-00-R9,"Alterations to the interior of the single family dwelling to replace H.V.A.C system, new staircase, replace plumbing, bathroom and bedroom reno's.",2016-03-24T00:00:00.000Z,2016-04-11T00:00:00.000Z,2016-07-20T00:00:00.000Z,Closed,200 BELL,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4344,16-109220-00-R9,Alterations to the exterior of the existing single family dwelling to fill in one window on the north facing wall,2016-04-12T00:00:00.000Z,2016-04-15T00:00:00.000Z,2016-04-26T00:00:00.000Z,Closed,58 SECOND W,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Alteration
4345,16-104112-00-R9,"To install a ""CS6P-255"" solar collector with a face area of 51.2m2 on the roof of an existing single family dwelling.",2016-02-17T00:00:00.000Z,2016-03-02T00:00:00.000Z,2016-07-20T00:00:00.000Z,Closed,95 HEATHERDALE,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4346,16-104120-00-R9,"To install a ""CS6P-255"" solar collector with a face area of 51.2m2 on the roof of an existing single family dwelling.",2016-02-17T00:00:00.000Z,2016-03-02T00:00:00.000Z,,Issued,126 WARREN,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4347,16-104121-00-R9,"To install a ""CS6P-255"" solar collector with a face area of 51.2m2 on the roof of an existing single family dwelling.",2016-02-17T00:00:00.000Z,2016-02-25T00:00:00.000Z,2016-09-22T00:00:00.000Z,Closed,69 JONATHON,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4348,16-108411-00-R9,"Alterations to the interior of single family dwelling to repair plumbing, repair interior handrails and exterior guards and handrail, repair porch roof and replace deck and columns, rebuild upper portion of masonry chimney as per O.R.P. #162",2016-04-04T00:00:00.000Z,2016-04-19T00:00:00.000Z,,Issued,176 STIRTON,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4349,16-108460-00-R9,"To install a ""Canadian Solar CS6P"" solar collector with a face area of 80m2 on the roof of the single family dwelling.",2016-04-04T00:00:00.000Z,2016-05-11T00:00:00.000Z,2016-12-21T00:00:00.000Z,Closed,196 GOLF LINKS,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Alteration
4350,16-100650-00-R9,"To install a ""CS6P-255"" solar collector with a face area of 51.2m2 on the roof of an existing single family dwelling.",2016-01-07T00:00:00.000Z,2016-01-25T00:00:00.000Z,2016-07-20T00:00:00.000Z,Closed,78 PHILOMENA,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4351,16-110012-00-R9,-Alterations to the interior of the existing single family dwelling to create a family room in the basement.,2016-04-20T00:00:00.000Z,2016-04-27T00:00:00.000Z,2017-01-11T00:00:00.000Z,Closed,15 MICHELANGELO,NULL,HAMILTON,NULL,NULL,Single Family Dwelling,Alteration
4352,16-104872-00-R9,Alterations to the interior of the single family dwelling to finish 55.28m2 of the basement exterior walls.,2016-02-25T00:00:00.000Z,2016-03-07T00:00:00.000Z,,Issued,71 FOXTROT,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Alteration
4356,16-111140-00-R9,"Alterations to the interior to install waterproofing around perimeter of the foundation wall of the single family dwelling. OBC drawings not submitted; field examination required.",2016-05-02T00:00:00.000Z,2016-05-13T00:00:00.000Z,2016-05-26T00:00:00.000Z,Closed,75 EDGEMONT S,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4353,16-104876-00-R9,"Alterations to the exterior, to replace 7.6m of weeping tile on the south side of the block foundation of the existing single family dwelling. OBC drawings not submitted; field examination required.",2016-02-25T00:00:00.000Z,2016-03-01T00:00:00.000Z,2016-03-08T00:00:00.000Z,Closed,58 EAST 33RD,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4354,16-104879-00-R9,Alterations to the foundation of existing single family dwelling include side pinning.,2016-02-25T00:00:00.000Z,2016-03-08T00:00:00.000Z,2016-05-17T00:00:00.000Z,Closed,54 EMERALD N,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4355,16-105986-00-R9,Alterations to the interior of the single family dwelling to finish the basement including a bathroom and rec room.,2016-03-07T00:00:00.000Z,2016-03-22T00:00:00.000Z,2016-06-29T00:00:00.000Z,Closed,316 RYMAL W,15,HAMILTON,NULL,NULL,Single Family Dwelling,Alteration
4357,16-111154-00-R9,"Alterations to the exterior of the single family dwelling to install waterproofing and replace the existing weeping tile along the perimeter of the concrete foundation wall. OBC drawings not submitted; field examination required",2016-04-29T00:00:00.000Z,2016-05-10T00:00:00.000Z,2016-07-25T00:00:00.000Z,Closed,241 PARKDALE S,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4358,16-111255-00-R9,Alterations to the interior of the single family dwelling to remove walls on the main floor. Alterations to the interior of the single family dwelling to enlarge a window on the main floor. Alterations to the interior of the single family dwelling to erect a wall on the rear lower level. ,2016-04-29T00:00:00.000Z,2016-05-16T00:00:00.000Z,,Revised,11 AUTUMN LEAF,NULL,DUNDAS,NULL,NULL,Single Family Dwelling,Alteration
4359,16-101274-00-R9,"Alterations to the interior of the single family dwelling to install new insulation, drywall, flooring and kitchen cupboards. Alterations to the interior of the single family dwelling to remove a load bearing wall and install a beam.",2016-01-14T00:00:00.000Z,2016-02-11T00:00:00.000Z,2016-09-14T00:00:00.000Z,Closed,21 NEWLANDS,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4360,16-101285-00-R9,Alterations to the interior to install a 3-pc bathroom and finish 64m2 of the basement at the single family dwelling.,2016-01-18T00:00:00.000Z,2016-01-22T00:00:00.000Z,2016-05-25T00:00:00.000Z,Closed,178 NISBET,NULL,FLAMBOROUGH,NULL,NULL,Single Family Dwelling,Alteration
4361,16-106355-00-R9,Alterations to the exterior of the single family dwelling to install a stairway into the basement from the side yard.,2016-03-10T00:00:00.000Z,2016-04-12T00:00:00.000Z,2016-06-08T00:00:00.000Z,Closed,13 MARCEL,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4362,16-106358-00-R9,Alterations to the interior of the single family dwelling to install a second floor bathroom and renovate the kitchen.,2016-03-10T00:00:00.000Z,2016-04-12T00:00:00.000Z,,Issued,295 EAST 22ND,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4363,16-104111-00-R9,Alteration to the interior of the single family dwelling to replace load bearing wall with LVL beam.,2016-02-17T00:00:00.000Z,2016-02-22T00:00:00.000Z,2016-08-11T00:00:00.000Z,Closed,68 LITTLE JOHN,NULL,DUNDAS,NULL,NULL,Single Family Dwelling,Alteration
4364,16-108487-00-R9,Alteration to finish the basement of the single family dwelling.,2016-03-18T00:00:00.000Z,2016-04-05T00:00:00.000Z,,Issued,48 NARBONNE,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Alteration
4365,16-108488-00-R9,Alteration to the single family dwelling to finish the basement,2016-03-18T00:00:00.000Z,2016-04-05T00:00:00.000Z,,Issued,64 NARBONNE,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Alteration
4366,16-101624-00-R9,Alterations to the interior of the single family dwelling to remove one load-bearing and two partition walls on the main floor.,2016-01-20T00:00:00.000Z,2016-02-19T00:00:00.000Z,2016-03-30T00:00:00.000Z,Closed,32 LYLE,NULL,HAMILTON,ON,NULL,Single Family Dwelling,Alteration
4367,16-102341-00-R9,Alteration to the interior to remove loadbearing walls and install beams on the first floor and to relocate the bathrooms and closets on the second floor of the existing single family dwelling.,2016-01-28T00:00:00.000Z,2016-02-09T00:00:00.000Z,,Issued,178 VALMONT,NULL,ANCASTER,NULL,NULL,Single Family Dwelling,Alteration
4368,16-108498-00-R9,Alterations to the single family dwelling to finish the basement,2016-03-18T00:00:00.000Z,2016-04-08T00:00:00.000Z,,Issued,3 CHAUMONT,NULL,STONEY CREEK,NULL,NULL,Single Family Dwelling,Alteration
