OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_PUBLIC_UNITS,MENTAL_HEALTH_PRIVATE_PAY_UNITS,SENIOR_ASSISTED_LIVING,SENIOR_PUBLIC_UNITS,SENIOR_PRIVATE_PAY_UNITS,SUPPORTIVE_RECOVERY,SUPPORTIVE_RECOVERY_PUBLIC_UNITS,SUPPORTIVE_RECOVERY_PRIVATE_PAY_UNITS,LONGITUDE,LATITUDE
Queen Charlotte Housing Development Society,Martin Manor,Assisted Living,306 - 2nd Avenue,Queen Charlotte,V0T 1S0,(250) 559-8800,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,0,4,N,,,-132.0842161,53.2553621
Sunridge Seniors Community Partnership,The Meadows at Sunridge Place,Assisted Living,361 Bundock Avenue,Duncan,V9L 3P1,(250) 748-8048,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,50,0,N,,,-123.6975203,48.7777428
Langley Lions Housing Society,Evergreen Timbers,Assisted Living,5464 - 203rd Street,Langley,V3A 0A4,(604) 530-7171,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,58,0,N,,,-122.659687,49.1014015
Capital Region Housing Corporation,Parry Place,Assisted Living,408 Parry Street,Victoria,V8V 2H7,(250) 382-4443,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,21,0,N,,,-123.3725864,48.4158031
Providence Health Care Society,Honoria Conway at St. Vincent's Heather,Assisted Living,4875 Heather Street,Vancouver,V5Z 0A7,(604) 876-7191,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,60,0,N,,,-123.1220866,49.2420243
Baptist Housing Enhanced Living Communities,The Village at Smith Creek,Assisted Living,2425 Orlin Road,West Kelowna,V4T 1N3,(250) 768-0488,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,62,11,N,,,-119.6267443,49.8431243
Baptist Housing Enhanced Living Communities,Sun Pointe Village,Assisted Living,700 Rutland Road North,Kelowna,V1X 7W8,(250) 491-1400,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,20,40,N,,,-119.3878245,49.896263
The Baptist Housing Society,The Village at Mill Creek,Assisted Living,1450 Sutherland Avenue,Kelowna,V1Y 5Y5,(250) 860-2216,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,38,58,N,,,-119.4678022,49.8808104
Sooke Elderly Citizens Housing Society,Ayre Manor,Assisted Living,6754 Ayre Road,Sooke,V9Z 1K1,(250) 642-1750,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,20,5,N,,,-123.7269856,48.3775504
Creekside Landing Ltd.,Creekside Landing,Assisted Living,6190 Okanagan Landing Road,Vernon,V1H 1M3,(250) 549-9550,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,24,14,N,,,-119.3223493,50.2465633
Strive Living Society,Freedom Place,Assisted Living,10342  148th Street,Surrey,V3R 3X3,(604) 634-3300,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,20,0,N,,,-122.8116906,49.1902003
Wagner Hills Farm Society,Wagner Hills Farm,Assisted Living,8061  264th Street,Langley,V1M 3M3,(604) 856-9432,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,28,28,-122.4959869,49.1493257
Golden Community Resources Society,Mountain View Assisted Living,Assisted Living,750 - 8th Avenue South,Golden,V0A 1H0,(250) 344-7924,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,8,0,N,,,-116.9674653,51.2978943
Northern Health Authority,Nick Grosse Assisted Living Residence,Assisted Living,2524 Harrison Road,Masset,V0T 1M0,(250) 626-4735,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,4,0,N,,,-132.1582983,54.0203264
Dawson Creek Society for Community Living,Northview,Assisted Living,1125 -  90th Avenue,Dawson Creek,V1G 5A3,(250) 719-0072,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,26,0,N,,,-120.2357658,55.7733071
Westcoast Native Health Care Society,Tsawaayuus (Rainbow Gardens),Assisted Living,6222 Compton Rd,Port Alberni,V9Y 7B8,(250) 724-5655,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,10,0,N,,,-124.8485097,49.2700639
Sienna-Baltic (Mariposa) Inc.,Mariposa Gardens,Assisted Living,8816 97th Street,Osoyoos,V0H 1V5,(250) 495-8124,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,10,16,N,,,-119.4770583,49.034727
The Royale LP,Astoria Retirement Residence,Assisted Living,2245 Kelly Avenue,Port Coquitlam,V3C 0B1,(604) 944-2341,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,52,N,,,-122.780012,49.259309
Northern Health Authority,Gateway Lodge - Northern Health Authority,Assisted Living,1462 - 20th Avenue,Prince George,V2L 0B3,(250) 645-6100,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,53,0,N,,,-122.7528145,53.9056389
Berwick Investments Ltd.,Berwick on the Lake,Assisted Living,3201 Ross Road,Nanaimo,V9T 6L9,(250) 729-7995,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,0,36,N,,,-124.0036075,49.2100736
Berwick Retirement Royal Oak,Berwick Royal Oak,Assisted Living,4680 Elk Lake Drive,Victoria,V8Z 0B4,(250) 386-4680,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,0,40,N,,,-123.3874866,48.5031019
Harrison Pointe Inc.,Harrison Pointe,Assisted Living,21616  52nd Avenue,Langley,V2Y 1L7,(604) 530-1101,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,50,N,,,-122.6237865,49.09714
Berwick Investments Ltd.,Berwick on the Park,Assisted Living,60 Whiteshield Crescent South,Kamloops,V2E 2S9,(250) 377-7275,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,25,N,,,-120.3371268,50.6578025
Chetwynd Senior Citizens Housing,Surerus Place,Assisted Living,5353 - 47th Avenue,Chetwynd,V0C 1J0,(250) 788-3736,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,Y,5,0,N,,,-121.6403206,55.6980704
Golden Life Management Corp.,Lake View Village,Assisted Living,1020 - 7th Street,Nelson,V1L 0A2,(250) 352-0051,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,Y,0,25,N,,,-117.2714026,49.5095412
HCN Revera Lessee (Hollyburn House) GP Inc,Hollyburn House,Assisted Living,2095 Marine Drive,West Vancouver,V7V 4V5,(604) 922-7616,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,0,30,N,,,-123.167157,49.3299082
Scottsdale House Ltd,Scottsdale House,Assisted Living,11779 72nd Ave,Delta,V4E 3B9,(604) 572-9550,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,Y,0,7,N,,,N,,,-122.8966099,49.1342868
Casa Living Inc.,The Wesbrooke,Assisted Living,12000 190A Street,Pitt Meadows,V3Y 0E4,(604) 460-7006,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,30,N,,,-122.6932986,49.2205915
M'akola Housing Society,Ts'i'ts'uwatul' Lelum,Assisted Living,5755 Allenby Road,Duncan,V9L 0E6,(250) 597-2252,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,50,0,N,,,-123.7081958,48.775945
Swedish Canadian Rest Home Association,Swedish Assisted Living Residence,Assisted Living,7230 Halifax Street,Burnaby,V5A 0B2,(604) 420-1124,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,46,10,N,,,-122.9518022,49.267425
Chartwell Retirement Residences,Carrington House,Assisted Living,32679 6th Ave,Mission,V2V 1Y8,(604) 826-4747,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,40,N,,,-122.3198366,49.1390997
Heshun Rosewood Senior Centre Inc.,Heshun Rosewood Senior Centre,Assisted Living,11742 225 Street,Maple Ridge,V2X 6E4,(604) 463-1078,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,20,N,,,-122.5984433,49.2159184
Berwick Retirement Comox Ltd.,Berwick Comox Valley,Assisted Living,1700 Comox Avenue,Comox,V9M 4H4,(250) 339-1690,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,Y,0,35,N,,,-124.9221833,49.6727148
Pathway to Freedom Recovery Society,Pathway to Freedom - 9034 Prince Charles,Assisted Living,9034 Prince Charles Blvd,Surrey,V3V1R5,(604) 496-0772,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,5,0,-122.8652873,49.166834
Maria Rosario de Vera Martinez  (Rose),Clover Heights Retirement Home,Assisted Living,6209 - 184th Street,Surrey,V3S 8B1,(604) 372-1131,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,11,N,,,-122.7128453,49.1151396
The Realistic Success Recovery Society,Realistic Success - Trilogy House One,Assisted Living,13516 80th Ave,Surrey,V8W 3C1,(778) 885-4369,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,6,0,-122.8482177,49.1480086
The Realistic Success Recovery Society,Realistic Success - Trilogy House Four,Assisted Living,13358 78A Ave,Surrey,V8W 7B7,(778) 885-4369,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,6,0,-122.852393,49.1452475
The Realistic Success Recovery Society,Realistic Success - Trilogy House Two,Assisted Living,13519 80th Ave,Surrey,V3W 3C2,(778) 885-4369,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,6,0,-122.8480055,49.1483087
CSH-HCN LESSEE (IMPERIAL) LP,Imperial Place Retirement Residence,Assisted Living,13853 102nd Ave,Surrey,V3T5P6,(604) 581-1555,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,30,N,,,-122.8383224,49.1879219
BC New Hope Recovery Society,Baldy Hughes Therapeutic Community,Assisted Living,34000 Blackwater Rd,Prince George,V2N 6H1,(250) 964-3136,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Northern Health,N,,,N,,,Y,6,31,-122.9342,53.6172363
Chartwell Retirement Residences,Crescent Gardens,Assisted Living,1222 King George Highway,Surrey,V4A 9W6,(604) 541-8861,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,40,N,,,-122.7667834,49.0244562
City Centre Care Society,Cooper Place,Assisted Living,306 East Cordova Street,Vancouver,V6A 1L5,(604) 684-2545,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,Y,69,0,N,,,-123.0970954,49.2819785
Chartwell Master Care LP,Chartwell Birchwood,Assisted Living,45650 Patten Avenue,Chilliwack,V2P 1S4,(604) 792-8793,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,35,N,,,-121.9612481,49.1692644
Place of Refuge Society,Place of Refuge,Assisted Living,655 East 49th Ave,Vancouver,V5W 2H1,(604) 324-5011,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,N,,,Y,8,0,-123.0917971,49.2257723
Hope for Freedom Society,Hope for Freedom Resurrection House 1,Assisted Living,3237 Liverpool St,Port Coquitlam,V3B 3V5,(604) 464-0475,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,0,4,-122.7605748,49.2714483
Psalm 23 Transition Society,Psalm 23 - Training Centre,Assisted Living,115 Cariboo Hwy 97,Clinton,V0K 1K0,(250) 459-2220,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,N,,,N,,,Y,10,0,-121.5152328,51.2228585
Psalm 23 Transition Society,Psalm 23 -Sober Living,Assisted Living,31794 Peardonville Rd,Abbotsford,V2T 1L4,(604) 835-0855,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,5,0,-122.3427611,49.045601
Comox Valley Recovery Centre Society,Comox Valley Recovery Centre,Assisted Living,641 Menzies Ave,Courtenay,V9N 3C3,(250) 338-7144,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,N,,,Y,12,3,-125.0064758,49.6861093
VisionQuest Recovery Society,VisionQuest - Harte House,Assisted Living,13238 87B Ave,Surrey,V3W 6B8,(604) 743-0598,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,4,1,-122.8557709,49.1619793
VisionQuest Recovery Society,VisionQuest - Discovery House,Assisted Living,33416 George Ferguson Way,Abbotsford,V2S 2L8,(604) 637-6356,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,4,1,-122.2985231,49.0512156
Yahweh Saves Recovery Ministry,Joshua House - Rossland,Assisted Living,32575 Rossland Pl,Abbotsford,V2T 3S8,(604) 556-7390,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,0,7,-122.3214198,49.049235
North Island Supportive Recovery Society,Second Chance Recovery House,Assisted Living,647 Birch Street,Campbell River,V9W GY4,(250) 830-1103,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,N,,,Y,4,0,-125.2425221,50.0200897
Island Crisis Care Society,Island Crisis Care Society Hirst House,Assisted Living,151 East Hirst Ave,Parksville,V9P 2G4,(250) 954-3268,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,Y,0,6,N,,,N,,,-124.3104481,49.3193687
Chartwell Master Care LP,Chartwell Willow Retirement Community,Assisted Living,12275 - 224th St,Maple Ridge,V2X 6H5,(604) 466-8602,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,Y,0,30,N,,,-122.6019985,49.2253028
Freedom House Recovery Society,Freedom House 13765 & 13767 - 105 Ave,Assisted Living,13765 - 105 Ave,Surrey,V3T 2A1,(604) 970-2956,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,0,9,-122.8406361,49.193639
North Island Crisis and Counselling Centre Society,New Beginnings,Assisted Living,8735 Hastings St,Port Hardy,V0N 2P0,(250) 949-8333,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,N,,,Y,8,0,-127.4933266,50.7226457
Campbell River and North Island Transition Society,Ann Elmore House,Assisted Living,608 Alder Street,Campbell River,V9W 2P2,(250) 286-3666,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,N,,,N,,,Y,4,0,-125.2411919,50.0195231
Canadian Mental Health Association - Pt. Alberni Branch,Port House,Assisted Living,4527 Morton St,Port Alberni,V9Y 3T5,(250) 724-2279,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Island Health,Y,0,2,N,,,N,,,-124.8011143,49.2472741
Changing Addictive Attitudes Recovery Society of BC,Reaching Out - Cordova,Assisted Living,678-680 E Cordova St,Vancouver,V6A 1L8,(778) 997-0270,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Vancouver Coastal,N,,,N,,,Y,6,0,-123.0900118,49.2818509
L.I.F.E. Recovery Association,LIFE Recovery Association - First Stage,Assisted Living,2693 Braeside Street,Abbotsford,V2T 2R5,(604) 855-4440,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,0,9,-122.3463775,49.0511241
Luke 15 House Society,Luke 15 House,Assisted Living,11861 99th Ave,Surrey,V3V 2M3,(604) 930-4884,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,14,0,-122.8940963,49.1828144
Axis Family Resources Ltd,Axis Place - Kootenays,Assisted Living,1512 5th Street North,Cranbrook,V1C 3M2,(250) 489-2110,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Interior Health,Y,7,8,N,,,N,,,-115.7594109,49.5168541
It's Up To You Recovery House Society,It's Up To You - 100th Ave,Assisted Living,12991 100th Ave,Surrey,V3T 1G9,(604) 723-6326,https://connect.health.gov.bc.ca/assisted-living,http://www.bclaws.ca/civix/document/id/complete/statreg/02075_01,http://www.bclaws.ca/civix/document/id/complete/statreg/217_2004 http://www.bclaws.ca/civix/document/id/complete/statreg/218_2004,Fraser Health,N,,,N,,,Y,9,0,-122.8625125,49.1845839
